id,name,name_alternative,location,parent_id,parent_name
11815-ground-system-gym-nitra,Ground System Gym Nitra,,"Nitra, Slovakia",,
1183-nick-catones-mma-fitness,Nick Catone MMA & Fitness,,"Brick, New Jersey",,
1189-glory-mma-and-fitness,Glory MMA and Fitness,Grindhouse MMA,"Lee's Summit, Missouri",,
11895-mk-muay-thai,MK Muay Thai,,"Fair Lawn, New Jersey",,
1192-springfield-fight-club,Springfield Fight Club,,"Springfield, Missouri",,
1193-st-charles-mma,St Charles MMA,Saint Charles Brazilian Jiu Jitsu,"St. Charles, Missouri",,
1194-team-destruction,Team Destruction,Destruction MMA,"Farmington, Missouri",,
120-gilbert-grappling,Gilbert Grappling,G2 Training Center,"Country Club Hills, Illinois",,
1200-murcielago-mma,Murcielago MMA,,"Lansing, Michigan",,
1202-triumph-mma,Triumph MMA,,"Grand Rapids, Michigan",,
1203-alexander-nevsky-st-petersburg,Alexander Nevsky (St. Petersburg),,"St. Petersburg, Russia",,
12035-team-zarrukh-adashev,Team Zarrukh Adashev,The Lion MMA,"Brooklyn, New York",,
1206-bronx-hill-mma,Bronx Hill MMA,,"Jeffersonville, Indiana",,
1207-bulldog-fight-team,Bulldog Fight Team,,Indiana,,
1209-duneland-vale-tudo,Duneland Vale Tudo,,"Hobart, Indiana",,
121-team-bombsquad,Team Bombsquad,,"Ithaca, New York",122-ultimate-athletics,Ultimate Athletics
12101-borg-martial-arts,Borg Martial Arts,,"Albuquerque, New Mexico",,
12103-snake-team,Snake Team,,163 Avenue Joffre,,
12112-flipside-team,Flipside Team,,Singapore,,
1213-indy-boxing-grappling,Indy Boxing & Grappling,,"Indianapolis, Indiana",,
1214-integrated-fighting-academy,Integrated Fighting Academy,,"Indianapolis, Indiana",,
12142-muskoka-martial-arts,Muskoka Martial Arts,,"Gravenhurst, Ontario, Canada",,
1219-torres-martial-arts-academy,Torres Martial Arts Academy,,"Hobart, Indiana",,
12192-ko-squad-mma,KO Squad MMA,,"Rio de Janeiro, Brazil",,
1220-united-gym,United Gym,"United Gym Łódź, CSW United Gym","Łódź, Poland",,
12210-cyfit,CYFIT,,"Bayonne, France",,
1222-all-american-mma,All American MMA,,"Mount Washington, Kentucky",,
12259-bloodline-combat-sports,Bloodline Combat Sports,,,,
12263-marquez-mixed-martial-arts,Marquez Mixed Martial Arts,,"Philadelphia, Pennsylvania",,
1228-four-seasons-martial-arts,Four Seasons Martial Arts & Fitness,4 Seasons MMA,"Lexington, Kentucky",,
1242-knoxville-martial-arts-academy,Knoxville Martial Arts Academy,"KMAA, Knoxville MMA","Knoxville, Tennessee",,
12436-brazilian-tko,Brazilian TKO,,"Curitiba, Paraná, Brazil",,
1244-nashville-mma,Nashville MMA Training Camp,,"Nashville, Tennessee",,
1245-shield-systems-mma,Shield Systems MMA,,"Knoxville, Tennessee",,
1246-ssf-submission-academy,SSF Submission Academy,Clarksville MMA,"Clarksville, Tennessee",,
1248-abu-dhabi-top-team,Abu Dhabi Top Team,,"Abu Dhabi, United Arab Emirates",,
1254-alan-belcher-mma-club,"American Top Team D’Iberville, MS","Remix MMA, ABMMA","D'Iberville, Mississippi",29-american-top-team,American Top Team
12641-the-block-combat-and-conditioning-centre,THE BLOCK,,"Bali, Indonesia",,
1265-peresvet-ft,Peresvet FT,Peresvet Fight Team,"Rostov-on-Don, Russia",,
1274-fight-fit-militia,Fight Fit Militia,FFM,"Johannesburg, South Africa",,
12789-gaea-project,GAEA Project,,"Sao Paulo, Sao Paulo, Brazil",,
1288-martinez-bjj,Martinez BJJ,,"Philadelphia, Pennsylvania",,
129-tristar-quebec,Tristar Quebec,Nordik Fight Club,"Quebec City, Quebec, Canada",1-tristar-gym,Tristar Gym
1293-africa-top-team,Africa Top Team,,"Cape Town, South Africa",,
1309-poland-top-team,Akademia Sportów Walki Wilanów,,"Warsaw, Poland",,
13123-is-360-sport-academy,IS 360 Sport Academy,,"Kuala Lumpur, Malaysia",,
13178-ntg-fight-fitness,NTG Fight & Fitness,,"Brisbane, QLD, Australia",,
13190-team-cobra-mma,Team Cobra MMA,,,,
133-lauzon-mixed-martial-arts,Lauzon Mixed Martial Arts,Team Aggression,"Raynham, Massachusetts",,
1338-evolucao-thai-mma,Evolução Thai MMA,Evolucao Thai MMA,"Toronto, Ontario, Canada",7184-evolucao-thai-mma,Evolução Thai MMA
1340-ronin-mma,Ronin MMA,,"Ottawa, Ontario, Canada",,
1355-wulfrun-mma,Wulfrun MMA,Gracie Jiu-Jitsu Prince Edward Island,"Charlottetown, Prince Edward Island, Canada",,
1386-american-top-team-atlanta,American Top Team Atlanta,,"Atlanta, Georgia",29-american-top-team,American Top Team
1387-fight-club-pittsburgh-mma,Fight Club Pittsburgh MMA,,"Pittsburgh, Pennsylvania",,
14-phuket-top-team,Phuket Top Team,PTT,"Phuket, Thailand",,
1403-american-top-team-orlando,American Top Team Orlando,ATT Orlando,"Orlando, Florida",,
1406-bulldog-boxing,Bulldog Boxing,,"Jacksonville, Florida",,
1412-gracie-barra-orlando,Gracie Barra Orlando,,"Orlando, Florida",271-gracie-barra,Gracie Barra
1417-inferno-mma,Inferno MMA,,"Naples, Florida",,
142-s4-fight-team,S4 Fight Club,"S4 Fight CrossGym Club, S4 Fight Team","Warsaw, Poland",,
1422-team-popovitch-academy,Team Popovitch Academy,,"Oakland Park, Florida",,
1424-the-armory,The Armory,,"Jupiter, Florida",,
1428-ascension-mixed-martial-arts,Ascension Mixed Martial Arts,Ascension MMA,"Atlanta, Georgia",,
143-mighty-bulls-gdynia,Mighty Bulls Gdynia,Mighty Bulls Team,"Gdynia, Poland",,
1435-hardcore-gym,SBG Athens,Straight Blast Gym Athens,"Athens, Georgia",615-straight-blast-gym-international,SBGi Portland
1438-iron-clutch-fitness,Iron Clutch Fitness,,"Marietta, Georgia",,
144-team-legion,Team Legion,Centre de développement sportif AthletX,"Victoriaville, Quebec, Canada",,
1444-x3-sports,X3 Sports,,"Atlanta, Georgia",,
1455-warrior-mixed-martial-arts,Warrior Mixed Martial Arts,,"Newmarket, Ontario, Canada",,
146-bastion-tychy,Bastion Tychy,Bastion Tychy Gracie Barra Team Draculino,"Tychy, Poland",271-gracie-barra,Gracie Barra
1460-joslins-mma,Joslin's MMA,,"Hamilton, Ontario, Canada",,
1462-tapout-burlington,Tapout Burlington,,"Burlington, Ontario, Canada",,
1468-team-cit,Team CIT,CIT,"Pretoria, South Africa",,
147-lutadores-opole,Lutadores Opole,,"Opole, Poland",,
1474-revolution-mma,Revolution Mixed Martial Arts,Revolution MMA and Performance Fitness,"Inman, South Carolina",,
1480-hayastan-imb-mma,Hayastan MMA Charlotte,,"Matthews, North Carolina",,
1481-renegade-fighting-systems,Renegade Fighting Systems,Team Renegade,"Charlotte, North Carolina",,
1485-team-roc,Team ROC,Team R.O.C.,"Fayetteville, North Carolina",,
1506-carlson-gracie-team-ohio,Carlson Gracie Team Ohio,,"Columbus, Ohio",,
1509-demolition-fight-team,Demolition Fight Team,,"Findlay, Ohio",,
1514-fight-farm,Fight Farm,,"Mansfield, Ohio",,
1517-griffonrawl-mma-academy,GriffonRawl MMA Academy,,"Mentor, Ohio",,
1519-jg-mma-academy,JG MMA Academy,"Jorge Gurgel MMA, Team Jorge Gurgel","Butler County, Ohio",,
1530-ronin-training-center,Ronin Training Center,,"Columbus, Ohio",,
1532-strong-style-fight-team,Strong Style Fight Team,Strong Style Mixed Martial Arts & Training,"Independence, Ohio",,
1534-team-impact,Team Impact,,"East Liverpool, Ohio",,
1535-team-vision-mma,Vision MMA,Vision Fitness and MMA,"Cincinnati, Ohio",,
1545-art-of-war-mma-fitness,Art of War MMA & Fitness,,"Eugene, Oregon",,
1556-upstate-karate,Upstate Karate,Team Pitch Black MMA,"Simpsonville, South Carolina",,
1559-clinch-academy,Clinch Academy,,"Frederick, Maryland",,
1560-crazy-88-brazilian-jiu-jitsu,Crazy 88 Brazilian Jiu jitsu,Crazy 88 MMA,"Elkridge, Maryland",,
1562-ground-control-academy,Ground Control Academy,,"Baltimore, Maryland",,
1563-mpf-training-systems,MPF Training Systems,,"Huntington Beach, California",,
1566-shaddock-mma-academy,Shaddock MMA Academy,,"Sykesville, Maryland",,
1567-golden-glory,Golden Glory,,"Pattaya, Thailand",,
1568-team-lloyd-irvin,Team Lloyd Irvin,Lloyd Irvin MMA,"Camp Springs, Maryland",,
1569-302-bjj,302 BJJ,302 MMA,"Wilmington, Delaware",,
1573-tatsujin-dojo,Tatsujin Dojo Deventer,,"Deventer, Netherlands",,
1587-k-dojo-warrior-tribe,K-Dojo Warrior Tribe,,"Fairfield, New Jersey",,
1594-silver-fox-bjj,Silver Fox BJJ,SFX,"Saddle Brook, New Jersey",,
1601-balance-studios,Balance Studios,Team Balance,"Philadelphia, Pennsylvania",,
1611-northeast-jiu-jitsu,Northeastern Jiu Jitsu,,"Swoyersville, Pennsylvania",,
1618-personal-training-tactics,Personal Training Tactics,PTT,"Pittsburgh, Pennsylvania",,
162-uno-dojo,UNO DOJO,,"Tokyo, Japan",,
1625-808-fight-factory,808 Fight Factory,"Powerhouse Gym, 808 Top Team","Waimalu, Hawaii",,
1628-gracie-technics,Gracie Technics,Gracie Techniques,"Honolulu, Hawaii",,
