bout_id,fighter_id,weigh_in_result,fight_night_weight,weight_gain
383220-ufc-232-ilir-the-sledgehammer-latifi-vs-corey-overtime-anderson,ilir-latifi,205.5 lbs (93.2 kgs),219.0 lbs (99.3 kgs),"13.5 lbs (6.1 kgs, +7%)"
386260-ufc-232-the-natural-born-killer-carlos-condit-vs-mike-maverick-chiesa,15253-mike-chiesa-maverick,170.5 lbs (77.3 kgs),188.0 lbs (85.3 kgs),"17.5 lbs (7.9 kgs, +10%)"
386260-ufc-232-the-natural-born-killer-carlos-condit-vs-mike-maverick-chiesa,carlos-condit-the-natural-born-killer,171.0 lbs (77.6 kgs),184.5 lbs (83.7 kgs),"13.5 lbs (6.1 kgs, +8%)"
376153-ufc-232-cristiane-cyborg-justino-vs-amanda-the-lioness-nunes,amanda-nunes-lioness-of-the-ring,145.0 lbs (65.8 kgs),156.0 lbs (70.8 kgs),"11.0 lbs (5.0 kgs, +8%)"
376153-ufc-232-cristiane-cyborg-justino-vs-amanda-the-lioness-nunes,cristiane-santos-cyborg,144.0 lbs (65.3 kgs),160.5 lbs (72.8 kgs),"16.5 lbs (7.5 kgs, +11%)"
387634-ufc-232-jon-bones-jones-vs-alexander-the-mauler-gustafsson-ii,jon-jones-bones,204.0 lbs (92.5 kgs),222.5 lbs (100.9 kgs),"18.5 lbs (8.4 kgs, +9%)"
387634-ufc-232-jon-bones-jones-vs-alexander-the-mauler-gustafsson-ii,alexander-gustafsson-the-mauler,204.5 lbs (92.8 kgs),219.5 lbs (99.6 kgs),"15.0 lbs (6.8 kgs, +7%)"
440053-ufc-on-espn-13-benito-the-golden-boy-lopez-vs-vince-vandetta-morales,47476-benito-lopez-golden-boy,136.0 lbs (61.7 kgs),147.4 lbs (66.9 kgs),"11.4 lbs (5.2 kgs, +8%)"
440053-ufc-on-espn-13-benito-the-golden-boy-lopez-vs-vince-vandetta-morales,91401-vince-morales,135.5 lbs (61.5 kgs),148.8 lbs (67.5 kgs),"13.3 lbs (6.0 kgs, +10%)"
436790-ufc-on-espn-13-livia-renata-the-brazilian-gangsta-souza-vs-brianna-the-bull-van-buren,36437-brianna-vanburen,115.0 lbs (52.2 kgs),123.2 lbs (55.9 kgs),"8.2 lbs (3.7 kgs, +7%)"
436790-ufc-on-espn-13-livia-renata-the-brazilian-gangsta-souza-vs-brianna-the-bull-van-buren,43265-livia-renata-souza,116.0 lbs (52.6 kgs),123.2 lbs (55.9 kgs),"7.2 lbs (3.3 kgs, +6%)"
434724-ufc-on-espn-13-pingyuan-liu-vs-jonathan-dragon-martinez,41237-jonathon-martinez,136.0 lbs (61.7 kgs),155.4 lbs (70.5 kgs),"19.4 lbs (8.8 kgs, +14%)"
434724-ufc-on-espn-13-pingyuan-liu-vs-jonathan-dragon-martinez,17551-pingyuan-liu,136.0 lbs (61.7 kgs),150.6 lbs (68.3 kgs),"14.6 lbs (6.6 kgs, +11%)"
431899-ufc-on-espn-13-darren-the-damage-elkins-vs-ryan-the-wizard-hall,37328-ryan-hall,144.5 lbs (65.5 kgs),157.0 lbs (71.2 kgs),"12.5 lbs (5.7 kgs, +9%)"
431899-ufc-on-espn-13-darren-the-damage-elkins-vs-ryan-the-wizard-hall,darren-elkins,145.5 lbs (66.0 kgs),167.4 lbs (75.9 kgs),"21.9 lbs (9.9 kgs, +15%)"
