id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,wikipedia_url,name,event_order
73413-ufc-257,4304992c2acc187b,87798,ufc-257-poirier-vs-mcgregor-2-2016,ufc-257,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 257: Poirier vs. McGregor 2,549
73411-ufc-fight-night,a1153013cb5f628f,87802,ufc-fight-night-184-overeem-vs-volkov-2029,ufc-fight-night-february-6-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Overeem vs. Volkov,550
73379-ufc-fight-night,3f7c14c7eca7195d,87797,ufc-258-usman-vs-burns-2033,ufc-258,https://en.wikipedia.org/wiki/UFC_258,UFC 258: Usman vs. Burns,551
74141-ufc-fight-night,bfe95ec546692b13,88022,ufc-fight-night-185-blaydes-vs-lewis-2035,ufc-fight-night-february-20-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Lewis,UFC Fight Night: Blaydes vs. Lewis,552
73679-ufc-fight-night,81b57acd6975ac06,87903,ufc-fight-night-186-rozenstruik-vs-gane-2039,ufc-fight-night-february-27-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Rozenstruik vs. Gane,553
74079-ufc-fight-night,6e2b1d631832921d,88003,ufc-259-blachowicz-vs-adesanya-2038,ufc-259,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 259: Błachowicz vs. Adesanya,554
74857-ufc-fight-night,8c90c1563972e44d,88284,ufc-fight-night-187-edwards-vs-muhammad-2048,ufc-fight-night-march-13-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edwards_vs._Muhammad,UFC Fight Night: Edwards vs. Muhammad,555
74572-ufc-fight-night,c36e1f4fa755ffb4,88172,ufc-on-espn-21-brunson-vs-holland-2053,ufc-fight-night-march-20-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Brunson vs. Holland,556
75458-ufc-fight-night,6597b611f1c32555,88377,ufc-260-miocic-vs-ngannou-2-2055,ufc-260,https://en.wikipedia.org/wiki/UFC_260,UFC 260: Miocic vs. N'Gannou 2,557
75229-ufc-fight-night,9114c8ded5ccd71d,88319,ufc-on-abc-2-vettori-vs-holland-2061,ufc-fight-night-april-10-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC on ABC 2: Vettori vs. Holland,558
76103-ufc-fight-night,4a35913bd9aa4161,88505,ufc-on-espn-22-whittaker-vs-gastelum-2062,ufc-fight-night-april-17-2021,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Whittaker_vs._Gastelum,UFC Fight Night: Whittaker vs. Gastelum,559
76694-ufc-fight-night,27541033b97c076d,88587,ufc-261-usman-vs-masvidal-2-2087,ufc-261,https://en.wikipedia.org/wiki/UFC_261,UFC 261: Usman vs. Masvidal 2,560
76888-ufc-fight-night,d57e6a8971b6d2bd,88625,ufc-on-espn-23-reyes-vs-prochazka-2074,ufc-fight-night-may-01-2021,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Reyes_vs._Procházka,UFC Fight Night: Reyes vs. Procházka,561
76941-ufc-fight-night,58a36b4ccf5dc30e,88639,ufc-on-espn-24-rodriguez-vs-waterson-2075,ufc-fight-night-may-08-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Rodriguez vs. Waterson,562
77263-ufc-fight-night,744f50016c39c26c,88694,ufc-262-oliveira-vs-chandler-2086,ufc-262,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 262: Oliveira vs. Chandler,563
77264-ufc-fight-night,277ffed20cf07aea,88695,ufc-fight-night-188-font-vs-garbrandt-2085,ufc-fight-night-may-22-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Font vs. Garbrandt,564
77692-ufc-fight-night,3b2485c8d5c8b580,88821,ufc-fight-night-189-rozenstruik-vs-sakai-2108,ufc-fight-night-june-05-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Sakai,UFC Fight Night: Rozenstruik vs. Sakai,565
77570-ufc-263,0b64d0fed453ef7f,88760,ufc-263-adesanya-vs-vettori-2-2115,ufc-263,https://en.wikipedia.org/wiki/UFC_263,UFC 263: Adesanya vs. Vettori 2,566
77656-ufc-fight-night,9ddfb3369a3b0394,88795,ufc-on-espn-25-korean-zombie-vs-ige-2130,ufc-fight-night-june-19-2021,https://en.wikipedia.org/wiki/UFC_on_ESPN:_The_Korean_Zombie_vs._Ige,UFC Fight Night: Korean Zombie vs. Ige,567
77763-ufc-fight-night,a1d6b308781aa2f5,88824,ufc-fight-night-190-gane-vs-volkov-2109,ufc-fight-night-june-26-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Volkov,UFC Fight Night: Gane vs. Volkov,568
78106-ufc-264,8a0be41c0380188d,88969,ufc-264-poirier-vs-mcgregor-3-2127,ufc-264,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 264: Poirier vs. McGregor 3,569
78130-ufc-fight-night,40389d39a92f5bfa,88983,ufc-on-espn-makhachev-vs-moises-2139,ufc-fight-night-july-17-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Makhachev vs. Moisés,570
78477-ufc-fight-night,e57f0b06ea39e360,89119,ufc-on-espn-sandhagen-vs-dillashaw-2137,ufc-fight-night-july-24-2021,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Sandhagen_vs._Dillashaw,UFC Fight Night: Sandhagen vs. Dillashaw,571
78698-ufc-fight-night,320edfb0332b7073,89161,ufc-on-espn-hall-vs-strickland-2165,ufc-fight-night-july-31-2021,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Hall_vs._Strickland,UFC Fight Night: Hall vs. Strickland,572
78675-ufc-265,972197a8c61ac413,89140,ufc-265-lewis-vs-gane-2142,ufc-265,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 265: Lewis vs. Gane,573
79118-ufc-fight-night,2f13e4020cea5b38,89378,ufc-on-espn-cannonier-vs-gastelum-2166,ufc-fight-night-august-21-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Cannonier vs. Gastelum,574
79108-ufc-fight-night,0db9d2486d564a3c,89337,ufc-on-espn-barboza-vs-chikadze-2251,ufc-fight-night-august-28-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Barboza vs. Chikadze,575
79654-ufc-fight-night,b9532d815060de7f,89657,ufc-fight-night-191-2213,ufc-fight-night-september-04-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brunson_vs._Till,UFC Fight Night: Brunson vs. Till,576
79258-ufc-fight-night,4c27ca8c8481f79a,89440,ufc-fight-night-smith-vs-spann-2171,ufc-fight-night-september-18-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Smith_vs._Spann,UFC Fight Night: Smith vs. Spann,577
78601-ufc-266,0eec866a077889f0,89141,ufc-266-volkanovski-vs-ortega-2177,ufc-266,https://en.wikipedia.org/wiki/UFC_266,UFC 266: Volkanovski vs. Ortega,578
79693-ufc-fight-night,e15d0a2519d6a0b5,89377,ufc-fight-night-santos-vs-walker-2167,ufc-fight-night-october-02-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Walker,UFC Fight Night: Santos vs. Walker,579
80131-ufc-fight-night,d247691a6c0e9034,89818,ufc-fight-night-dern-vs-rodriguez-2173,ufc-fight-night-october-09-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Rodriguez,UFC Fight Night: Dern vs. Rodriguez,580
80539-ufc-fight-night,8f4616698508f24d,89887,ufc-fight-night-holm-vs-dumont-2178,ufc-fight-night-october-16-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ladd_vs._Dumont,UFC Fight Night: Ladd vs. Dumont,581
81267-ufc-fight-night,8a9c6c4301f6d088,89999,ufc-fight-night-costa-vs-vettori-2203,ufc-fight-night-october-23-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Costa vs. Vettori,582
80222-ufc-267,3974fa35c917af1d,89819,ufc-267-brachowicz-vs-teixeira-2217,ufc-267,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 267: Błachowicz vs. Teixeira,583
81402-ufc-268-usman-vs-covington-2,48e093ea1f43a053,90043,ufc-268-usman-vs-covington-2-2246,ufc-268,https://en.wikipedia.org/wiki/UFC_268,UFC 268: Usman vs. Covington 2,584
81601-ufc-fight-night,b5abaa65f87938eb,90118,ufc-fight-night-holloway-vs-rodriguez-2224,ufc-fight-night-november-13-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Holloway vs. Rodriguez,585
81602-ufc-fight-night,c95fbc085e17a532,90119,ufc-fight-night-vieira-vs-tate-2237,ufc-fight-night-november-20-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Vieira_vs._Tate,UFC Fight Night: Vieira vs. Tate,586
82179-ufc-fight-night,509697e08673d2e5,90320,ufc-fight-night-font-vs-aldo-2259,ufc-fight-night-december-04-2021,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Font vs. Aldo,587
81603-ufc-fight-night,ef927e4fe2117ab8,90120,ufc-269-2279,ufc-269,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 269: Oliveira vs. Poirier,588
82070-ufc-fight-night,2a470ad41c22c25a,90256,ufc-fight-night-lewis-vs-daukaus-2286,ufc-fight-night-december-18-2021,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Daukaus,UFC Fight Night: Lewis vs. Daukaus,589
82805-ufc-fight-night,f5585e675af7afd4,90552,ufc-fight-night-201-2320,ufc-fight-night-january-15-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Kattar vs. Chikadze,590
82993-ufc-270,335ad945324c3a2e,90612,ufc-270-2322,ufc-270,https://en.wikipedia.org/wiki/UFC_270,UFC 270: N'Gannou vs. Gane,591
83125-ufc-fight-night,883922e5cd6d8473,90688,ufc-vegas-47-2430,ufc-fight-night-february-05-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Hermansson vs. Strickland,592
83288-ufc-271,cbb682f5fcc44bfc,90742,ufc-271-2338,ufc-271,https://en.wikipedia.org/wiki/UFC_271,UFC 271: Adesanya vs. Whittaker 2,593
83406-ufc-fight-night,77940e45bc86208e,90843,ufc-2413,ufc-fight-night-february-19-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Walker vs. Hill,594
83426-ufc-fight-night,f6a7b02c42e9fc5b,90846,ufc-fight-night-203-2343,ufc-fight-night-february-26-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Makhachev vs. Green,595
84662-ufc-fight-night,75e0d3cc2262b732,91278,ufc-fight-night-204-2380,ufc-272,https://en.wikipedia.org/wiki/UFC_272,UFC 272: Covington vs. Masvidal,596
84364-ufc-fight-night,1f9344211ca7fd60,91131,ufc-2414,ufc-fight-night-march-12-2022,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Ankalaev,UFC Fight Night: Santos vs. Ankalaev,597
83999-ufc-fight-night,1d00756835ca67c9,91036,ufc-fight-night-205-2376,ufc-fight-night-march-19-2022,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Aspinall,UFC Fight Night: Volkov vs. Aspinall,598
84285-ufc-fight-night,1fac46d466abd5b8,91130,ufc-fight-night-207-2391,ufc-fight-night-march-26-2022,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Daukaus,UFC Fight Night: Blaydes vs. Daukaus,599
85306-ufc-fight-night,3a97fda0de6f1fa4,91679,ufc-273-2411,ufc-273,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 273: Volkanovski vs. Korean Zombie,600
85814-ufc-fight-night,8753e125f4499816,91735,ufc-fight-night-ufc-fight-night-206-2412,ufc-fight-night-april-16-2022,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Luque_vs._Muhammad_2,UFC Fight Night: Luque vs. Muhammad 2,601
86013-ufc-fight-night,236a37d96d476164,91797,ufc-fight-night-lemos-vs-andrade-2435,ufc-fight-night-april-23-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Lemos vs. Andrade,602
86142-ufc-fight-night,6bf5a7d3e081ade2,91854,ufc-fight-night-font-vs-vera-2474,ufc-fight-night-april-30-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Font vs. Vera,603
85253-ufc-274,253d3f9e97ca149a,91512,ufc-2422,ufc-274,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 274: Oliveira vs. Gaethje,604
85916-ufc-fight-night,60ba33c3f555a7a3,91795,ufc-fight-night-208-2418,ufc-fight-night-may-14-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Błachowicz vs. Rakić,605
86509-ufc-fight-night,a6c32678efd4f434,91978,ufc-fight-night-2010-2428,ufc-fight-night-may-21-2022,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Vieira,UFC Fight Night: Holm vs. Vieira,606
86746-ufc-fight-night,57591bbf1623574e,92057,ufc-fight-night-211-2441,ufc-fight-night-june-04-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Volkov vs. Rozenstruik,607
87286-ufc-275-teixeira-vs-prochazka,3a24769a4855040a,92186,ufc-275-teixeira-vs-prochazka-2561,ufc-275,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 275: Teixeira vs. Procházka,608
88108-ufc-fight-night,a0a680fe2f6cc8e6,92670,ufc-fight-night-kattar-vs-emmett-2523,ufc-fight-night-june-18-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Kattar vs. Emmett,609
87971-ufc-fight-night,eb42d4febfafefd1,92636,ufc-on-espn-tsarukyan-vs-gamrot-2574,ufc-fight-night-june-25-2022,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Tsarukyan_vs._Gamrot,UFC Fight Night: Tsarukyan vs. Gamrot,610
87604-ufc-276,4a9e305633f3ef47,91882,ufc-276-2478,ufc-276,https://en.wikipedia.org/wiki/UFC_276,UFC 276: Adesanya vs. Cannonier,611
88397-ufc-fight-night,31da66df48c0c1a0,92738,ufc-on-espn-dos-anjos-vs-fiziev-2501,ufc-fight-night-july-09-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Dos Anjos vs. Fiziev,612
88485-ufc-fight-night,8fd76e1b49c00ae2,92792,ufc-on-abc-ortega-vs-rodriguez-2524,ufc-fight-night-july-16-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC on ABC 3: Ortega vs. Rodriguez,613
88711-ufc-fight-night,319c15b8aac5bfde,92906,ufc-fight-night-blaydes-vs-aspinall-2519,ufc-fight-night-july-23-2022,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Aspinall,UFC Fight Night: Blaydes vs. Aspinall,614
87975-ufc-fight-night,b0a6124751a56bc4,92633,ufc-277-pena-vs-nunes-2-2517,ufc-277,https://en.wikipedia.org/wiki/UFC_277,UFC 277: Peña vs. Nunes 2,615
89111-ufc-fight-night-santos-vs-hill,8f6a18831a120817,93076,ufc-on-espn-santos-vs-hill-2534,ufc-fight-night-august-06-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Santos vs. Hill,616
89355-ufc-fight-night,a23e63184c65f5b8,93192,ufc-fight-night-vera-vs-cruz-2552,ufc-fight-night-august-13-2022,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vera_vs._Cruz,UFC Fight Night: Vera vs. Cruz,617
89354-ufc-fight-night,4f853e98886283cf,93201,ufc-278-usman-vs-edwards-2-2545,ufc-278,https://en.wikipedia.org/wiki/UFC_278,UFC 278: Usman vs. Edwards 2,618
88967-ufc-fight-night,00a905a4a4a2b071,93036,ufc-fight-night-gane-vs-tuivasa-2518,ufc-fight-night-september-03-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Gane vs. Tuivasa,619
89492-ufc-fight-night,93bf96be327fcd98,93247,ufc-279-2541,ufc-279,https://en.wikipedia.org/wiki/UFC_279,UFC 279: Diaz vs. Ferguson,620
90191-ufc-fight-night,8d477c3fbe001f9d,93612,ufc-fight-night-211-2569,ufc-fight-night-september-17-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Sandhagen vs. Song,621
89894-ufc-fight-night,4f670b7972fa0a2e,93426,ufc-vegas-57-2489,ufc-fight-night-october-01-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Dern vs. Yan,622
90713-ufc-fight-night,49c29e57d4e2be6f,93809,ufc-fight-night-212-2579,ufc-fight-night-october-15-2022,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC Fight Night: Grasso vs. Araujo,623
87755-ufc-281,885e7f70dcac0007,92490,ufc-281-2586,ufc-280,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 280: Oliveira vs. Makhachev,624
