id,name,nickname
1681,Solomon Hutcherson,King
1684,Cody Donovan,Donnybrook
1704,Bryan Caraway,Kid Lightning
1712,Sabah Homasi,The Sleek Sheik
1714,Hayder Hassan,
1715,Yancy Medeiros,
1716,Wes Sims,A Whole Show
1718,Nick Penner,The Quiet Assassin
1721,Claude Patrick,The Prince
1738,Kyung Ho Kang,Mr. Perfect
1741,Charlie Brenneman,The Spaniard
1743,Mario Miranda,Super
1744,Daniel Roberts,Ninja
1747,Tom Gallicchio,Da Tank
1751,Anthony Perosh,The Hippo
1760,Ben Askren,Funky
1763,Felice Herrig,The Lil Bulldog
1764,Greg Soto,
1765,Sean Pierson,Punisher
1768,Darren Elkins,The Damage
1769,Travis Browne,Hapa
1773,Demetrious Johnson,Mighty Mouse
1778,Mike Ricci,The Martian
1782,Josh Schockman,The Warhammer
1783,Dustin Ortiz,
1788,Ovince St. Preux,OSP
1792,Che Mills,Beautiful
1815,Nathan Coy,Soulforce
1816,Julianna Peña,The Venezuelan Vixen
1817,Jessica Rakoczy,The Ragin'
1825,Daron Cruickshank,Detroit Superstar
1829,Anthony Smith,Lionheart
1839,Roger Bowling,Relentless
1842,James Toney,Lights Out
1846,Luke Zachrich,
1849,Karlos Vémola,The Terminator
1857,Renan Barão,The Baron
1858,Mark Holst,Boots
1864,Rafael Natal,Sapo
1869,Stipe Miocic,
1881,Luiz Dutra Jr.,Besouro
1885,Quinn Mulhern,
1893,Charles Oliveira,do Bronx
1900,Johnny Bedford,Brutal
1903,Chas Skelly,The Scrapper
1904,Brian Ebersole,Bad Boy
1915,Cody Gibson,The Renegade
1921,Brian Melancon,
1923,Jimmy Flick,The Brick
1926,Lisa Ellis,
1928,Amilcar Alves,
1931,Ricardo Romero,
1933,Willamy Freire,Chiquerim
1944,Christian Morecraft,
1956,Court McGee,The Crusher
1957,Jamie Yager,The Chosyn 1
1958,Rich Attonito,The Raging Bull
1959,Brad Tavares,
1960,Seth Baczynski,Polish Pistola
1961,Josh Bryant,The Beast
1962,Chris Camozzi,
1963,James Hammortree,Sledge
