id,name,nickname
7639,Michał Oleksiejczuk,Hussar
7652,Salim Touahri,Grizzly
7653,Fernando Padilla,El Valiente
7675,Josh Fremd,
7701,Muslim Salikhov,King of Kung Fu
7702,Juan Adams,The Kraken
7705,Melissa Martinez,Super Mely
7706,Marcelo Rojo,Pitbull
7717,Markus Perez,Maluko
7722,Nikolay Veretennikov,
7724,Ramiz Brahimaj,
7726,Virna Jandiroba,Carcará
7727,Bharat Khandare,Daring
7729,Wulijiburen,The Beastmaster
7730,Shane Young,Maraenui
7731,Kenan Song,The Assassin
7732,Pingyuan Liu,
7742,Yaozong Hu,Totoro
7744,Carlos Leal,The Lion
7754,Priscila Cachoeira,Zombie Girl
7757,Kay Hansen,
7764,Mohammad Yahya,The UAE Warrior
7765,Kai Asakura,
7777,Nicco Montaño,
7778,Melinda Fábián,The Predator
7779,Christina Marks,
7780,Montana De La Rosa,
7781,Karine Gevorgyan,The Princess
7782,Shana Dobson,Danger
7783,Emily Whitmire,Spitfire
7784,Gillian Robertson,The Savage
7792,Talita Bernardo,
7794,Magomed Ankalaev,
7814,Karine Silva,Killer
7816,Maia Kahaunaele,
7817,Polyana Viana,Dama de Ferro
7819,Michel Batista,
7832,Brogan Walker,The Bear
7834,Loma Lookboonmee,
7840,Cory McKenna,Poppins
7845,Israel Adesanya,The Last Stylebender
7848,Jordan Wright,The Beverly Hills Ninja
7865,Modestas Bukauskas,The Baltic Gladiator
7875,Yorgan De Castro,The Mad Titan
7876,Fabio Cherant,Water Buffalo
7881,Roosevelt Roberts,The Predator
7912,Mana Martinez,Manaboi
7928,Liana Jojua,She Wolf
7943,Puja Tomar,The Cyclone
7946,Chelsea Chandler,
7950,Tim Williams,The South Jersey Strangler
7951,Dricus Du Plessis,Stillknocks
7955,Weili Zhang,Magnum
7977,Alexander Hernandez,The Great Ape
8002,Aliaskhab Khizriev,The Black Wolf
8007,Liliya Shakirova,
8036,Jimmy Crute,The Brute
8037,Jack Jenkins,Phar
8045,Zhalgas Zhumagulov,Zhako
8059,Jeremiah Wells,
8067,Mohammed Usman,The Motor
8076,Andre Ewell,Fire Fist
8098,Alexey Kunchenko,Wolverine
8102,Zelim Imadaev,
8132,Rafael Alves,The Turn
8148,Macy Chiasson,
8150,Julia Avila,Raging Panda
8152,Carlo Pedersoli,Semento
8154,Hailey Cowan,All Hail
8166,Chepe Mariscal,Machine Gun
8167,Pat Sabatini,
8169,Khalid Murtazaliev,
8177,Darrius Flowers,Beast Mode
8178,Hyder Amil,The Hurricane
8181,Nohelin Hernandez,Suavé
8190,Don Madge,Magic Man
8191,Greg Hardy,The Prince of War
8192,Said Nurmagomedov,
8207,Austin Hubbard,Thud
8215,Darko Stošić,The Hammer
8218,Jairzinho Rozenstruik,Bigi Boy
8219,Askar Askarov,Bullet
8222,Jarno Errens,
8225,Manon Fiorot,The Beast
8229,Jordan Williams,Bomaye
8230,Jamal Pogues,The Stormtrooper
8232,Deron Winn,
8244,Hector Aldana,El Charro
8245,Yadong Song,Kung Fu Kid
8254,Austen Lane,
8255,Montel Jackson,Quik
8257,Antonina Shevchenko,La Pantera
8258,Rafael Fiziev,Ataman
8265,Abus Magomedov,
8276,Kayla Harrison,
8279,Austin Lingo,Lights Out
8282,Te Edwards,Tango
8322,Ilia Topuria,El Matador
8333,Damir Ismagulov,Qazaq
8336,Erin Blanchfield,Cold Blooded
8346,Luis Pena,Violent Bob Ross
8348,Callan Potter,The Rockstar
8374,Josh Parisian,
8383,Makhmud Muradov,Mach
8409,Allan Zuñiga,Tigre
8410,Joe Giannetti,Skeletor
8411,Michael Trizano,The Lone Wolf
8412,John Gunther,The Machine
8418,Edmen Shahbazyan,The Golden Boy
8422,Alex Munoz,
8423,Mike Davis,Beast Boy
8425,Chase Hooper,The Dream
8426,Brad Katona,Superman
8427,Jay Cucciniello,The Mellow Fellow
8428,Tyler Diamond,
8432,Alen Amedovski,
8450,Omar Morales,Resilient
8457,Movsar Evloev,
8459,Adam Yandiev,Beard
8471,Da'Mon Blackshear,Da Monster
8472,Jacob Kilburn,The Killer
8473,Devonte Smith,King Kage
8477,Mariya Agapova,Money Mashka
8481,Shanna Young,The Shanimal
8508,Ryan MacDonald,Main Event
8520,Gilbert Urbina,The RGV Bad Boy
8521,Sean Brady,
8523,Danyelle Wolf,
8527,Chris Daukaus,
8530,Joe Pyfer,Bodybagz
8534,Raphael Pessoa,Bebezão
8537,Jin Soo Son,
8538,André Muniz,Sergipano
8541,Taila Santos,
8542,Johnny Walker,
8543,Marina Rodriguez,
8546,Mayra Bueno Silva,Sheetara
8547,Rogério Bontorin,
8548,Antônio Arroyo,
8551,Sarah Frota,A Treta
8553,Raulian Paiva,
8554,John Allan,The Hunter
8555,Vinicius Moreira,Mamute
8577,Zarrukh Adashev,The Lion
8582,Saidyokub Kakhramonov,
8602,Dennis Buzukja,The Great
8630,Stefan Sekulić,
8636,Luigi Vendramini,The Italian Stallion
8641,Punahele Soriano,Puna
8646,Adam Fugitt,
8664,Joselyne Edwards,La Pantera
8701,Hannah Cifers,Shockwave
8705,Montserrat Conejo Ruiz,Conejo
8711,Laureano Staropoli,Pepi
8714,Jesus Pinedo,El Mudo
8723,Sergey Morozov,
8746,Sumudaerji,The Tibetan Eagle
8747,Suman Mokhtarian,
8749,Liudvik Sholinian,Palmeyros
8757,Vince Cachero,The Anomaly
8763,Juan Espino,El Guapo
8767,Alex Gorgees,Hitman
8774,Miranda Granger,Danger
8823,Youssef Zalal,The Moroccan Devil
8840,Kyle Daukaus,The D'Arce Knight
8856,William Knight,Knightmare
8861,Chris Duncan,The Problem
8867,Mario Bautista,
8870,Marcos Mariano,Dhalsim
8891,Reinier de Ridder,The Dutch Knight
8893,Billy Goff,
8897,Felipe Colares,Cabocão
8898,Geraldo de Freitas,Spartan
8900,Victoria Leonardo,Fury
8903,Hunter Azure,
8909,Mike Grundy,
8910,Joel Alvarez,El Fenomeno
8930,Tom Aspinall,
8934,Ian Machado Garry,The Future
8944,Klidson Abreu,White Bear
8946,Gabriel Silva,Gambit
8960,Marc-André Barriault,Powerbar
8961,Sergei Pavlovich,
8967,Nicolae Negumereanu,Nicu
8980,Morgan Charrière,The Last Pirate
8981,Manolo Zecchini,Angelo Veneziano
8992,Luana Carolina,Dread
8998,Vanessa Demopoulos,Lil Monster
9000,Fernie Garcia,
9008,Joseph Holmes,Ugly Man
9030,Randy Costa,The Zohan
9034,Arman Tsarukyan,Ahalkalakets
9040,Loik Radzhabov,The Tajik Tank
9052,Bea Malecki,Bad News Barbie
9054,Duda Santana,Cowboyzinha
9063,Serghei Spivac,Polar Bear
9064,Alex da Silva,Leko
9065,Seung Woo Choi,Sting
9071,Michel Pereira,Demolidor
9074,Ange Loosa,The Last Ninja
9084,Garrett Armfield,
9088,Melissa Gatto,
9094,Roman Dolidze,The Caucasian
9107,Oban Elliott,The Welsh Gangster
9109,Cole Smith,The Cole Train
9113,Takashi Sato,Ten
9130,Grigorii Popov,
9131,Charles Jourdain,Air
9135,Joanderson Brito,Tubarão
9139,Dalcha Lungiambula,Champion
9146,Christian Rodriguez,CeeRod
9149,Carlos Huachin,El Perro Malo
9154,Rostem Akman,Kurdimus Prime
9155,Viviane Araujo,Vivi
9159,Natan Levy,Lethal
9168,Brok Weaver,Chata Tuska
9170,Hannah Goldy,24k
9171,Bill Algeo,Señor Perfecto
9183,Sung Bin Jo,Korean Falcon
9198,Nathan Fletcher,
9200,Daniel Zellhuber,Golden Boy
9217,Danny Silva,El Puma
9219,Juancamilo Ronderos,100
9241,Rafa García,Gifted
9245,Joe Solecki,
9246,Jonathan Pearce,JSP
9247,Ottman Azaitar,Bulldozer
9257,Jose Johnson,Lobo Solitario
9273,Ciryl Gane,Bon Gamin
9274,Journey Newson,
9275,Wellington Turman,The Prodigy
9282,Ode Osbourne,The Jamaican Sensation
9286,Terrance McKinney,T.Wrecks
9288,Jamahal Hill,Sweet Dreams
9289,Aleksa Camur,
9290,Aalon Cruz,
9291,Steven Nguyen,The Ninja
9293,Rodrigo Nascimento,Zé Colmeia
9297,Dean Barry,The Sniper
9312,Jun Yong Park,The Iron Turtle
9313,Yoshinori Horie,Rising Star
9314,Nikolas Motta,Iron
9315,Justin Tafa,Bad Man
9316,Eduardo Garagorri,
9317,Ariane Carnelossi,Sorriso
9318,Rodolfo Vieira,The Black Belt Hunter
9342,Sean Woodson,The Sniper
9364,Victor Henry,La Mangosta
9365,Umar Nurmagomedov,
9371,Jesse Strader,Sui Generis
9379,Phil Rowe,The Fresh Prince
9383,Rodrigo Vargas,Kazula
9389,Da Woon Jung,Sseda
9397,Duško Todorović,Thunder
9398,Impa Kasanganay,Tshilobo
9400,Ben Sosoli,Combat Wombat
9411,Jake Hadley,White Kong
9417,Karol Rosa,
9418,Lara Fritzen,
9433,Lerone Murphy,The Miracle
9436,Gustavo Lopez,
9440,Erick Gonzalez,The Ghost Pepper
9450,Diana Belbiţă,The Warrior Princess
9451,Fares Ziam,Smile Killer
9456,Lupita Godinez,Loopy
9461,Landon Quiñones,The Lone Wolf
9468,Batgerel Danaa,Storm
9469,Alatengheili,The Mongolian Knight
9470,Khadis Ibragimov,
9492,Tristan Connelly,Boondock
9509,Edgar Cháirez,Puro Chicali
9515,Jordan Vucenic,The Epidemic
9517,Brad Riddell,Quake
9518,Jamie Mullarkey,
9527,Silvana Gómez Juárez,La Malvada
9537,Khaos Williams,The Oxfighter
9539,Collin Anglin,
9554,Elise Reed,
9662,Victor Altamirano,El Magnifico
9672,Ivan Erslan,
9676,Zviad Lazishvili,
9708,Tafon Nchukwi,Da Don
9738,Askar Mozharov,No Mercy
9740,Muhammad Naimov,Hillman
9746,Carlos Mota,Tizil
9748,Isabela de Pádua,Belinha
9750,Ignacio Bahamondes,La Jaula
9787,Daniel Barez,
9804,Victor Martinez,The Brick
9816,Louis Cosce,The Monster
9818,Dan Argueta,The Determined
9825,Norma Dumont,The Immortal
9841,Kevin Borjas,El Gallo Negro
9863,Sam Hughes,Sampage
9868,Nazim Sadykhov,Black Wolf
9869,Jasmine Jasudavicius,
9906,Max Rohskopf,Rated R
9925,Shavkat Rakhmonov,Nomad
9926,Julija Stoliarenko,
9928,Josh Culibao,Kuya
9930,Spike Carlyle,The Alpha Ginger
9944,David Dvořák,Undertaker
9945,Alexandr Romanov,King Kong
9952,Yohan Lainesse,White Lion
9957,Michal Figlak,Mad Dog
9979,Mandy Böhm,Monster
9980,Charalampos Grigoriou,The Ferocious
9999,Shara Magomedov,Bullet
10059,Łukasz Brzeski,The Bull
10088,Tereza Bledá,
10094,Mounir Lazzez,The Sniper
10115,Roman Bogatov,
10138,T.J. Laramie,The Truth
10168,Cody Brundage,
10170,Drako Rodriguez,The Great Drakolini
10189,Khamzat Chimaev,Borz
10190,Bruno Souza,The Tiger
10210,Jordan Leavitt,The Monkey King
10214,Dustin Stoltzfus,
10215,Nate Maness,Mayhem
10229,Uros Medic,The Doctor
10230,Ronaldo Rodríguez,Lazy Boy
10231,Cody Durden,Custom Made
10235,Charlie Campbell,The Cannibal
10238,Ali AlQaisi,The Royal Fighter
10240,Kai Kamaka III,Fighting Hawaiian
10241,Johnny Munoz Jr.,Kid Kvenbo
10252,Cheyanne Vlismas,The Warrior Princess
10253,Orion Cosce,Galaxy
10259,Danny Chavez,The Colombian Warrior
10266,Tucker Lutz,Top Gun
10268,Matthew Semelsberger,Semi The Jedi
10271,Carlton Minus,Clutch
10279,Trevin Jones,5 Star
10280,Evan Elder,The Phenom
10282,Melsik Baghdasaryan,The Gun
10295,Abdul-Kareem Al-Selwady,Pride Of Palestine
10299,Viacheslav Borshchev,Slava Claus
10300,Clayton Carpenter,
10307,Nassourdine Imavov,The Sniper
10312,Tabatha Ricci,Baby Shark
10315,Nick Maximov,
10316,Josh Quinlan,Bushido
10348,Jacob Malkoun,Mamba
10350,Christian Leroy Duncan,CLD
10377,KB Bhullar,The Bengal
10382,Alan Baudot,The Black Samourai
10385,Guram Kutateladze,Georgian Viking
10388,Andre Petroski,
10404,Carlos Ulberg,Black Jag
10407,Ozzy Diaz,
10416,Victor Rodriguez,Vicious
10420,Gloria de Paula,Glorinha
10428,Juliana Miller,Killer
10437,Jamey Simmons,The Afro Samurai
10438,Harry Hunsucker,The Hurricane
10463,Alex Pereira,Poatan
10468,Luana Pinheiro,
10469,Sasha Palatnikov,
10482,Bassil Hafez,The Habibi
10514,Francisco Figueiredo,Sniper
10524,Casey O'Neill,King
10546,Thomas Petersen,The Train
10547,Natália Silva,
10550,Zac Pauga,The High Chief
10566,Gaetano Pirrello,El Tigre
10576,Denys Bondar,Psycho
10594,Darian Weeks,
10778,Mitch Raposo,
10780,Jaqueline Amorim,Jacque
10791,Carlston Harris,Moçambique
10793,CJ Vergara,
10796,MarQuel Mederos,
10803,Cameron Smotherman,The Baby-Faced Killer
10808,David Onama,Silent Assassin
10816,Isaac Dulgarian,The Midwest Choppa
10819,Felipe Lima,Jungle Boy
10833,Josefine Knutsson,Thunder
10837,Aoriqileng,The Mongolian Murderer
10851,Nursulton Ruziboev,Black
10853,Asu Almabayev,Zulfikar
10870,Anton Turkalj,The Pleasure Man
10897,Azat Maksum,Qazaq
10916,AJ Cunningham,The Savage
10936,Rongzhu,
10937,Na Liang,Dragon Girl
10973,Javid Basharat,The Snow Leopard
10991,Gabriel Miranda,Fly
10994,Ikram Aliskerov,
10995,Muhammad Mokaev,The Punisher
10998,Benardo Sopaj,The Lion King
11019,Timmy Cuamba,Twilight
11029,Josiane Nunes,Josi
11078,Nurullo Aliev,Tajik Eagle
11124,Shayilan Nuerdanbieke,Wolverine
11127,Piera Rodriguez,La Fiera
11138,Fatima Kline,The Archangel
11162,Robert Bryczek,
11217,Cameron Saaiman,MSP
11261,Klaudia Syguła,
11410,Sam Patterson,The Future
11422,Yanis Ghemmouri,The Desert Warrior
11468,Manuel Torres,El Loco
11489,Martin Buday,Badys
11513,Bruno Silva,Blindado
11514,Armen Petrosyan,Superman
11655,Talita Alencar,Problem Child
11723,Ismael Bonfim,Marreta
11734,Kauê Fernandes,
11737,Stephanie Luciano,Rondinha
11740,Luan Lacerda,
11749,Kaynan Kruschewsky,Bahia
11752,Gabriel Bonfim,Marretinha
11785,Tamires Vidal,Tratora
11791,Farid Basharat,Ferocious
12102,Daniel Lacerda,Miojo
12200,James Llontop,Goku
12231,Brady Hiestand,Bam Bam
12232,Martin Sano,Spartan
12265,Bryan Battle,The Butcher
12266,Tresean Gore,Mr. Vicious
12267,Vinicius Salvador,Fenômeno
12268,Saimon Oliveira,
12269,Khusein Askhabov,Nohcho
12270,Chad Anheliger,The Monster
12271,AJ Fletcher,The Ghost
12274,Micheal Gillmore,The Gentleman
12309,Sedriques Dumas,The Reaper
12328,Diego Lopes,
12394,Julia Polastri,Psycho
12427,Jailton Almeida,Malhadinho
12449,Cameron VanCamp,Jumpman
12493,AJ Dobson,
12495,Michael Morales,
12497,Kleydson Rodrigues,KR
12522,Shamil Gaziev,
12547,Quang Le,Bang
12569,Ihor Potieria,Duelist
12570,Caio Borralho,The Natural
12571,Lucas Almeida,
12614,Joshua Weems,Wide Open
12616,Genaro Valdéz,Rayadito
12636,Benoit Saint-Denis,God of War
12679,Oumar Sy,
12689,Jonny Parsons,The Sluggernaut
12701,Marnic Mann,The Sawed-Off Savage
12710,Irina Alekseeva,Russian Ronda
12713,Gadzhi Omargadzhiev,
12717,Long Xiao,
12720,Mansur Abdul-Malik,
12721,Vinicius Oliveira,Lok Dog
12728,Yanal Ashmouz,Red Fox
12733,Maheshate Hayisaer,
12770,Themba Gorimbo,The Answer
12811,Dione Barbosa,The Witch
12830,Waldo Cortes-Acosta,Salsa Boy
12831,Mike Mathetha,Blood Diamond
12838,Victor Hugo,Striker
12971,Zach Scroggin,
13013,Blake Bilder,El Animal
13017,Angel Pacheco,
13028,Connor Matthews,The Controller
13089,Mike Malott,Proper
13104,Pete Rodriguez,Dead Game
13140,Mairon Santos,The Legend
13186,Jesse Butler,
13235,Ivana Petrović,
13242,Felipe Bunes,Felipinho
13254,Karl Williams,
13311,Tatsuro Taira,
13314,Ramona Pascual,
13392,Brendson Ribeiro,The Gorilla
13407,Jacqueline Cavalcanti,The Nightmare
13433,Denise Gomes,Dee
13460,Ketlen Souza,Esquentadinha
13471,Robert Valentin,Robzilla
13474,Denis Tiuliulin,
13555,Myktybek Orolbai,
13557,Rinat Fakhretdinov,Gladiator
13592,Caolán Loughran,The Don
13649,Dylan Budka,The Mindless Hulk
13707,Serhiy Sidey,
13734,Chang Ho Lee,
13774,Melquizael Costa,Melk Cauthy
13778,Bruna Brasil,The Special One
13793,Yazmin Jauregui,
13847,Trey Waters,The Truth
13883,Ailín Pérez,Fiona
13920,Seung Guk Choi,
13922,Toshiomi Kazama,Silent Finisher
13935,Rinya Nakamura,Hybrid
13936,Anshul Jubli,King of Lions
13942,Hyun Sung Park,Peace of Mind
13981,Melissa Mullins,No Mess
14049,Luana Santos,
14050,Marcus McGhee,The Maniac
14110,Jean Matsumoto,
14121,Alessandro Costa,Nono
14124,Iasmin Lucindo,
14134,Lone'er Kavanagh,
14137,Hamdy Abdelwahab,The Hammer
14184,Shannon Ross,The Turkish Delight
14185,Francis Marshall,Fire
14186,Cristian Quiñonez,Problema
14211,Bo Nickal,
14213,Erik Silva,King
14245,Esteban Ribovics,El Gringo
14247,Claudio Ribeiro,
14277,Mick Parkin,
14279,Jesus Aguilar,
14317,Yusaku Kinoshita,Wonderboy
14333,William Gomis,Jaguar
14346,Vitor Petrino,Icão
14364,Trevor Peek,
14365,Daniel Marcos,Soncora
14385,Nora Cornolle,Wonder
14404,Brunno Ferreira,The Hulk
14406,Jafel Filho,Pastor
14501,Mateus Mendonça,Bocão
14504,Montserrat Rendon,Monster
14505,Shauna Bannon,Mama B
14517,Gabriella Fernandes,Gabi
14594,Lucas Alexander,The Lion
14658,Magomed Gadzhiyasulov,MG
14661,Raul Rosas Jr.,El Niño Problema
14690,Darya Zheleznyakova,The Iron Lady
14705,Carlos Prates,The Nightmare
14707,Felipe dos Santos,Lipe Detona
14721,Mingyang Zhang,Mountain Tiger
14745,Joshua Van,The Fearless
14810,Braxton Smith,The Beautiful Monster
14814,Danny Barlow,LeftHand2God
14832,Junior Tafa,The Juggernaut
14867,Steven Koslow,Obi Won Shinobi The Pillow
15004,Bekzat Almakhan,The Turan Warrior
15041,Mateusz Rębecki,Rebeasti
15042,Nick Fiore,
15049,Francisco Prado,
15050,Nick Aguirre,Slick
15072,Jeka Saragih,Si Tendangan Maut
15075,Jeong Yeong Lee,The Korean Tiger
15076,Yizha,
15079,Ryan Loder,Man Of Steel
15109,Elves Brener,
15113,Ernesta Kareckaite,Heavy-Handed
15153,Rolando Bedoya,The Machine
15245,Tainara Lisboa,Thai Panther
15300,Rafael Estevam,Macapá
15320,Alice Ardelean,
15372,Gabriel Santos,Mosquitinho
15422,Payton Talbott,
15531,Jamey-Lyn Horth,
15719,Rayanne Amanda,
15736,Mitch Ramirez,The Fight Stalker
15865,Nyamjargal Tumendemberel,Art of Knockout
15872,Rei Tsuruya,
15879,Baergeng Jieleyisi,
15885,Lucas Rocha,Fenômeno
15904,Steve Erceg,AstroBoy
15905,Victoria Dudakova,
15949,Cortavious Romious,Are You Not Entertained?
16059,Terrence Mitchell,Terr-Bear
16067,Robelis Despaigne,The Big Boy
16106,Val Woodburn,The Animal
16132,André Lima,Mascote
16303,Tom Nolan,Big Train
16304,César Almeida,Cesinha
16318,Eduarda Moura,Ronda
16319,Ibo Aslan,The Last Ottoman
16353,Zach Reese,Savage
16354,Luis Pajuelo,Corazón de León
16384,Bogdan Guskov,Czarevitch
16406,Bolaji Oki,The Zulu Warrior
16429,Kevin Jousset,Air
16460,Ramon Taveras,The Savage
16483,Jhonata Diniz,
16539,Carli Judice,Crispy
16593,Ravena Oliveira,Kenoudy
16595,Mauricio Ruffy,One Shot
16620,Brendon Marotte,The Kid
16739,Jose Ochoa,Kalzifer
17299,Igor Severino,
17371,Valter Walker,The Clean Monster
17649,Tuco Tokkos,
17653,DongHun Choi,
17668,Ming Shi,Doctor
18148,Stewart Nicoll,Kakamora
18152,Cong Wang,The Joker
18212,Cody Haddon,
18251,Zygimantas Ramaska,
18252,Kaan Ofli,Genghis
18344,Navajo Stirling,
18532,Ramazan Temirov,Temurlan
18575,Raffael Cerqueira,The Lion
18607,Sean Sharaf,The Smoke
18771,Kiru Sahota,
18776,Roberto Romero,El Charro Negro
18785,Su Young You,Yoo-Jitsu
18786,Xiaocan Feng,
