event_id,name
1293,UFC Fight Night: Nelson vs. Ponzinibbio
1303,UFC 214: Cormier vs. Jones 2
1307,UFC Fight Night: Pettis vs. Moreno
1308,UFC 215: Nunes vs. Shevchenko 2
1310,UFC Fight Night: Volkov vs. Struve
1332,UFC Fight Night: Saint Preux vs. Okami
1341,UFC 216: Ferguson vs. Lee
1343,UFC Fight Night: Rockhold vs. Branch
1348,UFC 217: Bisping vs. St-Pierre
1352,UFC Fight Night: Brunson vs. Machida
1353,UFC Fight Night: Poirier vs. Pettis
1354,UFC Fight Night: Werdum vs. Tybura
1356,UFC Fight Night: Cowboy vs. Till
1363,UFC Fight Night: Bisping vs. Gastelum
1364,The Ultimate Fighter: A New World Champion Finale
1365,UFC on Fox: Lawler vs. dos Anjos
1368,UFC 218: Holloway vs. Aldo 2
1386,UFC Fight Night: Swanson vs. Ortega
1387,UFC 219: Cyborg vs. Holm
1406,UFC 220: Miocic vs. Ngannou
1408,UFC Fight Night: Stephens vs. Choi
1411,UFC 221: Romero vs. Rockhold
1412,UFC Fight Night: Cowboy vs. Medeiros
1413,UFC on Fox: Jacaré vs. Brunson 2
1418,UFC Fight Night: Machida vs. Anders
1422,UFC 222: Cyborg vs. Kunitskaya
1423,UFC Fight Night: Werdum vs. Volkov
1425,UFC on Fox: Emmett vs. Stephens
1444,UFC 223: Khabib vs. Iaquinta
1446,UFC on Fox: Poirier vs. Gaethje
1447,UFC 226: Miocic vs. Cormier
1453,UFC 224: Nunes vs. Pennington
1455,UFC Fight Night: Barboza vs. Lee
1459,UFC 225: Whittaker vs. Romero 2
1467,UFC Fight Night: Rivera vs. Moraes
1468,UFC Fight Night: Maia vs. Usman
1475,UFC Fight Night: Cowboy vs. Edwards
1478,UFC Fight Night: Thompson vs. Till
1492,UFC 227: Dillashaw vs. Garbrandt 2
1502,UFC on Fox: Alvarez vs. Poirier 2
1503,The Ultimate Fighter: Undefeated Finale
1504,UFC Fight Night: dos Santos vs. Ivanov
1507,UFC Fight Night: Shogun vs. Smith
1528,UFC Fight Night: Gaethje vs. Vick
1530,UFC 228: Woodley vs. Till
1539,UFC Fight Night: Hunt vs. Oleinik
1544,UFC Fight Night: Santos vs. Anders
1559,UFC Fight Night: The Korean Zombie vs. Rodríguez
1562,UFC 230: Cormier vs. Lewis
1564,UFC Fight Night: Volkan vs. Smith
1566,UFC 229: Khabib vs. McGregor
1574,UFC Fight Night: dos Santos vs. Tuivasa
1578,UFC Fight Night: Magny vs. Ponzinibbio
1579,UFC Fight Night: Blaydes vs. Ngannou 2
1583,UFC 232: Jones vs. Gustafsson 2
1584,UFC 231: Holloway vs. Ortega
1586,The Ultimate Fighter: Heavy Hitters Finale
1587,UFC on Fox: Lee vs. Iaquinta 2
1620,UFC 234: Adesanya vs. Silva
1623,UFC Fight Night: Cejudo vs. Dillashaw
1625,UFC 235: Jones vs. Smith
1626,UFC Fight Night: Till vs. Masvidal
1628,UFC Fight Night: Assunção vs. Moraes 2
1637,UFC on ESPN: Ngannou vs. Velasquez
1638,UFC Fight Night: Błachowicz vs. Santos
1639,UFC Fight Night: Lewis vs. dos Santos
1647,UFC 237: Namajunas vs. Andrade
1648,UFC on ESPN: Barboza vs. Gaethje
1654,UFC Fight Night: Thompson vs. Pettis
1657,UFC Fight Night: Jacaré vs. Hermansson
1666,UFC 236: Holloway vs. Poirier 2
1672,UFC Fight Night: Iaquinta vs. Cowboy
1673,UFC Fight Night: Overeem vs. Oleinik
1674,UFC Fight Night: dos Anjos vs. Lee
1676,UFC Fight Night: Gustafsson vs. Smith
1677,UFC 238: Cejudo vs. Moraes
1680,UFC Fight Night: Moicano vs. The Korean Zombie
1686,UFC 239: Jones vs. Santos
1687,UFC on ESPN: Ngannou vs. dos Santos
1709,UFC 241: Cormier vs. Miocic 2
1713,UFC 240: Holloway vs. Edgar
1714,UFC Fight Night: de Randamie vs. Ladd
1715,UFC 242: Khabib vs. Poirier
1717,UFC on ESPN: dos Anjos vs. Edwards
1724,UFC Fight Night: Shevchenko vs. Carmouche 2
1733,UFC Fight Night: Andrade vs. Zhang
1734,UFC on ESPN: Covington vs. Lawler
1735,UFC Fight Night: Cowboy vs. Gaethje
1747,UFC Fight Night: Hermansson vs. Cannonier
1751,UFC Fight Night: Joanna vs. Waterson
1752,UFC 243: Whittaker vs. Adesanya
1753,UFC Fight Night: Rodríguez vs. Stephens
1755,UFC Fight Night: Błachowicz vs. Jacaré
1764,UFC on ESPN: Reyes vs. Weidman
1771,UFC 244: Masvidal vs. Diaz
1785,UFC on ESPN: Overeem vs. Rozenstruik
1787,UFC 245: Usman vs. Covington
1793,UFC Fight Night: Maia vs. Askren
1795,UFC Fight Night: Magomedsharipov vs. Kattar
1803,UFC Fight Night: Edgar vs. The Korean Zombie
1837,UFC 247: Jones vs. Reyes
1839,UFC 246: McGregor vs. Cowboy
1841,UFC Fight Night: Blaydes vs. dos Santos
1846,UFC Fight Night: Felder vs. Hooker
1847,UFC Fight Night: Lee vs. Oliveira
1848,UFC Fight Night: Anderson vs. Błachowicz 2
1849,UFC 248: Adesanya vs. Romero
1862,UFC Fight Night: Benavidez vs. Figueiredo
