ufcstats_id,bestfightodds_id,betmma_id,espn_id,fightmatrix_id,fightoddsio_id,mmadecisions_id,sherdog_id,tapology_id
0b362247806341e5,7455,1294,4249185,146355,RmlnaHRlck5vZGU6MjE2MTE=,5837,197069,83711-jp-buys
0b5b6876c2a4723f,812,,2335719,42417,RmlnaHRlck5vZGU6MTM0Mg==,709,21627,steve-steinbeiss-the-hooligan
0b64d0fed453ef7f,469,547,2504173,34742,RmlnaHRlck5vZGU6MTEzNg==,855,16852,scott-jorgensen-young-guns
0b8d512c79b4baf3,3227,1200,2989137,20501,RmlnaHRlck5vZGU6MTkyOQ==,2028,34374,matt-bessette-the-mangler
0bc697c5936a2d0a,14364,4322,5048900,187312,RmlnaHRlck5vZGU6NDgyNzc=,6416,280187,60331-trevor-peek
0bc7e61d204f2137,,,2431261,13660,RmlnaHRlck5vZGU6ODU2,,7690,fabiano-scherner-pega-leve
0bcfe2513cb3bc39,3269,,2617232,15915,RmlnaHRlck5vZGU6MTAyOA==,2057,29744,tom-deblass
0be6776db31d98ec,10778,3329,4815978,186263,RmlnaHRlck5vZGU6MzU4MDc=,6697,278793,160416-mitch-raposo
0c258d1d8e16e5f1,7556,2420,4426319,86951,RmlnaHRlck5vZGU6MjI0MzE=,5755,84807,67449-kevin-natividad
0c25d0a5e8cdbf19,10059,3118,4710386,114367,RmlnaHRlck5vZGU6MjY2MjI=,6300,132249,90654-ukasz-brzeski
0c5c66ddd1886b83,3081,33,2613965,53353,RmlnaHRlck5vZGU6MTE3NA==,2102,51163,19696-caio-magalhaes-hellboy
0c670b443c3d269f,633,661,2528568,24827,RmlnaHRlck5vZGU6MTc3MA==,1468,12903,jim-wallhead-judo
0c6d9ea8306c029e,1959,192,2504643,19227,RmlnaHRlck5vZGU6MTM1Mw==,781,33095,brad-tavares
0c9c0a43d3f3f49d,3398,765,2964412,38080,RmlnaHRlck5vZGU6MTA4Nw==,2129,20277,24398-marcelo-guimaraes-magrao
0ccab7c889ede9ea,5321,380,3157944,134902,RmlnaHRlck5vZGU6NjA4Nw==,3400,112413,70996-fredy-serrano
0cd0456d6029cec2,13471,4674,4686237,168215,RmlnaHRlck5vZGU6NDQ3MDM=,,241133,136498-robert-valentin
0cf935519d439ba6,,,2473330,12,RmlnaHRlck5vZGU6Mzkw,,12,enson-inoue-yamato-damashi
0d0351c20169a499,4562,446,3082809,61158,RmlnaHRlck5vZGU6NjAyNA==,,58594,31533-jon-delos-reyes-the-heat
0d1c163b206e8c5f,5528,411,3120897,87045,RmlnaHRlck5vZGU6NjIwMQ==,3442,84854,27661-rocky-lee
0d506315895efffc,1765,898,2531643,565,RmlnaHRlck5vZGU6MTI2OQ==,1115,573,sean-pierson
0d5cc0170c1a7e71,14277,4216,5060505,163117,RmlnaHRlck5vZGU6NDY4Mzc=,6512,224411,124944-michael-parkin
0d62719b1dcf7c40,5362,182,3020092,92720,RmlnaHRlck5vZGU6NjQxNA==,3276,93951,32709-sheymon-da-silva-moraes
0d65c432720accb9,7639,1334,4012999,126560,RmlnaHRlck5vZGU6MTQ3ODI=,4606,156397,61212-michal-oleksiejczuk
0d7b51c9d2649a6e,7951,331,3166126,121477,RmlnaHRlck5vZGU6MTExOTk=,4728,146193,51267-dricus-du-plessis-stilknocks
0d8011111be000b2,4733,1656,3093653,16617,RmlnaHRlck5vZGU6NjExOQ==,2851,30452,6055-sean-strickland-tarzan
0d980975001ae3d8,6071,811,3955238,116848,RmlnaHRlck5vZGU6ODUxNQ==,3699,136875,66739-shamil-gamzatov
0db70ca89e1c7374,,,2504611,1989,RmlnaHRlck5vZGU6Mzgx,,2007,dieusel-berto
0dba4df5f34d5ff0,1864,288,2504667,25874,RmlnaHRlck5vZGU6MTIyMg==,940,13968,rafael-natal-sapo
0de720c0f1d4ab9c,10259,2367,3890629,60987,RmlnaHRlck5vZGU6MTQ5MjY=,5670,59478,17303-danny-chaves
0e041d43a47d2e4b,666,,2354346,274,RmlnaHRlck5vZGU6ODg=,250,276,matt-lindland-the-law
0e21976afc92e4d1,2137,721,2511447,42923,RmlnaHRlck5vZGU6MTAwMQ==,2056,22137,11471-magnus-cedenblad
0e31bfd26cc8c503,,,2354259,10087,RmlnaHRlck5vZGU6NzM5,,4102,chris-liguori-the-story
0e46690e55a8df75,11019,3084,5123311,204785,RmlnaHRlck5vZGU6MzY5MTA=,6602,316223,181377-timothy-cuamba
0e5c4e72237461bb,10190,2583,4687105,163231,RmlnaHRlck5vZGU6MzA5MzA=,6091,231115,136658-bruno-assis-karate
0e9869d712e81f8f,,,2504612,120,RmlnaHRlck5vZGU6NTIw,72,122,sam-adkins-the-experience
0ec821423baa26bd,,,2951215,136,RmlnaHRlck5vZGU6NTI4,,138,scott-fiedler
0ee783aa00e468f0,755,468,2354057,154,RmlnaHRlck5vZGU6MTI1,111,156,vitor-belfort-the-phenom
0f1efce7d2571d10,7722,2754,4700616,141461,RmlnaHRlck5vZGU6MTk4MTU=,6727,186789,74381-nikolai-veretenikov
0f3a990526c5e706,18607,7655,5240957,217271,RmlnaHRlck5vZGU6NjI0NTg=,,344701,229173-sean-sharaf
0f6528b461e47462,,,2500451,254,RmlnaHRlck5vZGU6NDMx,230,256,joao-roque
0fb1e2694a39a02f,2597,878,2516139,50815,RmlnaHRlck5vZGU6MTM4NQ==,2084,47069,yuri-villefort
0fd5f4b838e890cc,8192,1538,3903378,97769,RmlnaHRlck5vZGU6MTY2NjU=,4834,103961,36038-said-nurmagomedov
0ff11cc094e887bc,464,501,2335654,36943,RmlnaHRlck5vZGU6OTA2,590,19102,cain-velasquez
102a8fdf8cbf7467,12497,3228,4875509,162470,RmlnaHRlck5vZGU6MjMzNDQ=,6214,229541,147055-kleidison-rodrigues-kr
103b06d8707895a9,4104,1079,4001846,67622,RmlnaHRlck5vZGU6NTQ0Nw==,4089,66143,43028-emil-weber-meek
103e2e33a60683e1,12710,3367,4711407,205918,RmlnaHRlck5vZGU6NDE4MzU=,6070,318403,213675-irina-alekseeva
10559c53de0b950e,3344,,2516118,56214,RmlnaHRlck5vZGU6MTA3MQ==,2104,55503,joey-gambino
10657c60ce349e0f,2128,834,3019078,43457,RmlnaHRlck5vZGU6NTk2NQ==,,22677,shunichi-shimizu
108afe61a26bcbf4,,,2951523,189,RmlnaHRlck5vZGU6NDE4,,191,igor-zinoviev-houdini
1091d4d957141094,4188,262,3026263,101251,RmlnaHRlck5vZGU6MTE0Nw==,2580,110937,37801-nikita-krylov
10f3ba6cd2f44a97,660,660,2335888,24039,RmlnaHRlck5vZGU6MTAyMA==,813,12107,dominick-cruz-the-dominator
113df4fde64735c6,4074,821,3070984,16729,RmlnaHRlck5vZGU6NjAyOA==,2718,30564,18815-david-grant
11583163f45c7b31,14594,4539,5077398,161443,RmlnaHRlck5vZGU6NDQ0MzY=,6336,227745,135395-lucas-peixoto
117a06469813e4ef,13734,5692,5137013,176058,RmlnaHRlck5vZGU6MzM5ODA=,6706,258443,143475-chang-ho-lee
11f8860028b68fcf,679,,2500774,27030,RmlnaHRlck5vZGU6MTI5Ng==,1243,15129,aaron-rosa
1208ffc5be6e31ad,495,,2354341,10024,RmlnaHRlck5vZGU6ODU3,,4038,samy-schiavo-the-dog
1209b5134401ca53,,,2556805,1933,RmlnaHRlck5vZGU6Nzg5,,1950,mario-neto-sucata
122ac9b816d8b71c,7782,1360,4287764,159314,RmlnaHRlck5vZGU6MjQwNTM=,4578,222841,90374-shana-dobson
1235b31de15d0c6e,8705,2338,4399703,136489,RmlnaHRlck5vZGU6MjkzOTI=,5043,175799,78224-montserrat-conejo-ruiz-toquinha
12458872d6afae1b,447,,2335523,294,RmlnaHRlck5vZGU6OTIw,516,296,vernon-white-tiger
12585614e0ed2626,10315,2447,4700964,198424,RmlnaHRlck5vZGU6MzQ1ODg=,6046,302823,160352-nick-maximov
1291edf2d566a71a,7436,1265,4227122,72780,RmlnaHRlck5vZGU6MTgxOTI=,4627,71299,30552-julio-arce
129537073431e52e,4348,150,3060123,31622,RmlnaHRlck5vZGU6MTM5Ng==,2652,39261,24974-garett-whiteley
12e0fdc606f7e274,4475,2529,3074813,79423,RmlnaHRlck5vZGU6Mjcz,5848,77414,20577-luis-saldana
12ebd7d157e91701,11513,1862,4333158,67764,RmlnaHRlck5vZGU6MjY0ODc=,5898,66304,59819-bruno-silva-blindado
12f1b140e248bdb9,2387,538,2555639,48343,RmlnaHRlck5vZGU6NjE=,1451,48156,jerrod-sanders
12f91bfa8f1f723b,3554,206,3028064,92762,RmlnaHRlck5vZGU6MjUwNQ==,2434,94103,22500-joanne-calderwood
132505067f08c54d,3272,609,2966920,15285,RmlnaHRlck5vZGU6MzEyOQ==,,29111,william-bush
132deb59abae64b1,5475,795,2554705,46252,RmlnaHRlck5vZGU6NjMwNw==,3681,45384,11614-valentina-shevchenko
132f860d02953f4c,609,,2335777,22127,RmlnaHRlck5vZGU6ODIz,598,10165,goran-reljic
1338e2c7480bdf9e,7845,2467,4285679,57140,RmlnaHRlck5vZGU6MjM4MTY=,4648,56374,79163-israel-adesanya
135d124172a0bea3,8333,1723,4215563,138781,RmlnaHRlck5vZGU6MTg0NTA=,5011,181183,81591-damir-ismagulov
13a0275fa13c4d26,5333,198,3154860,80751,RmlnaHRlck5vZGU6NjE2OQ==,3282,78628,63163-jared-cannonier
13b2f59210dda9cc,,,2951263,170,RmlnaHRlck5vZGU6NDU5,,172,kevin-jackson
13c4313ed0f744f3,,,2501838,179,RmlnaHRlck5vZGU6MzUx,,181,brad-kohler
13e62d766b709aa6,,,2951341,145,RmlnaHRlck5vZGU6NTM2,,147,steve-nelmark-the-sandman
140567899d98978a,16067,6197,5189560,261203,RmlnaHRlck5vZGU6NDY1ODI=,6690,406903,339509-robelis-despaigne
140745cbbcb023ac,110,1,2335514,11684,RmlnaHRlck5vZGU6ODM5,355,5707,mauricio-rua-shogun
1411c630ba711b64,405,,2354252,34530,RmlnaHRlck5vZGU6ODc4,,16635,tom-speer-the-farmboy
147e70aa6cc48cfc,12266,3524,4815999,191666,RmlnaHRlck5vZGU6MzU0MDM=,6133,289719,65776-tresean-gore
148bb103cfbf123e,13922,3989,5068617,230397,RmlnaHRlck5vZGU6Mzc2MjE=,,373059,265124-toshiomi-kazama
1497e735d9f2560a,9074,3160,4875506,93588,RmlnaHRlck5vZGU6MzE2ODA=,6185,95799,79954-ange-loosa
14aa21bc82cac57d,4114,874,2978012,31763,RmlnaHRlck5vZGU6MTMwNQ==,2481,39391,14065-iliarde-sabino
14ff46596ad80609,2784,226,3009719,47566,RmlnaHRlck5vZGU6MTI1MQ==,2248,47549,8033-norman-parke-stormin
150ff4cc642270b9,3090,297,2614933,31007,RmlnaHRlck5vZGU6MTExNQ==,1990,38671,12723-max-holloway-lil-evil
1536a25e16fc299b,5310,975,3995914,129653,RmlnaHRlck5vZGU6Njg5MA==,3211,162539,66455-anna-elmose
155bfc7ed36622df,1681,,2488461,11319,RmlnaHRlck5vZGU6NzAx,,5342,solomon-hutcherson-king
1562b12763cc8d67,186,,2502141,256,RmlnaHRlck5vZGU6MzMy,,258,alex-andrade-el-toro
1588b787bda7b540,2765,491,3140871,45926,RmlnaHRlck5vZGU6NDI1Mg==,3217,45986,16609-tom-breese
159da492e000afbf,1485,37,3037050,88444,RmlnaHRlck5vZGU6MTMyNg==,2494,86382,31763-leandro-silva-buscape
15b1b21cd743d652,1456,828,2504626,29618,RmlnaHRlck5vZGU6MTI0MQ==,713,37260,rafaello-oliveira-tractor
15df64c02b6b0fde,,,2556806,34591,RmlnaHRlck5vZGU6NTY2,444,16696,danny-abbadi
15ea371202eb25e1,18776,7768,5252475,200526,RmlnaHRlck5vZGU6MzQyMjQ=,6797,306595,146276-roberto-romero-hernandez
15ec018d144710db,1815,778,2501989,5599,RmlnaHRlck5vZGU6MTk4Mw==,1132,25412,nathan-coy-soulforce
15edcf67ccf5be84,76,,2502591,11246,RmlnaHRlck5vZGU6NjY0,,5269,brian-geraghty
1641ef250e9de19b,8551,1753,4371004,159046,RmlnaHRlck5vZGU6MjgyMDQ=,5077,222541,130369-sarah-frota
1652f3213655b935,34,,2488849,276,RmlnaHRlck5vZGU6NTAy,253,278,phil-baroni-the-new-york-badass
165c244bcca3ed26,5350,207,3027997,39035,RmlnaHRlck5vZGU6NjIwNA==,3264,21246,10097-seo-hee-ham
16690d100f995f8f,4414,200,3070416,85667,RmlnaHRlck5vZGU6OTMy,2696,83462,40111-omari-akhmedov
16a64f93f6678b7b,12232,3077,3112785,74246,RmlnaHRlck5vZGU6NjM5NQ==,,72698,29643-martin-sano
16af2d5a6f28bee2,1885,836,2499933,3105,RmlnaHRlck5vZGU6MTIyMA==,1787,22873,quinn-mulhern
16b89be2f5c16fba,5115,361,3133988,120387,RmlnaHRlck5vZGU6NjA5Nw==,,144115,56249-larissa-pacheco
16bf6a73bdd302cd,2301,,3026139,48123,RmlnaHRlck5vZGU6MTA5OA==,2442,47991,collin-hart
172c2135e70f87b7,3216,87,3026165,57361,RmlnaHRlck5vZGU6OTU3,2438,56567,21203-luke-barnatt-the-bigslow
173acb3f920082b8,2585,741,2611954,29528,RmlnaHRlck5vZGU6MTAzMA==,1964,37351,roland-delorme
