fighter_id,bout_id,gym_id,gym_name,gym_purpose
kazuo-takahashi-yoshiki,1044-ufc-12-kazuo-yoshiki-takahashi-vs-wallid-ismail,3668-pancraseism,PANCRASEism,
tra-telligman-trauma,1057-ufc-12-vitor-the-phenom-belfort-vs-tra-trauma-telligman,299-lions-den-texas,Lion's Den Texas,
vitor-belfort-the-phenom,1057-ufc-12-vitor-the-phenom-belfort-vs-tra-trauma-telligman,,Independent,
jerry-bohlander,1062-ufc-12-jerry-bohlander-vs-nick-sanzo,298-lions-den,Lion's Den,
vitor-belfort-the-phenom,1068-ufc-12-vitor-the-phenom-belfort-vs-scott-the-pit-bull-ferrozzo,,Independent,
mark-coleman-the-hammer,1074-ufc-12-mark-the-hammer-coleman-vs-dan-the-beast-severn,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
tito-ortiz-the-huntington-beach-bad-boy,1080-ufc-13-the-huntington-beach-bad-boy-tito-ortiz-vs-wes-albritton,901-team-punishment,Team Punishment,
guy-mezger-the-sandman,2514-ufc-13-guy-the-sandman-mezger-vs-cristophe-leninger,299-lions-den-texas,Lion's Den Texas,
enson-inoue-yamato-damashi,2521-ufc-13-enson-yamato-damashi-inoue-vs-royce-alger,3605-purebred-omiya,Purebred Omiya,
randy-couture-the-natural,2536-ufc-13-randy-the-natural-couture-vs-tony-the-viking-halme,724-xtreme-couture,Xtreme Couture,
tito-ortiz-the-huntington-beach-bad-boy,2544-ufc-13-guy-the-sandman-mezger-vs-the-huntington-beach-bad-boy-tito-ortiz,901-team-punishment,Team Punishment,
guy-mezger-the-sandman,2544-ufc-13-guy-the-sandman-mezger-vs-the-huntington-beach-bad-boy-tito-ortiz,299-lions-den-texas,Lion's Den Texas,
randy-couture-the-natural,5657-ufc-13-randy-the-natural-couture-vs-steven-graham,724-xtreme-couture,Xtreme Couture,
vitor-belfort-the-phenom,2558-ufc-13-vitor-the-phenom-belfort-vs-david-tank-abbott,,Independent,
tony-fryklund-the-freak,2564-ufc-14-tony-the-freak-fryklund-vs-donnie-chappell,1149-miletich-fighting-systems,Miletich Fighting Systems,
dan-bobish-the-bull,888-ufc-14-dan-the-bull-bobish-vs-brian-fury-johnston,1532-strong-style-fight-team,Strong Style Fight Team,
mark-kerr-the-smashing-machine,882-ufc-14-the-smashing-machine-mark-kerr-vs-moti-the-hammer-horenstein,,Team Kerr,
tony-fryklund-the-freak,895-ufc-14-kevin-jackson-vs-tony-the-freak-fryklund,1149-miletich-fighting-systems,Miletich Fighting Systems,
dan-bobish-the-bull,901-ufc-14-the-smashing-machine-mark-kerr-vs-dan-the-bull-bobish,1532-strong-style-fight-team,Strong Style Fight Team,
mark-kerr-the-smashing-machine,901-ufc-14-the-smashing-machine-mark-kerr-vs-dan-the-bull-bobish,,Team Kerr,
mark-coleman-the-hammer,909-ufc-14-maurice-mo-smith-vs-mark-the-hammer-coleman,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
maurice-smith-mo,909-ufc-14-maurice-mo-smith-vs-mark-the-hammer-coleman,,The Alliance,
mark-kerr-the-smashing-machine,933-ufc-15-the-smashing-machine-mark-kerr-vs-greg-the-ranger-stott,,Team Kerr,
randy-couture-the-natural,2353-ufc-15-randy-the-natural-couture-vs-vitor-the-phenom-belfort-i,724-xtreme-couture,Xtreme Couture,
vitor-belfort-the-phenom,2353-ufc-15-randy-the-natural-couture-vs-vitor-the-phenom-belfort-i,,Independent,
mark-kerr-the-smashing-machine,2360-ufc-15-the-smashing-machine-mark-kerr-vs-dwayne-cason,,Team Kerr,
maurice-smith-mo,2366-ufc-15-maurice-mo-smith-vs-david-tank-abbott,,The Alliance,
