id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,name,event_order
ufc-42-sudden-impact,ae58685caf8e4a0d,1469,,,UFC 42: Sudden Impact,47
ufc-43-meltdown,108afe61a26bcbf4,1614,,,UFC 43: Meltdown,48
ufc-44-undisputed,c61f66d8c3fd5f07,1688,,,UFC 44: Undisputed,49
ufc-45-revolution,e670f8cc2969a789,1863,,,UFC 45: Revolution,50
ufc-46-supernatural,94609dd91731d428,1943,,,UFC 46: Supernatural,51
ufc-47-its-on,e8fb8e53bc2e29d6,2121,,,UFC 47: It's On!,52
ufc-48-payback,429e7d3725852ce9,2203,,,UFC 48: Payback,53
ufc-49-unfinished-business,b4bc2e3353a770b5,2400,,,UFC 49: Unfinished Business,54
ufc-50-the-war-of-04,ce783bf73b5131f9,2512,,,UFC 50: The War of '04,55
ufc-51-super-saturday,85d905f7c4f5a1af,2690,,,UFC 51: Super Saturday,56
the-ultimate-fighter-1-finale,fbbde91f7bc2d3c5,2971,,,The Ultimate Fighter 1 Finale,57
ufc-52-couture-vs-liddell-2,c933d423ebdbbbdb,2930,,,UFC 52: Couture vs. Liddell 2,58
ufc-53-heavy-hitters,d3711d3784b76255,3054,,,UFC 53: Heavy Hitters,59
ufc-fight-night-1,3f24c96753dbd9f9,3100,,,UFC Fight Night 1,60
ufc-54-boiling-point,669a3cb6e394f515,3093,,,UFC 54: Boiling Point,61
ufc-fight-night-2,efaf544314bb5c2e,3255,,,UFC Fight Night 2,62
ufc-55-fury,271fe91f4ba9d2c5,3250,,,UFC 55: Fury,63
the-ultimate-fighter-2-finale,31ceaf0e670c1578,3375,,,The Ultimate Fighter 2 Finale,64
ufc-56-full-force,c7e9d15cfce52f1d,3328,,,UFC 56: Full Force,65
ufc-fight-night-3,2ee09ec2a0695eb9,3486,,,UFC Fight Night 3,66
ufc-57-liddell-vs-couture-3,977081bc01197656,3508,,,UFC 57: Liddell vs. Couture 3,67
ufc-58-usa-vs-canada,0e9869d712e81f8f,3512,,,UFC 58: USA vs Canada,68
ufc-fight-night-4,b361180739bed4b0,3665,,,UFC Fight Night 4,69
ufc-59-reality-check,03688dc3c3af3ac1,3577,,,UFC 59: Reality Check,70
ufc-60-hughes-vs-gracie,a54a35a670d8e852,3666,,,UFC 60: Hughes vs Gracie,71
the-ultimate-fighter-3-finale,1dab0d1d81dd06db,3952,,,The Ultimate Fighter 3 Finale,72
ufc-fight-night-5-leben-vs-silva,445a98acb8985970,3815,,,UFC Fight Night 5: Leben vs. Silva,73
ufc-61-bitter-rivals,f70144caea5c4c80,3910,,,UFC 61: Bitter Rivals,74
ufc-fight-night-6-sanchez-vs-parisyan,46c8ec317aff28ac,4026,,,UFC Fight Night 6: Sanchez vs Parisyan,75
ufc-62-liddell-vs-sobral,f717b6002486f73f,4027,,,UFC 62: Liddell vs Sobral,76
ufc-63-hughes-vs-penn,13e62d766b709aa6,4094,,,UFC 63: Hughes vs Penn,77
ufc-the-final-chapter-ortiz-vs-shamrock-3,577ec7e108b94be3,4112,,,UFC The Final Chapter: Ortiz vs Shamrock 3,78
ufc-64-unstoppable,13b2f59210dda9cc,4181,,,UFC 64: Unstoppable,79
the-ultimate-fighter-4-finale,baf942f4bcb09894,4314,,,The Ultimate Fighter 4 Finale,80
ufc-65-bad-intentions,3fed746acfd026dd,4313,,,UFC 65: Bad Intentions,81
ufc-fight-night-7-sanchez-vs-riggs,21b8a0f5c231096f,4626,,,UFC Fight Night 7: Sanchez vs Riggs,82
ufc-66-liddell-vs-ortiz-2,ee5df903f80c6816,4312,,,UFC 66: Liddell vs. Ortiz 2,83
ufc-fight-night-8-evans-vs-salmon,13c4313ed0f744f3,4664,,,UFC Fight Night 8: Evans vs Salmon,84
ufc-67-all-or-nothing,63b65af1c5cb02cb,4311,,,UFC 67: All or Nothing,85
ufc-68-uprising,de3ed2e152520c8d,4662,,,UFC 68: Uprising,86
ufc-fight-night-9-stevenson-vs-guillard,a6c2f5381d575920,4682,,,UFC Fight Night 9: Stevenson vs Guillard,87
ufc-69-shootout,c1684f00c626f4c0,4663,,,UFC 69: Shootout,88
ufc-70-nations-collide,4604ab1de9058474,4862,,,UFC 70: Nations Collide,89
ufc-71-liddell-vs-jackson,2e04a3b4a2011b97,4993,,,UFC 71: Liddell vs Jackson,90
ufc-fight-night-10-stout-vs-fisher,304fcd812f12c589,5227,,,UFC Fight Night 10: Stout vs Fisher,91
ufc-72-victory,5ca158b1cc9cb242,5084,2,,UFC 72: Victory,92
the-ultimate-fighter-5-finale,e7ec11096eac0282,4681,3,,The Ultimate Fighter 5 Finale,93
ufc-73-stacked,2a6f8136da1e52c0,5158,1,,UFC 73: Stacked,94
ufc-74-respect,a5c53b3ddb31cc7d,5297,7,,UFC 74: Respect,95
ufc-75-champion-vs-champion,0aa92558424ced9e,5298,6,,UFC 75: Champion vs Champion,96
ufc-fight-night-11-thomas-vs-florian,f341f9551ba744e2,5454,13,,UFC Fight Night 11: Thomas vs Florian,97
ufc-76-knockout,bad28b7b34f334de,5417,12,,UFC 76: Knockout,98
ufc-77-hostile-territory,91181b29be041f1c,5482,10,,UFC 77: Hostile Territory,99
ufc-78-validation,1d147d4163a6989b,5708,14,,UFC 78: Validation,100
the-ultimate-fighter-6-finale,df85d6ec3493d120,5459,8,,The Ultimate Fighter 6 Finale,101
ufc-79-nemesis,7269329bd87eb479,5458,22,,UFC 79: Nemesis,102
ufc-80-rapid-fire,a24e080000fa7a35,5982,27,,UFC 80: Rapid Fire,103
ufc-fight-night-12-swick-vs-burkman,33e33d51f289d2a1,6179,36,,UFC Fight Night 12: Swick vs. Burkman,104
ufc-81-breaking-point,597db668b01c442c,6038,28,,UFC 81: Breaking Point,105
ufc-82-pride-of-a-champion,598a58db87b890ee,6039,30,,UFC 82: Pride of a Champion,106
ufc-fight-night-13-florian-vs-lauzon,b9e871af730f826c,6552,44,,UFC Fight Night 13: Florian vs. Lauzon,107
ufc-83-serra-vs-st-pierre-2,ad047e3073a775f3,6339,40,,UFC 83: Serra vs. St. Pierre 2,108
ufc-84-ill-will,2549d63da9c456cb,6394,47,,UFC 84: Ill Will,109
ufc-85-bedlam,2efbc83a6b9b7f86,6778,46,,UFC 85: Bedlam,110
the-ultimate-fighter-7-finale,2299605af59fd309,6954,70,,The Ultimate Fighter 7 Finale,111
ufc-86-jackson-vs-griffin,bf12aca029bfcc47,7021,53,,UFC 86: Jackson vs. Griffin,112
ufc-fight-night-14-silva-vs-irvin,46f11d15c0134fe3,7835,83,,UFC Fight Night 14: Silva vs. Irvin,113
ufc-87-seek-and-destroy,19ffeb5e3fffd6d5,6779,57,,UFC 87: Seek and Destroy,114
ufc-88-breakthrough,0db70ca89e1c7374,7837,80,,UFC 88: Breakthrough,115
ufc-fight-night-15,279093302a6f44b3,7916,84,,UFC Fight Night 15: Diaz vs. Neer,116
ufc-89-bisping-vs-leben,312f47c3d2f83ffa,8070,86,,UFC 89: Bisping vs Leben,117
ufc-90-silva-vs-cote,c670aa48827d6be6,8188,92,,UFC 90: Silva vs Cote,118
ufc-91-couture-vs-lesnar,a2b06ca02bca14c0,8406,98,,UFC 91: Couture vs Lesnar,119
ufc-fight-night-16-fight-for-the-troops,30cd319d39ee689b,8724,111,,UFC Fight Night 16: Fight for the Troops,120
the-ultimate-fighter-8-finale,ea398c802d9998ee,8765,120,,The Ultimate Fighter 8 Finale,121
ufc-92-the-ultimate-2008,23ab42947c1990e3,8732,95,,UFC 92: The Ultimate 2008,122
ufc-93-franklin-vs-henderson,68c6cd5287b473a7,8864,105,,UFC 93: Franklin vs. Henderson,123
ufc-94-st-pierre-vs-penn-2,2a542ee8a8b83559,8465,107,,UFC 94: St-Pierre vs. Penn 2,124
ufc-fight-night-17-lauzon-vs-stephens,d1759b2b7be9be56,9307,123,,UFC Fight Night 17: Lauzon vs. Stephens,125
ufc-95-sanchez-vs-stevenson,7d21de9c6d7c98b2,9250,121,,UFC 95: Sanchez vs. Stevenson,126
ufc-96-jackson-vs-jardine,29b5791e51e7e832,9427,125,,UFC 96: Jackson vs. Jardine,127
ufc-fight-night-18-condit-vs-kampmann,04d5718ed2661e8c,9448,129,,UFC Fight Night 18: Condit vs. Kampmann,128
ufc-97-redemption,1652f3213655b935,9432,126,,UFC 97: Redemption,129
ufc-98-evans-vs-machida,c4b6099f0d25f75e,9529,132,,UFC 98: Evans vs. Machida,130
ufc-99-the-comeback,cb6783c39c01d896,9297,136,,UFC 99: The Comeback,131
the-ultimate-fighter-9-finale,4908c5ee68a50ee5,9751,147,,The Ultimate Fighter 9 Finale,132
ufc-100,0ee783aa00e468f0,9568,137,,UFC 100,133
ufc-101-declaration,48d1f690b763934c,9925,145,,UFC 101: Declaration,134
ufc-102-couture-vs-nogueira,c6a33ff198aaaeeb,10147,156,,UFC 102: Couture vs. Nogueira,135
ufc-fight-night-19-diaz-vs-guillard,a8ea84cbe1655f0a,10443,148,,UFC Fight Night 19: Diaz vs. Guillard,136
ufc-103-franklin-vs-belfort,896c322f56b8be5a,10444,168,,UFC 103: Franklin vs. Belfort,137
ufc-104-machida-vs-shogun,7c0847d3854a95f2,10333,185,,UFC 104: Machida vs Shogun,138
ufc-105-couture-vs-vera,fa8b9e6b0c2269f8,11052,201,,UFC 105: Couture vs Vera,139
ufc-106-ortiz-vs-griffin-2,84a067c46306a737,11053,209,,UFC 106: Ortiz vs Griffin 2,140
the-ultimate-fighter-10-finale,91d73ee59347ac16,11054,210,,The Ultimate Fighter 10 Finale,141
ufc-107-penn-vs-sanchez,821cd80aab70d5f9,11118,189,,UFC 107: Penn vs. Sanchez,142
ufc-108-evans-vs-silva,a6d8bfe9e0c8153b,11471,219,,UFC 108: Evans vs Silva,143
ufc-fight-night-20-maynard-vs-diaz,58bc81376286b3d3,11617,224,,UFC Fight Night 20: Maynard vs Diaz,144
ufc-109-relentless,15edcf67ccf5be84,11741,226,,UFC 109: Relentless,145
ufc-110-nogueira-vs-velasquez,49efbdc6c9f650c4,11792,225,,UFC 110: Nogueira vs. Velasquez,146
ufc-on-versus-1-vera-vs-jones,3795fca327cbcf23,12389,242,,UFC on Versus 1: Vera vs Jones,147
ufc-111-st-pierre-vs-hardy,c80095f6092271a7,12131,236,,UFC 111: St-Pierre vs Hardy,148
ufc-fight-night-21-florian-vs-gomi,3ed134d85dfbd7b4,12474,246,,UFC Fight Night 21: Florian vs Gomi,149
ufc-112-invincible,24b033b3daf1c9df,12184,245,,UFC 112: Invincible,150
ufc-113-machida-vs-shogun-2,d0c29452d3272603,12390,247,,UFC 113: Machida vs Shogun 2,151
ufc-114-jackson-vs-evans,bfc2fc38a0e20211,12446,256,,UFC 114: Jackson vs Evans,152
ufc-115-liddell-vs-franklin,cfb65863d5099327,12447,255,,UFC 115: Liddell vs Franklin,153
the-ultimate-fighter-11-finale,9bcf8603ceb25680,12897,262,,The Ultimate Fighter 11 Finale,154
ufc-116-lesnar-vs-carwin,140745cbbcb023ac,12765,265,,UFC 116: Lesnar vs Carwin,155
ufc-on-versus-2-jones-vs-matyushenko,f12f979b657ab876,13294,281,,UFC on Versus 2: Jones vs. Matyushenko,156
ufc-117-silva-vs-sonnen,2f3f12002564bb55,13310,276,,UFC 117: Silva vs Sonnen,157
ufc-118-edgar-vs-penn-2,054defd5420a551f,13380,278,,UFC 118: Edgar vs. Penn 2,158
ufc-fight-night-22,acff437707625fc7,14024,295,,UFC Fight Night 22: Marquardt vs. Palhares,159
ufc-119-mir-vs-cro-cop,ad32471f01e7b1a5,13732,296,,UFC 119: Mir vs Cro Cop,160
ufc-120-bisping-vs-akiyama,d512d9f204059f57,14025,294,,UFC 120: Bisping vs. Akiyama,161
ufc-121-lesnar-vs-velasquez,afdb76fbd86f6d11,14039,308,,UFC 121: Lesnar vs. Velasquez,162
ufc-122-marquardt-vs-okami,0ff11cc094e887bc,14430,323,,UFC 122: Marquardt vs. Okami,163
ufc-123-rampage-vs-machida,dd992d569aaebee6,14529,317,,UFC 123: Rampage vs. Machida,164
the-ultimate-fighter-12-finale,5d7bdab5e03e3216,14462,330,,The Ultimate Fighter 12 Finale,165
ufc-124-st-pierre-vs-koscheck-2,132f860d02953f4c,14504,313,,UFC 124: St. Pierre vs. Koscheck 2,166
ufc-125-resolution,d1152823307d7e7c,14530,332,UFC125,UFC 125: Resolution,167
ufc-fight-night-23-fight-for-the-troops-2,282fa667ff9c51ed,15120,342,fight-for-the-troops-2,UFC Fight Night 23: Fight for the Troops 2,168
ufc-126-silva-vs-belfort,65ddc8a9ac4e8531,15104,338,UFC126,UFC 126: Silva vs. Belfort,169
ufc-127-penn-vs-fitch,88a9bc81271ccd89,15202,344,UFC127,UFC 127: Penn vs Fitch,170
ufc-on-versus-3-sanchez-vs-kampmann,a54fc2d6fc224dc3,15438,351,UFCLive3,UFC on Versus 3: Sanchez vs Kampmann,171
ufc-128-shogun-vs-jones,1411c630ba711b64,15483,346,UFC128,UFC 128: Shogun vs Jones,172
ufc-fight-night-24,8a59d346dc976a10,15559,354,UFN24,UFC Fight Night 24: Nogueira vs. Davis,173
ufc-129-st-pierre-vs-shields,2db7fa8db6bc9632,15427,352,UFC129,UFC 129: St. Pierre vs. Shields,174
ufc-130-edgar-vs-maynard-3,b732b326c362fb62,15685,357,UFC130,UFC 130: Rampage vs Hamill,175
the-ultimate-fighter-13-finale,3ba3b5cc94498437,15811,362,TUF13-finale,The Ultimate Fighter 13 Finale,176
ufc-131-lesnar-vs-dos-santos,aac5ac38148f0528,15720,358,UFC131,UFC 131: Carwin vs. Dos Santos,177
ufc-on-versus-4-marquardt-vs-johnson,d023ae89a2a4a41e,16309,379,UFCLive4,UFC on Versus 4: Barry vs. Kongo,178
ufc-132-cruz-vs-faber-ii,83fd97284f4bb4a4,16495,381,UFC132,UFC 132: Cruz vs Faber II,179
ufc-133,f1f9e48a0d150757,16787,390,UFC133,UFC 133: Evans vs. Ortiz 2,180
ufc-on-versus-5,4c8d6fde2dde07c4,16967,399,UVS5,UFC on Versus 5: Hardy vs. Lytle,181
ufc-134-silva-vs-okami,18968f97ad34f15c,15454,389,UFC134,UFC 134: Silva vs. Okami,182
ufc-fight-night-25-battle-on-the-bayou,1ffc38f67785797b,16712,406,UFN25,UFC Fight Night 25: Battle on the Bayou,183
9686-ufc-135,73ef22f25d0f70e2,17043,417,UFC135,UFC 135: Jones vs. Rampage,184
10195-ufc-on-versus-6,44f9c777fed7ca03,17789,429,UVS6,UFC on Versus 6: Cruz vs. Johnson,185
9765-ufc-136,7d5b12de1625984e,17391,423,UFC136,UFC 136: Edgar vs Maynard 3,186
9660-ufc-137-st-pierre-vs-diaz,8788beb528894f33,17377,410,UFC137,UFC 137: Penn vs. Diaz,187
10235-ufc-138,e780ccc79a209985,17824,430,UFC138,UFC 138: Leben vs. Munoz,188
10569-ufc-on-fox-1,1c061eb6e29eaa0a,18201,442,UFC-on-Fox,UFC on FOX 1: Velasquez vs. Dos Santos,189
9822-ufc-138,0ec821423baa26bd,17551,424,UFC139,UFC 139: Shogun vs. Henderson,190
9770-the-ultimate-fighter-14-finale,1f5f75658551f2d3,17424,469,TUF14-Finale,The Ultimate Fighter 14 Finale,191
10374-ufc-140,6d7886b094b471ac,17274,451,UFC140,UFC 140: Jones vs. Machida,192
10738-ufc-141,91720876db0ee468,18346,452,UFC141,UFC 141: Lesnar vs. Overeem,193
11196-ufc-142,18524b46c570730b,18901,474,UFC142,UFC 142: Aldo vs. Mendes,194
11366-ufc-on-fx-1,4d74641fac830182,19068,479,UFCFX1,UFC on FX 1: Guillard vs. Miller,195
11400-ufc-on-fox-2,c3c23c99477c041b,19039,482,UFCFox2,UFC on FOX 2: Evans vs. Davis,196
11221-ufc-143,df2cf66d8c0123db,18945,478,UFC143,UFC 143: Diaz vs. Condit,197
11618-ufc-on-fuel-tv-1,0a97691039c4bbfb,19187,485,UFCFUEL1,UFC on FUEL TV 1: Ellenberger vs. Sanchez,198
11293-ufc-144,8377c5572cb356f3,18347,477,ufc-144,UFC 144: Edgar vs. Henderson,199
11619-ufc-on-fx-2,b5ea750025697880,19379,487,UFCFX2,UFC on FX 2: Alves vs. Kampmann,200
12026-ufc-on-fuel-tv-2,21f2974fd08085e3,19857,493,UFCSweden,UFC on FUEL TV 2: Silva vs. Gustafsson,201
11785-ufc-145,155bfc7ed36622df,20031,490,UFC145,UFC 145: Jones vs. Evans,202
12189-ufc-on-fox,5898357a45a73674,20039,496,FOX3,UFC on FOX 3: Diaz vs. Miller,203
12320-ufc-on-fx-3,8caca5857ce0e30b,20203,499,fight,UFC on FUEL TV 3: Korean Zombie vs. Poirier,204
12168-ufc-146,4985113c0928aa62,20353,502,fight,UFC 146: Dos Santos vs. Mir,205
13061-the-ultimate-fighter-15-finale,96087e90d900f0ef,19325,524,fight,The Ultimate Fighter 15 Finale,206
12575-ufc-on-fx-3,49590e0508b2c19f,21037,522,fight,UFC on FX 3: Johnson vs. McCall,207
13105-ufc-on-fx-4,505934897b8b4824,20385,521,fight,UFC on FX 4: Guida vs. Maynard,208
12573-ufc-147,3da19339ee7051d5,19449,517,UFC147,UFC 147: Silva vs. Franklin 2,209
12574-ufc-148,e8efeb9cf33b1941,20355,506,fight,UFC 148: Silva vs. Sonnen 2,210
13665-ufc-on-fuel-tv-4-munoz-vs-weidman,d3b5ad3b15a64a18,21725,545,fight,UFC on FUEL TV 4: Munoz vs. Weidman,211
12776-ufc-149,abbc4fc02e0d84b3,20821,527,fight,UFC 149: Faber vs. Barao,212
12572-ufc-on-fox-4,f62850b3c7480db9,20081,546,fight,UFC on FOX 4: Shogun vs. Vera,213
13684-ufc-150,3c48019bc387b80c,22013,547,UFC150,UFC 150: Henderson vs. Edgar 2,214
13140-ufc-152,53e533db1b8e9712,21045,561,UFC152,UFC 152: Jones vs. Belfort,215
14292-ufc-153,6cbb7661c3258617,22725,569,fight,UFC on FUEL TV 5: Struve vs. Miocic,216
14104-ufc-on-fx-5,6a0b80a24f22e152,22541,579,FX5,UFC on FX 5: Browne vs. Silva,217
14431-ufc-153,96d173b7f92aa520,23527,571,ufc153,UFC 153: Silva vs. Bonnar,218
14619-ufc-on-fuel-tv-6,319fa1bd3176bded,23437,582,fight,UFC on FUEL TV 6: Franklin vs. Le,219
13141-ufc-154,d41937647eae9a34,21047,565,fight,UFC 154: St. Pierre vs. Condit,220
14399-ufc-on-fox-5,d1e6a6536ee62517,23169,584,FOX5,UFC on FOX 5: Henderson vs. Diaz,221
15726-ufc-on-fx-6,e8c170a64dc920ac,24707,594,FX6,UFC on FX 6: Sotiropoulos vs. Pearson,222
15480-the-ultimate-fighter-16-finale,c6da1c24fe473418,24719,602,TUF16-Finale,The Ultimate Fighter 16 Finale,223
15171-ufc-155-dos-santos-vs-velasquez-2,c6e6926a81adcd00,24185,585,UFC155,UFC 155: Dos Santos vs. Velasquez 2,224
16549-ufc-156,56f4b81ec4db61af,26135,612,FX7,UFC on FX 7: Belfort vs. Bisping,225
16667-ufc-on-fox-6,738acab0c6934dd8,26199,613,FOX6,UFC on FOX 6: Johnson vs. Dodson,226
16542-ufc-157,601cf40c09090853,26099,611,UFC156,UFC 156: Aldo vs. Edgar,227
16679-ufc-on-fuel-tv-7,4679a38cced7c64a,26459,632,FUEL7,UFC on FUEL TV 7: Barao vs. McDonald,228
16791-ufc-157,09c44b317c98bf96,26381,618,UFC157,UFC 157: Rousey vs. Carmouche,229
16905-ufc-on-fuel-tv-8,83c6c3e0f8bde8ee,26333,625,FUEL8,UFC on FUEL TV 8: Silva vs. Stann,230
17129-ufc-158,f1b2a4365799c48b,27073,627,fight,UFC 158: St. Pierre vs. Diaz,231
17537-ufc-on-fuel-tv-9-gustafsson-vs-mousasi,6291ac0a3726732f,27589,636,FUEL9,UFC on FUEL TV 9: Mousasi vs. Latifi,232
17421-the-ultimate-fighter-17-finale,ce47f49e5c386a9c,28023,656,TUF17-Finale,The Ultimate Fighter 17 Finale,233
16680-ufc-on-fox-7,aa79d5399571068e,26213,634,FOX7,UFC on FOX 7: Henderson vs. Melendez,234
16681-ufc-jones-vs-sonnen,ea0ad155451ed1f5,25825,633,ufc159,UFC 159: Jones vs. Sonnen,235
17761-ufc-on-fx-8-belfort-vs-rockhold,030f08370fd1c2bb,28215,648,FX8,UFC on FX 8: Belfort vs. Rockhold,236
17601-ufc,3c241737a6069b9f,28051,647,UFC160,UFC 160: Velasquez vs. Silva 2,237
17915-ufc-on-fx-9-nogueira-vs-werdum,7865707fd684d77b,26101,668,FUEL10,UFC on FUEL TV 10: Nogueira vs. Werdum 2,238
17939-ufc-161,8fd1f27e86661ede,28457,660,UFC161,UFC 161: Evans vs. Henderson,239
17854-ufc-162-silva-vs-weidman,e0b74df14f52cd15,28459,661,UFC162,UFC 162: Silva vs. Weidman,240
16682-ufc-on-fox-8,5330fe7e4c3af81c,26215,674,fight,UFC on FOX 8: Johnson vs. Moraga,241
17693-ufc-aldo-vs-pettis,ebc5af72ad5a28cb,28015,683,UFC163,UFC 163: Aldo vs. Korean Zombie,242
18384-ufc-on-fox-sports-1,cf1a88371c8cb690,29795,685,fight,UFC Fight Night 26: Shogun vs. Sonnen,243
19033-ufc-on-fox-sports-1-2,e5c38954c006f15c,30211,692,fight,UFC Fight Night 27: Condit vs. Kampmann 2,244
18192-ufc-164,980b4e712489098e,28701,691,fight,UFC 164: Henderson vs. Pettis 2,245
18971-ufc-on-fox-sports-1-2,b23fca14c7b79935,30213,705,fight,UFC Fight Night 28: Teixeira vs. Bader,246
19128-ufc-165,df5a77121ba84a5d,30249,697,UFC165,UFC 165: Jones vs. Gustafsson,247
19846-ufc-on-fox-sports-1,43612456979e5d5e,31869,713,ufc-fight-night-maia-shields,UFC Fight Night 29: Maia vs. Shields,248
19525-ufc-166-velasquez-vs-dos-santos-3,eae4aec1a5a8ff01,30813,698,UFC166,UFC 166: Velasquez vs. Dos Santos 3,249
19801-ufc-on-fox-sports-1-bisping-vs-munoz,60884f31ead1609c,31371,712,ufc-fight-night-machida-munoz,UFC Fight Night 30: Machida vs. Munoz,250
19692-ufc-fight-for-the-troops,35dc6220b113b7ec,32077,726,fight,UFC Fight Night 31: Fight for the Troops 3,251
20217-ufc,5d7c18191b8aa432,32067,725,ufn-belfort-henderson,UFC Fight Night 32: Belfort vs. Henderson 2,252
19524-ufc-167-st-pierre-vs-hendricks,28f3c2258a1d8874,30815,699,UFC167,UFC 167: St. Pierre vs. Hendricks,253
20173-the-ultimate-fighter-18-finale,9a967e8e43dcef63,32325,720,TUF18-Finale,The Ultimate Fighter 18 Finale,254
20537-ufc-fight-night-hunt-vs-bigfoot,ee457ef1e1c326c1,32293,728,ufc-fight-night-hunt-bigfoot,UFC Fight Night 33: Hunt vs. Bigfoot,255
16683-ufc-on-fox-9,480b702debcb5433,26217,729,FOX9,UFC on FOX 9: Johnson vs. Benavidez 2,256
19667-ufc-168-rousey-vs-tate-2,83d0de122f2f9664,31257,706,UFC168,UFC 168: Weidman vs. Silva 2,257
20473-ufc-singapore,e5c9de15bb58b1c6,32999,761,ufn-singapore,UFC Fight Night 34: Saffiedine vs. Lim,258
21505-ufc-fight-night-35,30a09e43f15f1d75,33929,762,ufc-fight-night-atlanta,UFC Fight Night 35: Rockhold vs. Philippou,259
21248-ufc-on-fox-10,a8d521d913df4e31,33335,777,FOX10,UFC on FOX 10: Henderson vs. Thomson,260
20975-ufc-169-jones-vs-teixeira,fc31f896cde2bc2e,32773,737,UFC169,UFC 169: Barao vs. Faber 2,261
20593-ufc-fight-night,51b0bb73a1da34bc,33523,758,ufn-jaragua-do-sul,UFC Fight Night 36: Machida vs. Mousasi,262
21249-ufc-170,3138fab619faf4d1,33337,756,UFC170,UFC 170: Rousey vs. McMann,263
22007-the-ultimate-fighter-china-1-finale,a26198ba5093147e,34819,778,ufn-macao-kim-hathaway,UFC Fight Night: Kim vs. Hathaway,264
21272-ufc-fight-night-gustafsson-vs-nogueira,ebc1f40e00e0c481,33383,751,ufc-london,UFC Fight Night 37: Gustafsson vs. Manuwa,265
21513-ufc-171,179f1948dc234f1f,33949,771,UFC171,UFC 171: Hendricks vs. Lawler,266
