bout_id,fighter_id,weigh_in_result_lbs,fight_night_weight_lbs,weight_gain_lbs
437666-ufc-241-sabina-colombian-queen-mazo-vs-shana-danger-dobson,92893-sabina-mazo,126.0,145.6,19.6
437666-ufc-241-sabina-colombian-queen-mazo-vs-shana-danger-dobson,90374-shana-dobson,124.5,136.0,11.5
439362-ufc-241-brandon-killerb-davis-vs-kyung-ho-mr-perfect-kang,kyung-ho-kang,136.0,156.4,20.4
439362-ufc-241-brandon-killerb-davis-vs-kyung-ho-mr-perfect-kang,74551-brandon-davis,136.0,156.0,20.0
438089-ufc-241-shockwave-hannah-cifers-vs-jodie-esquibel,34495-hannah-cifers,114.5,125.6,11.1
438089-ufc-241-shockwave-hannah-cifers-vs-jodie-esquibel,20241-jodie-esquibel,116.0,127.8,11.8
442949-ufc-241-manny-the-bermuda-triangle-bermudez-vs-casey-kenney,63593-casey-kenny,139.0,145.0,6.0
442949-ufc-241-manny-the-bermuda-triangle-bermudez-vs-casey-kenney,30736-manny-bermuedez,140.0,164.8,24.8
445383-ufc-241-drakkar-klose-vs-christos-the-spartan-giagos,29515-drakkar-klose,155.5,175.2,19.7
445383-ufc-241-drakkar-klose-vs-christos-the-spartan-giagos,38606-christos-giagos-the-spartan,155.0,176.2,21.2
433768-ufc-241-raphael-assuncao-vs-cory-sandhagen,32931-cory-sandhagen,136.0,149.2,13.2
433768-ufc-241-raphael-assuncao-vs-cory-sandhagen,raphael-assuncao,136.0,153.2,17.2
448813-ufc-241-devonte-king-cage-smith-vs-khama-the-deathstar-worthy,28222-khama-worthy,155.5,167.6,12.1
448813-ufc-241-devonte-king-cage-smith-vs-khama-the-deathstar-worthy,31601-devonte-smith-johnny-cage,156.0,163.8,7.8
435470-ufc-241-derek-brunson-vs-ian-the-hurricane-heinisch,Derek-Brunson,186.0,204.8,18.8
435470-ufc-241-derek-brunson-vs-ian-the-hurricane-heinisch,77683-ian-heinisch,185.5,203.5,18.0
436470-ufc-241-super-sodiq-yusuff-vs-gabriel-moggly-benitez,58362-sodiq-yusuff,145.0,169.2,24.2
436470-ufc-241-super-sodiq-yusuff-vs-gabriel-moggly-benitez,27087-gabriel-benitez-moggly,146.0,164.6,18.6
430366-ufc-241-yoel-soldier-of-god-romero-vs-paulo-borrachinha-costa,64306-paulo-henrique-costa-borrachinha,186.0,213.8,27.8
430366-ufc-241-yoel-soldier-of-god-romero-vs-paulo-borrachinha-costa,16155-yoel-romero-palacio,184.5,207.2,22.7
431251-ufc-241-nate-diaz-vs-anthony-showtime-pettis,nate-diaz,170.0,180.0,10.0
431251-ufc-241-nate-diaz-vs-anthony-showtime-pettis,anthony-pettis-showtime,169.5,177.2,7.7
428386-ufc-241-daniel-dc-cormier-vs-stipe-miocic-ii,stipe-miocic,230.5,233.0,2.5
428386-ufc-241-daniel-dc-cormier-vs-stipe-miocic-ii,daniel-cormier,236.5,247.0,10.5
613114-ufc-270-jasmine-jasudavicius-vs-kay-hansen,171056-jasmine-jasdavicious,125.0,136.8,11.8
613114-ufc-270-jasmine-jasudavicius-vs-kay-hansen,166442-kay-hansen,125.0,133.2,8.2
627814-ufc-270-vanessa-lil-monster-demopoulos-vs-silvana-gomez-la-malvada-juarez,35907-vanessa-demopoulos,115.5,128.5,13.0
627814-ufc-270-vanessa-lil-monster-demopoulos-vs-silvana-gomez-la-malvada-juarez,61720-silvana-gomez-juarez-la-malvada,115.5,132.2,16.7
605871-ufc-270-matt-steamrolla-frevola-vs-genaro-el-rayadito-valdez,83149-matt-frevola,154.5,175.0,20.5
605871-ufc-270-matt-steamrolla-frevola-vs-genaro-el-rayadito-valdez,214582-genaro-valdez-el-rayadito,155.5,167.0,11.5
608417-ufc-270-tony-gravely-vs-saimon-oliveira,80780-tony-gravely-lamar,135.5,148.8,13.3
608417-ufc-270-tony-gravely-vs-saimon-oliveira,86764-saimon-oliveira,136.0,157.8,21.8
628152-ufc-270-jack-della-maddalena-vs-pete-dead-game-rodriguez,119831-jack-della-maddalena,170.5,189.0,18.5
628152-ufc-270-jack-della-maddalena-vs-pete-dead-game-rodriguez,135356-pete-rodriguez,170.5,189.6,19.1
626259-ufc-270-raoni-barcelos-vs-victor-la-mangosta-henry,29255-victor-henry,135.5,148.5,13.0
626259-ufc-270-raoni-barcelos-vs-victor-la-mangosta-henry,30448-raoni-barcellos,135.0,150.6,15.6
05775-ufc-270-michael-morales-vs-trevin-the-problem-giles,164286-michael-morales,170.0,190.4,20.4
05775-ufc-270-michael-morales-vs-trevin-the-problem-giles,20072-trevin-giles,170.0,182.2,12.2
605052-ufc-270-cody-spartan-stamann-vs-said-nurmagomedov,36038-said-nurmagomedov,136.0,148.8,12.8
605052-ufc-270-cody-spartan-stamann-vs-said-nurmagomedov,22124-cody-stamann,135.5,159.0,23.5
627600-ufc-270-michel-demolidor-pereira-vs-andre-fialho,55575-michel-pereira,170.0,184.0,14.0
627600-ufc-270-michel-demolidor-pereira-vs-andre-fialho,115985-andre-fialho,169.5,179.6,10.1
605558-ufc-270-brandon-the-assassin-baby-moreno-vs-deiveson-deus-da-guerra-figueiredo-iii,76553-deiveson-alcantra-daico,124.0,143.2,19.2
605558-ufc-270-brandon-the-assassin-baby-moreno-vs-deiveson-deus-da-guerra-figueiredo-iii,27833-brandon-moreno-the-assassin,124.0,136.2,12.2
604459-ufc-270-francis-the-predator-n-gannou-vs-ciryl-bon-gamin-gane,64378-francis-ngannou,257.0,260.4,3.4
604459-ufc-270-francis-the-predator-n-gannou-vs-ciryl-bon-gamin-gane,187819-cyril-gane-real-c,247.0,245.0,-2.0
677968-ufc-fight-night-youssef-the-moroccan-devil-zalal-vs-da-mon-the-diamond-blackshear,110826-youssef-zalaal,135.5,154.6,19.1
677968-ufc-fight-night-youssef-the-moroccan-devil-zalal-vs-da-mon-the-diamond-blackshear,78497-damon-blackshear,134.0,152.4,18.4
678656-ufc-fight-night-jason-the-vanilla-gorilla-witt-vs-josh-the-maverick-quinlan,114123-josh-quinlan,175.0,185.0,10.0
678656-ufc-fight-night-jason-the-vanilla-gorilla-witt-vs-josh-the-maverick-quinlan,53481-jason-witt,179.5,191.0,11.5
675506-ufc-fight-night-ode-the-jamaican-sensation-osbourne-vs-tyson-nam,tyson-nam,126.0,146.2,20.2
675506-ufc-fight-night-ode-the-jamaican-sensation-osbourne-vs-tyson-nam,50154-ode-osbourne,125.0,138.6,13.6
672797-ufc-fight-night-gabriel-moggly-benitez-vs-charlie-the-american-bad-boy-ontiveros,27087-gabriel-benitez-moggly,155.0,170.2,15.2
672797-ufc-fight-night-gabriel-moggly-benitez-vs-charlie-the-american-bad-boy-ontiveros,20906-charles-ontiveros,155.0,165.4,10.4
