bout_id,fighter_id,ko_tko_percentage,submission_percentage,decision_percentage,overall_percentage,num_picks
595569-ufc-fight-night-priscila-zombie-girl-cachoeira-vs-gillian-the-savage-robertson,73142-gillian-robertson,2.9,47.0,50.1,69,4102
595569-ufc-fight-night-priscila-zombie-girl-cachoeira-vs-gillian-the-savage-robertson,128371-priscila-cachoeira,43.3,4.0,52.7,31,4102
597496-ufc-269-randy-the-zohan-costa-vs-tony-primetime-kelley,65764-randy-costa,76.5,1.1,22.4,90,4122
597496-ufc-269-randy-the-zohan-costa-vs-tony-primetime-kelley,46792-tony-kelley,31.2,18.9,49.9,10,4122
600286-ufc-269-ryan-the-wizard-hall-vs-darrick-minner,19491-darrick-minner,32.3,11.8,55.9,16,4211
600286-ufc-269-ryan-the-wizard-hall-vs-darrick-minner,37328-ryan-hall,1.4,86.3,12.3,84,4211
611962-ufc-269-erin-cold-blooded-blanchfield-vs-miranda-fear-the-maverick,116637-miranda-maverick,5.6,2.5,91.9,76,4082
611962-ufc-269-erin-cold-blooded-blanchfield-vs-miranda-fear-the-maverick,167460-erin-blanchfield,3.5,3.3,93.2,24,4082
612833-ufc-269-andre-sergipano-muniz-vs-ya-boi-eryk-anders,30666-eryk-anders,54.1,2.8,43.1,18,4109
612833-ufc-269-andre-sergipano-muniz-vs-ya-boi-eryk-anders,38116-andr-muniz-sergipano,3.9,75.8,20.4,82,4109
611333-ufc-269-bruno-blindado-silva-vs-jordan-the-beverly-hills-ninja-wright,59819-bruno-silva-blindado,86.5,4.2,9.3,86,4117
611333-ufc-269-bruno-blindado-silva-vs-jordan-the-beverly-hills-ninja-wright,105503-jordan-wright-the-beverly-hills-ninja,64.2,10.4,25.4,14,4117
613942-ufc-269-augusto-sakai-vs-tai-bam-bam-tuivasa,44468-augusto-sakai,32.7,3.5,63.8,24,4243
613942-ufc-269-augusto-sakai-vs-tai-bam-bam-tuivasa,120884-tai-tuivasa-bam-bam,92.8,0.2,7.0,76,4243
602869-ufc-269-pedro-the-young-punisher-munhoz-vs-dominick-the-dominator-cruz,5243-pedro-munoz-pedrinho,14.8,3.2,81.9,30,4341
602869-ufc-269-pedro-the-young-punisher-munhoz-vs-dominick-the-dominator-cruz,dominick-cruz-the-dominator,2.4,0.8,96.8,70,4341
608107-ufc-269-josh-emmett-vs-50k-dan-ige,51295-josh-emmett,34.2,1.0,64.8,71,4260
608107-ufc-269-josh-emmett-vs-50k-dan-ige,21178-dan-ige,24.4,2.2,73.3,29,4260
603112-ufc-269-sugar-sean-o-malley-vs-raulian-paiva,68186-sean-omalley,77.0,1.1,21.9,87,4416
603112-ufc-269-sugar-sean-o-malley-vs-raulian-paiva,80405-raulian-paiva,33.6,15.6,50.8,13,4416
590256-ufc-fight-night-kai-don-t-blink-kara-france-vs-cody-no-love-garbrandt,24803-kaiwhare-kara-france,54.4,1.1,44.5,45,4382
590256-ufc-fight-night-kai-don-t-blink-kara-france-vs-cody-no-love-garbrandt,21780-cody-garbrandt-no-love,61.6,0.7,37.8,55,4382
605623-ufc-269-geoff-handz-of-steel-neal-vs-santiago-argentine-dagger-ponzinibbio,20058-geoffrey-neal,63.2,0.9,35.9,29,4320
605623-ufc-269-geoff-handz-of-steel-neal-vs-santiago-argentine-dagger-ponzinibbio,29349-santiago-ponzinibbio-el-rasta,20.2,1.9,77.9,71,4320
596536-ufc-269-amanda-the-lioness-nunes-vs-julianna-the-venezuelan-vixen-pena,amanda-nunes-lioness-of-the-ring,78.5,15.2,6.3,96,4478
