id,event_id,bout_order,fighter_1_id,fighter_2_id,fighter_1_weight_lbs,fighter_2_weight_lbs,fighter_1_fighting_out_of,fighter_2_fighting_out_of,decision_type
732,55,1,113,283,205.0,204.0,,,Unanimous Decision
716,56,1,390,241,170.0,170.0,,,Unanimous Decision
723,56,2,113,111,204.0,205.0,"Huntington Beach, CA","Rio de Janeiro, Brazil",Split Decision
711,57,1,413,509,205.0,204.0,"Davenport, IA","Santa Cruz, CA",Unanimous Decision
713,57,2,354,315,205.0,204.0,,,Unanimous Decision
697,58,1,158,501,215.0,225.0,,,Unanimous Decision
700,58,2,289,502,170.0,170.0,,,Unanimous Decision
695,59,1,390,329,169.0,170.0,,,Unanimous Decision
686,60,1,315,413,206.0,205.0,"Chicago, IL","Davenport, IA",Unanimous Decision
687,60,2,306,283,185.5,185.0,"Gresham, OR","Quebec City, Quebec, Canada",Split Decision
688,60,3,322,389,184.0,184.0,"Denver, CO","Seattle, WA",Unanimous Decision
673,61,1,476,417,184.5,186.0,,,Unanimous Decision
674,61,2,250,481,185.5,185.5,,,Unanimous Decision
666,62,1,352,428,185.5,184.0,"San Jose, CA","Brainerd, MN",Unanimous Decision
658,63,1,414,249,184.0,185.2,"Milford, MA",,Unanimous Decision
653,64,1,285,300,170.0,169.0,,,Unanimous Decision
654,64,2,320,405,224.0,250.0,,,Split Decision
655,64,3,353,436,170.5,170.0,,,Unanimous Decision
641,65,1,475,489,171.0,170.5,,,Unanimous Decision
644,65,2,162,476,186.0,185.0,,,Unanimous Decision
640,66,1,412,402,263.0,236.0,"Davenport, IA","Sao Paulo, Brazil",Unanimous Decision
621,67,1,356,483,206.0,206.0,,,Unanimous Decision
625,67,2,268,256,205.0,205.0,,,Unanimous Decision
626,67,3,432,436,169.5,170.0,,,Unanimous Decision
615,68,1,381,380,154.0,155.0,,,Split Decision
617,68,2,322,481,183.0,185.0,,,Unanimous Decision
618,68,3,289,325,170.0,169.0,,,Split Decision
620,68,4,357,447,185.0,185.0,"Cincinnati, OH","Montreal, Quebec, Canada",Unanimous Decision
1871,191,1,959,634,185.5,185.5,"San Jose, CA","Gresham, OR",Unanimous Decision
1873,191,2,188,960,183.0,182.0,"East Palo Alto, CA","Ciudad Juárez, Chihuahua, Mexico",Unanimous Decision
1874,191,3,276,514,155.0,155.0,"Johnsburg, IL","San Jose, CA",Unanimous Decision
604,69,1,472,476,185.0,185.0,,,Unanimous Decision
608,69,2,300,458,170.0,170.0,,,Unanimous Decision
609,69,3,306,375,186.0,185.0,"Seattle, WA","Orlando, FL",Unanimous Decision
610,69,4,451,285,171.0,171.0,"Des Moines, IA","Las Vegas, NV",Unanimous Decision
611,69,5,320,413,203.0,206.0,"Lansing, MI","Davenport, IA",Split Decision
612,69,6,315,356,206.0,205.0,"Chicago, IL","Albuquerque, NM",Unanimous Decision
599,70,1,236,425,234.0,230.0,,,Split Decision
601,70,2,113,354,204.0,203.0,"Huntington Beach, CA","Athens, GA",Split Decision
602,70,3,251,436,171.0,171.0,,,Unanimous Decision
592,71,1,353,233,169.0,169.0,,"Los Angeles, CA",Unanimous Decision
1886,192,1,955,276,154.0,155.0,"San Francisco, CA","Johnsburg, IL",Split Decision
1888,192,2,973,111,210.0,209.0,"Amsterdam, Netherlands","Rio de Janeiro, Brazil",Unanimous Decision
582,72,1,356,383,205.0,204.0,,,Unanimous Decision
583,72,2,284,362,184.5,186.0,,,Unanimous Decision
572,73,1,290,219,171.0,170.0,"Fresno, CA","Osseo, MN",Unanimous Decision
573,73,2,467,313,154.0,155.0,"Thamesford, Ontario, Canada","Cincinnati, OH",Unanimous Decision
574,73,3,320,315,205.0,205.0,"Lansing, MI","Chicago, IL",Majority Decision
576,73,4,293,300,169.0,169.0,"Victoriaville, Quebec, Canada","Long Island, NY",Majority Decision
563,74,1,280,463,262.0,264.5,,,Unanimous Decision
565,74,2,391,451,169.0,170.0,,,Unanimous Decision
566,74,3,412,244,258.5,234.0,"Davenport, IA","Chicago, IL",Unanimous Decision
550,75,1,374,456,170.0,170.0,"Cleveland, OH","South Minneapolis, MN",Unanimous Decision
555,75,2,421,459,185.0,185.0,"San Diego, CA","Tokyo, Japan",Unanimous Decision
557,75,3,353,390,169.5,170.5,"Albuquerque, NM","North Hollywood, CA",Unanimous Decision
530,76,1,368,385,185.0,184.0,"Kanagawa, Japan","Biloxi, MS",Unanimous Decision
537,76,2,354,315,205.0,204.0,"Las Vegas, NV","Chicago, IL",Unanimous Decision
526,77,1,313,444,154.0,155.5,"Cincinnati, OH","Orlando, FL",Unanimous Decision
520,77,2,287,408,155.0,155.5,"Minneapolis, MN","Mentor, OH",Unanimous Decision
529,77,3,406,447,184.0,185.5,"San Jose, CA","Montreal, Quebec, Canada",Unanimous Decision
510,78,1,294,233,171.0,169.5,"Coconut Creek, FL","Vancouver, British Columbia, Canada",Unanimous Decision
511,78,2,366,404,185.5,184.5,"Athens, GA","Portland, OR",Unanimous Decision
514,78,3,272,394,205.0,203.5,"Cincinnati, OH","Orlando, FL",Unanimous Decision
505,79,1,384,269,222.0,226.0,,,Split Decision
506,79,2,352,295,170.0,170.0,,,Unanimous Decision
507,79,3,251,308,154.5,155.0,"Oak Grove, MN","Boston, MA",Unanimous Decision
491,80,1,411,278,185.0,185.0,,,Unanimous Decision
497,80,2,329,241,170.0,170.0,,,Split Decision
481,81,1,420,433,232.5,235.0,"Indianapolis, IN","Nashville, TN",Unanimous Decision
489,81,2,412,236,262.5,237.5,"Davenport, IA","Olympia, WA",Unanimous Decision
1889,193,1,974,975,127.5,131.0,"San Jose, CA","San Jose, CA",Unanimous Decision
1890,193,2,951,976,194.0,192.0,,,Unanimous Decision
1891,193,3,509,516,203.0,205.0,,,Unanimous Decision
1892,193,4,977,978,150.0,151.0,"Las Vegas, NV","San Jose, CA",Unanimous Decision
1893,193,5,514,979,155.5,154.5,"San Jose, CA","Westminster, CA",Unanimous Decision
472,82,1,426,427,186.0,185.5,"Lake City, MN","Kailua, HI",Unanimous Decision
473,82,2,428,393,170.5,169.5,"Brainerd, MN","Tokyo, Japan",Unanimous Decision
476,82,3,282,399,206.0,204.0,"Tulsa, OK","Edmonton, Alberta, Canada",Split Decision
477,82,4,275,212,171.0,171.0,"Bangor, ME","Chicago, IL",Unanimous Decision
478,82,5,390,392,171.0,171.0,"North Hollywood, CA","Tucson, AZ",Unanimous Decision
479,82,6,290,431,169.5,169.5,"Fresno, CA","Hamilton, Ontario, Canada",Unanimous Decision
462,83,1,344,423,235.0,236.0,,,Unanimous Decision
1560,160,1,801,793,135.0,134.0,,,Unanimous Decision
1563,160,2,796,797,183.0,185.0,,,Unanimous Decision
453,84,1,309,276,154.5,154.0,"Port St. Lucie, FL","Tinley Park, IL",Unanimous Decision
455,84,2,391,371,171.0,171.0,"Salt Lake City, UT","Omaha, NE",Unanimous Decision
457,84,3,322,421,185.5,185.0,"Denver, CO","San Diego, CA",Unanimous Decision
459,84,4,420,318,234.5,250.0,"Indianapolis, IN","Las Vegas, NV",Unanimous Decision
442,85,1,292,314,156.0,155.0,,,Unanimous Decision
444,85,2,350,413,203.0,206.0,,,Unanimous Decision
445,85,3,310,348,154.0,156.0,"Toms River, NJ","Santa Rosa, CA",Unanimous Decision
447,85,4,283,364,185.0,185.0,"Quebec City, Quebec, Canada","Elk Grove, CA",Unanimous Decision
3885,399,1,2257,2258,,,,,Unanimous Decision
3887,399,2,1061,1062,,,,,Unanimous Decision
3888,399,3,2259,745,,,,,Unanimous Decision
3891,399,4,2261,978,,,,,Unanimous Decision
3892,399,5,915,2262,,,,,Unanimous Decision
3893,399,6,1000,1119,,,,,Unanimous Decision
431,86,1,265,408,155.5,156.0,,,Unanimous Decision
436,86,2,204,241,171.0,169.0,,,Unanimous Decision
441,86,3,120,412,222.5,263.0,"Las Vegas, NV","Davenport, IA",Unanimous Decision
1575,161,1,812,808,134.0,135.0,"Chicago, IL","Highland, IN",Unanimous Decision
393,87,1,349,262,154.0,155.0,"Florianopolis, Brazil","Kanagawa, Japan",Unanimous Decision
394,87,2,379,346,170.5,170.5,"Rio de Janeiro, Brazil","Slidell, LA",Unanimous Decision
395,87,3,295,374,170.0,170.0,"Tokyo, Japan","Cleveland, OH",Unanimous Decision
401,87,4,392,393,170.5,170.0,"Tucson, AZ","Tokyo, Japan",Unanimous Decision
404,87,5,396,281,245.0,242.0,"Huntington Beach, CA","Los Angeles, CA",Unanimous Decision
419,88,1,278,302,186.0,186.0,,,Unanimous Decision
421,88,2,318,405,245.0,260.5,,,Unanimous Decision
424,88,3,368,406,184.0,184.0,"Kanagawa, Japan","San Jose, CA",Unanimous Decision
425,88,4,287,299,155.0,154.5,"Minneapolis, MN","Lubbock, TX",Unanimous Decision
426,88,5,290,353,170.5,168.5,"Fresno, CA","Albuquerque, NM",Unanimous Decision
412,89,1,269,402,229.0,241.0,"Paris, France","Sao Paulo, Brazil",Majority Decision
413,89,2,350,282,199.0,205.0,"Belem, Brazil","Tulsa, OK",Unanimous Decision
415,89,3,244,403,238.0,233.0,"Chicago, IL","Porto Alegre, Brazil",Unanimous Decision
1578,162,1,814,820,184.0,185.5,,,Unanimous Decision
1584,162,2,828,827,205.0,205.0,,,Split Decision
1585,162,3,502,818,185.0,184.0,,,Unanimous Decision
388,90,1,388,306,186.0,185.0,"Surrey, British Columbia, Canada","Seattle, WA",Unanimous Decision
391,90,2,390,391,170.0,171.0,"North Hollywood, CA","Salt Lake City, UT",Unanimous Decision
1587,163,1,830,793,136.0,134.0,,,Unanimous Decision
1589,163,2,806,802,145.0,146.0,"Orange County, CA","Athens, GA",Unanimous Decision
1593,163,3,486,834,155.0,155.0,"Las Vegas, NV","Mission Viejo, CA",Majority Decision
373,91,1,369,370,155.5,156.0,"Crystal Lake, IL","North Platte, NE",Unanimous Decision
378,91,2,374,375,169.5,170.5,"Cleveland, OH","Orlando, FL",Unanimous Decision
382,91,3,380,381,154.0,155.5,"Bettendorf, IA","London, Ontario, Canada",Unanimous Decision
368,92,1,348,276,155.0,155.0,"Las Vegas, NV","Johnsburg, IL",Split Decision
370,92,2,354,367,205.0,204.0,"Las Vegas, NV","Norwalk, CA",Unanimous Decision
371,92,3,357,368,185.0,185.0,"Cincinnati, OH","Kanagawa, Japan",Unanimous Decision
1894,194,1,915,974,134.0,132.5,"San Francisco, CA","Gilroy, CA",Unanimous Decision
1895,194,2,689,980,168.5,168.5,"Dresden, TN","Irvine, CA",Unanimous Decision
330,94,1,313,314,155.5,155.0,,,Unanimous Decision
340,94,2,317,318,240.5,259.0,,,Unanimous Decision
341,94,3,251,319,154.5,154.5,,,Unanimous Decision
342,94,4,320,113,204.0,205.5,,,Unanimous Draw
1598,164,1,814,426,183.5,185.0,"Las Vegas, NV","Lake City, MN",Unanimous Decision
1599,164,2,801,837,136.0,135.0,,,Unanimous Decision
1602,164,3,527,839,145.0,146.0,"Crystal Lake, IL","Athens, GA",Unanimous Decision
308,95,1,276,277,155.0,155.0,"Johnsburg, IL","Coconut Creek, FL",Split Decision
314,95,2,285,286,155.0,155.0,"Las Vegas, NV","Jupiter, FL",Unanimous Decision
315,95,3,289,290,170.0,170.0,"Montreal, Quebec, Canada","Fresno, CA",Unanimous Decision
1610,165,1,233,848,170.0,170.0,,,Unanimous Decision
1613,165,2,812,835,135.0,134.5,"Chicago, IL","San Diego, CA",Unanimous Decision
302,96,1,265,266,156.0,155.0,"Coconut Creek, FL","Liverpool, England",Unanimous Decision
305,96,2,269,270,231.0,220.0,"Paris, France","Zagreb, Croatia",Unanimous Decision
306,96,3,271,272,205.0,205.0,"Liverpool, England","Utica, NY",Split Decision
307,96,4,273,154,204.0,204.0,"Irvine, CA","Temecula, CA",Unanimous Decision
321,97,1,298,299,155.0,155.0,"Coconut Creek, FL","Lubbock, TX",Unanimous Decision
355,98,1,331,342,156.0,152.5,"Tulsa, OK","Tokyo, Japan",Unanimous Decision
357,98,2,345,314,155.0,155.5,"Des Moines, IA","Atlanta, GA",Unanimous Decision
359,98,3,348,349,155.5,154.5,"Las Vegas, NV","Florianopolis, Brazil",Unanimous Decision
360,98,4,350,351,205.5,205.0,"Belem, Brazil","Tokyo, Japan",Unanimous Decision
361,98,5,352,353,171.0,170.0,"San Jose, CA","Albuquerque, NM",Split Decision
363,98,6,356,151,204.5,205.5,"Albuquerque, NM","San Luis Obispo, CA",Split Decision
1896,195,1,981,982,204.2,209.0,,,Unanimous Decision
1897,195,2,957,983,222.7,225.0,"Cupertino, CA","San Diego, CA",Unanimous Decision
1898,195,3,984,966,154.7,154.7,"Fresno, CA","Saratoga, CA",Split Decision
1899,195,4,955,985,155.5,154.8,"Concord, CA","Omiya, Japan",Unanimous Decision
867,99,1,401,376,155.0,156.0,"Harrah, OK","Bettendorf, IA",Split Decision
868,99,2,391,374,171.0,170.0,"Salt Lake City, UT","Cleveland, OH",Split Decision
871,99,3,368,365,186.0,184.5,"Kanagawa, Japan","Edmonton, Alberta, Canada",Unanimous Decision
874,99,4,330,313,155.5,155.0,"Denver, CO","Cincinnati, OH",Unanimous Decision
875,99,5,412,435,260.5,225.5,"Davenport, IA","San Diego, CA",Unanimous Decision
1900,196,1,986,966,155.5,154.8,,,Unanimous Decision
1901,196,2,974,987,132.0,137.0,,,Split Decision
1902,196,3,476,532,185.0,185.0,"Cape Town, South Africa","Honolulu, HI",Referee Decision
1903,196,4,988,989,171.8,167.0,"Greenville, NC","San Carlos, CA",Unanimous Decision
898,100,1,310,380,154.0,154.5,,,Unanimous Decision
900,100,2,390,556,170.0,169.5,,,Unanimous Decision
902,100,3,320,271,206.0,205.0,"Albuquerque, NM","Liverpool, England",Split Decision
918,102,1,566,567,169.0,170.0,"Orlando, FL","Fort Knox, KY",Unanimous Decision
1618,166,1,846,814,183.5,182.5,,,Split Decision
1619,166,2,233,852,170.0,167.5,"Vancouver, British Columbia, Canada","Houston, TX",Unanimous Decision
923,101,1,311,340,155.0,154.0,"Woodbridge, Ontario, Canada","Anchorage, AK",Unanimous Decision
925,101,2,421,378,186.0,185.0,"San Diego, CA","Plovdiv, Bulgaria",Unanimous Decision
932,101,3,151,169,204.0,205.0,"San Luis Obispo, CA","Las Vegas, NV",Unanimous Decision
935,103,1,381,577,155.0,155.0,"London, Ontario, Canada","Stockholm, Sweden",Unanimous Decision
937,103,2,578,274,170.0,170.0,"Liverpool, England","Walsall, England",Unanimous Decision
955,104,1,296,261,155.0,154.0,"Las Vegas, NV","Mannheim, Germany",Unanimous Decision
946,104,2,349,342,155.0,154.0,"Florianopolis, Brazil","Tokyo, Japan",Unanimous Decision
948,104,3,406,391,170.0,170.0,"San Jose, CA","Salt Lake City, UT",Majority Decision
3894,400,1,1006,1003,,,,,Unanimous Decision
956,105,1,334,393,155.0,155.0,,,Split Decision
957,105,2,416,307,185.0,186.0,,,Unanimous Decision
960,105,3,348,265,155.0,156.0,,,Unanimous Decision
1626,167,1,854,855,135.0,136.0,"Albuquerque, NM","Boise, ID",Unanimous Decision
1630,167,2,816,801,135.0,136.0,"Chino, CA","Arroyo Grande, CA",Split Decision
1904,197,1,990,991,143.0,144.0,"Olympia, WA","Bellevue, WA",Unanimous Decision
1905,197,2,992,993,230.0,244.0,"Redmond, WA","Tacoma, WA",Unanimous Decision
1906,197,3,994,995,159.0,158.0,"Miami, FL","Portland, OR",Unanimous Decision
1907,197,4,996,542,168.0,171.0,"Yelm, WA","St. Louis, MO",Unanimous Decision
966,106,1,313,415,154.5,155.0,"Cincinnati, OH","Des Moines, IA",Unanimous Decision
969,106,2,375,300,170.5,170.0,"Orlando, FL","Long Island, NY",Unanimous Decision
971,106,3,352,586,170.0,169.5,"San Jose, CA","Portland, OR",Unanimous Decision
974,106,4,318,269,248.0,233.5,"Las Vegas, NV","Paris, France",Split Decision
1635,168,1,861,862,134.0,136.0,"Tokyo, Japan","Coconut Creek, FL",Split Draw
1637,168,2,557,824,156.0,156.0,"New Smyrna Beach, FL","Milwaukee, WI",Unanimous Decision
1643,168,3,472,846,186.0,184.0,"West Linn, OR","West Covina, CA",Unanimous Decision
1908,198,1,252,969,171.0,171.0,"Huntington Beach, CA","San Francisco, CA",Unanimous Decision
981,107,1,451,309,156.0,155.0,"Des Moines, IA","Port St. Lucie, FL",Unanimous Decision
987,107,2,296,310,155.0,155.5,"Las Vegas, NV","Toms River, NJ",Unanimous Decision
990,108,1,346,381,155.0,155.5,"Slidell, LA","London, Ontario, Canada",Split Decision
996,108,2,303,388,185.5,186.0,"Gresham, OR","Surrey, British Columbia, Canada",Unanimous Decision
1002,109,1,346,266,155.0,155.0,"Slidell, LA","Liverpool, England",Unanimous Decision
1006,109,2,350,113,203.0,205.0,"Belem, Brazil","Huntington Beach, CA",Unanimous Decision
1645,169,1,813,805,135.0,135.5,"San Diego, CA","Ontario, CA",Unanimous Decision
1649,169,2,868,812,135.0,136.0,"Rio de Janeiro, Brazil","Chicago, IL",Split Decision
1650,169,3,522,527,145.0,144.5,"Coconut Creek, FL","Island Lake, IL",Unanimous Decision
1652,169,4,800,845,155.5,155.5,"Huntington Beach, CA","Sacramento, CA",Split Decision
1655,169,5,791,200,144.5,145.0,"Sacramento, CA","Bettendorf, IA",Unanimous Decision
1011,110,1,274,259,169.0,169.0,"Walsall, England","London, England",Split Decision
1017,110,2,278,322,185.0,185.0,"Rio de Janeiro, Brazil","Denver, CO",Split Decision
1018,110,3,406,275,170.0,170.0,"San Jose, CA","Bangor, ME",Unanimous Decision
1027,111,1,603,606,185.0,185.0,"Tempe, AZ","Jackson, NJ",Unanimous Decision
1028,111,2,380,345,155.0,155.0,"Bettendorf, IA","Des Moines, IA",Unanimous Decision
1031,111,3,284,172,186.0,186.0,"Maui, HI","Las Vegas, NV",Split Decision
1909,199,1,997,998,169.0,169.0,,,Unanimous Decision
1910,199,2,999,1000,155.0,155.0,"Pacifica, CA","Fremont, CA",Unanimous Decision
1911,199,3,1001,978,145.0,146.0,"Tacoma, WA","San Jose, CA",Unanimous Decision
1912,199,4,509,1002,204.5,203.0,"San Jose, CA","Coarsegold, CA",Unanimous Decision
1913,199,5,984,979,155.0,154.0,"Fresno, CA","Westminster, CA",Split Decision
