id,event_id,bout_order,red_fighter_id,blue_fighter_id,red_outcome,blue_outcome,weight_class,type_verbose,performance_bonus,outcome_method,outcome_method_details,end_round,end_round_time_seconds,round_time_format,total_time_seconds
1bfb8faa1edd3867,3da19339ee7051d5,6,2937cb502dda0808,a20d7dfaba74c067,L,W,Featherweight,Featherweight Bout,1,Submission,Rear Naked Choke,1,132,3 Rnd (5-5-5),132
f638f176dd1834c0,3da19339ee7051d5,7,2f95a3c6d58b2aad,ed209f6618c82e41,L,W,Featherweight,Featherweight Bout,0,Decision - Unanimous,Mark Collett 28 - 29. Howard Hughes 27 - 30. Chris Watts 27 - 30.,3,300,3 Rnd (5-5-5),900
0239f24134022656,3da19339ee7051d5,8,492b202d2064e7a9,353de740bb6c7e75,W,L,Heavyweight,Heavyweight Bout,0,KO/TKO,Punch to Head At Distance,1,148,3 Rnd (5-5-5),148
366de1daf05a2b62,3da19339ee7051d5,9,fa37628269132d1a,b71ce838b01f2cad,L,W,Featherweight,Ultimate Fighter Brazil 1 Featherweight Tournament Title Bout,0,Decision - Unanimous,Aaron Chatfield 28 - 29. Howard Hughes 28 - 29. Rick Winter 28 - 29.,3,300,3 Rnd + OT (5-5-5-5),900
9232fed045b1f4f9,3da19339ee7051d5,10,dbc17725b887860a,1bcaac2d99b90fce,W,L,Middleweight,Ultimate Fighter Brazil 1 Middleweight Tournament Title Bout,0,Decision - Unanimous,Aaron Chatfield 28 - 29. Mark Collett 27 - 30. Rick Winter 27 - 30.,3,300,3 Rnd + OT (5-5-5-5),900
1b80d5696c2dc640,3da19339ee7051d5,11,a1f6999fe57236e0,d897897060f10a3a,L,W,Catch Weight,Catch Weight Bout,0,Decision - Unanimous,Mark Collett 46 - 49. Howard Hughes 46 - 49. Chris Watts 46 - 49.,5,300,5 Rnd (5-5-5-5-5),1500
8e7b1dfc608a2ef4,e8efeb9cf33b1941,1,15b1b21cd743d652,afc2a7ce0c763bd5,W,L,Lightweight,Lightweight Bout,0,Decision - Unanimous,Junichiro Kamijo 28 - 29. Mark Smith 28 - 29. Tony Weeks 28 - 29.,3,300,3 Rnd (5-5-5),900
5c783d455daff573,e8efeb9cf33b1941,2,7a15f3694c5cbc02,75e0d3cc2262b732,L,W,Lightweight,Lightweight Bout,0,Decision - Unanimous,Adalaide Byrd 28 - 29. Patricia Morse-Jarman 28 - 29. Glenn Trowbridge 28 - 29.,3,300,3 Rnd (5-5-5),900
2f5e137118d57d0e,e8efeb9cf33b1941,3,05560764359161e4,7c35f869033901ae,W,L,Middleweight,Middleweight Bout,0,Decision - Unanimous,Jeff Collins 27 - 30. Chris Lee 27 - 30. Tony Weeks 28 - 29.,3,300,3 Rnd (5-5-5),900
ded18af0e4eae2f7,e8efeb9cf33b1941,4,75e5fec9f72910ef,032cc3922d871c7f,L,W,Lightweight,Lightweight Bout,0,Decision - Unanimous,Jeff Collins 27 - 30. Mark Smith 27 - 30. Glenn Trowbridge 27 - 30.,3,300,3 Rnd (5-5-5),900
0c37ff69a00c0e74,e8efeb9cf33b1941,5,ccd1299e0345e0ce,7abe471b61725980,W,L,Lightweight,Lightweight Bout,0,Decision - Unanimous,Adalaide Byrd 27 - 30. Patricia Morse-Jarman 27 - 30. Tony Weeks 27 - 30.,3,300,3 Rnd (5-5-5),900
21751a3cc69e5aae,e8efeb9cf33b1941,6,5755960ebd0b16f6,bc7230f231701d66,L,W,Bantamweight,Bantamweight Bout,0,Decision - Unanimous,Junichiro Kamijo 28 - 29. Chris Lee 27 - 30. Mark Smith 27 - 30.,3,300,3 Rnd (5-5-5),900
d1268ffa059f9d42,e8efeb9cf33b1941,7,b5b684eac99ae0a3,7be63795363029e8,W,L,Featherweight,Featherweight Bout,0,KO/TKO,Punch to Body At Distance,1,31,3 Rnd (5-5-5),31
61cb2ca1469c83ba,e8efeb9cf33b1941,8,9bcf8603ceb25680,427b5953ac8e3a27,L,W,Welterweight,Welterweight Bout,0,KO/TKO,to Rib Injury,1,47,3 Rnd (5-5-5),47
64d4c58a37e1d29b,e8efeb9cf33b1941,9,d4f364dd076bb0e2,9fa3bd637edd9aa2,W,L,Middleweight,Middleweight Bout,0,Decision - Unanimous,Junichiro Kamijo 27 - 30. Mark Smith 27 - 30. Glenn Trowbridge 27 - 30.,3,300,3 Rnd (5-5-5),900
cf04a408cedb37ff,e8efeb9cf33b1941,10,fcffee71cff5530e,2f732dd9210d301f,W,L,Light Heavyweight,Light Heavyweight Bout,0,Decision - Unanimous,Adalaide Byrd 28 - 29. Jeff Collins 28 - 29. Tony Weeks 28 - 29.,3,300,3 Rnd (5-5-5),900
83526f699d25e4e4,e8efeb9cf33b1941,11,1f454354805b6f75,48d1f690b763934c,W,L,Middleweight,UFC Middleweight Title Bout,1,KO/TKO,Punch to Head In Clinch,2,115,5 Rnd (5-5-5-5-5),415
a914df32b95a1abc,d3b5ad3b15a64a18,1,2f13e4020cea5b38,57bf89d42364d39e,W,L,Bantamweight,Bantamweight Bout,0,KO/TKO,Punch to Head At Distance,2,25,3 Rnd (5-5-5),325
831957c67bfc4486,d3b5ad3b15a64a18,2,0c9c0a43d3f3f49d,cc3147b49c7d7d92,W,L,Welterweight,Welterweight Bout,0,Decision - Split,Steve Morrow 29 - 28. Ray Balewicz 28 - 29. Susan Thomas-Gitlin 28 - 29.,3,300,3 Rnd (5-5-5),900
0ae4889892f21738,d3b5ad3b15a64a18,3,0dba4df5f34d5ff0,8a70ceb3edbe757b,L,W,Middleweight,Middleweight Bout,0,KO/TKO,Kick to Head At Distance,2,292,3 Rnd (5-5-5),592
1085f281dd966d96,d3b5ad3b15a64a18,4,b2e3aca4cd363477,b0f316c60f8d3b47,W,L,Flyweight,Flyweight Bout,0,Decision - Unanimous,Ray Balewicz 27 - 30. Dan Stell 27 - 30. Susan Thomas-Gitlin 27 - 30.,3,300,3 Rnd (5-5-5),900
d6dcbf543d7e303d,d3b5ad3b15a64a18,5,c96e2ae6021144a1,7aa3d6964eff4877,L,W,Bantamweight,Bantamweight Bout,1,Submission,Triangle Choke From Bottom Guard,2,87,3 Rnd (5-5-5),387
34e67c2b110f6b6a,d3b5ad3b15a64a18,6,6a2f7c151031653d,6bf5a7d3e081ade2,W,L,Lightweight,Lightweight Bout,0,Decision - Unanimous,Ray Balewicz 27 - 30. Susan Thomas-Gitlin 27 - 30. Steve Morrow 28 - 29.,3,300,3 Rnd (5-5-5),900
7287b029f4596be7,d3b5ad3b15a64a18,7,c849740a3ff51931,8bb6f4479685bbcc,W,L,Bantamweight,Bantamweight Bout,0,Submission,Rear Naked Choke,1,153,3 Rnd (5-5-5),153
d37660fceaa8125a,d3b5ad3b15a64a18,8,d23ccf4a6c221284,3591d0d5d382a381,L,W,Middleweight,Middleweight Bout,0,Submission,Rear Naked Choke,2,99,3 Rnd (5-5-5),399
1eb7733d880a0b8f,d3b5ad3b15a64a18,9,d5f820c11a121050,6e0273f9478be71e,W,L,Welterweight,Welterweight Bout,0,Decision - Unanimous,Steve Morrow 27 - 30. Ray Balewicz 28 - 29. Dan Stell 28 - 29.,3,300,3 Rnd (5-5-5),900
