bout_id,person_name,media_name,fighter_1_score,fighter_2_score,order
1068,TJ DeSantis,Sherdog.com,29,28,4
1068,,MMAJunkie.com,29,28,5
1070,TJ DeSantis,Sherdog.com,30,27,1
1070,Jordan Breen,Sherdog.com,30,27,2
1070,,MMAJunkie.com,30,27,3
1070,Mike Fridley,Sherdog.com,29,28,4
1070,,MMAWeekly.com,29,28,5
1081,Jordan Breen,Sherdog.com,29,28,1
1081,,FightMetric.com,29,28,2
1081,,MMAWeekly.com,29,28,3
1081,,MMAJunkie.com,29,28,4
1081,TJ DeSantis,Sherdog.com,29,28,5
1081,Mike Fridley,Sherdog.com,29,28,6
1082,Mike Fridley,Sherdog.com,30,27,1
1082,TJ DeSantis,Sherdog.com,30,27,2
1082,Jordan Breen,Sherdog.com,30,27,3
1082,,MMAJunkie.com,30,27,4
1082,,MMAWeekly.com,30,27,5
1083,TJ DeSantis,Sherdog.com,29,28,1
1083,Jordan Breen,Sherdog.com,29,28,2
1083,,MMAJunkie.com,29,28,3
1083,,MMAWeekly.com,29,28,4
1083,Mike Fridley,Sherdog.com,29,28,5
1088,,Sherdog.com,29,28,1
1088,,MMAWeekly.com,29,28,2
1088,,MMAJunkie.com,29,28,3
1089,,MMAJunkie.com,29,28,1
1089,,MMAWeekly.com,29,28,2
1089,,Sherdog.com,29,28,3
1092,,MMAJunkie.com,30,27,1
1092,,MMAWeekly.com,30,26,2
1092,,Sherdog.com,30,27,3
1094,,MMAJunkie.com,29,28,1
1094,,Sherdog.com,29,28,2
1096,,Sherdog.com,29,28,1
1096,,MMAWeekly.com,29,28,2
1096,,FightMetric.com,29,28,3
1096,,MMAJunkie.com,29,28,4
1097,,FightMetric.com,30,27,1
1097,,MMAJunkie.com,30,27,2
1097,,Sherdog.com,30,27,3
1097,,MMAWeekly.com,29,28,4
1098,,MMAJunkie.com,29,28,1
1098,,MMAWeekly.com,29,28,2
1098,,Sherdog.com,29,28,3
1099,,MMAWeekly.com,30,27,1
1099,,Sherdog.com,30,27,2
1099,,MMAJunkie.com,30,27,3
1101,,MMAJunkie.com,29,28,1
1101,,MMAWeekly.com,29,28,2
1101,,Sherdog.com,29,28,3
1104,,MMAWeekly.com,30,27,1
1104,Lotfi Sariahmed,Sherdog.com,30,27,2
1104,,MMAJunkie.com,29,28,3
1104,Jordan Breen,Sherdog.com,29,28,4
1104,TJ DeSantis,Sherdog.com,29,28,5
1106,Lotfi Sariahmed,Sherdog.com,29,28,1
1106,TJ DeSantis,Sherdog.com,30,27,2
1106,Jordan Breen,Sherdog.com,30,27,3
1106,,MMAWeekly.com,30,27,4
1106,,MMAJunkie.com,30,27,5
1107,,FightMetric.com,30,27,1
1107,,MMAJunkie.com,30,27,2
1107,,MMAWeekly.com,30,27,3
1107,Jordan Breen,Sherdog.com,30,27,4
1107,TJ DeSantis,Sherdog.com,29,28,5
1107,Lotfi Sariahmed,Sherdog.com,29,28,6
1666,,MMAWeekly.com,29,28,1
1666,,Sherdog.com,29,28,2
1667,,MMAWeekly.com,30,27,1
1667,,Sherdog.com,30,27,2
1668,Mike Fridley,Sherdog.com,30,26,1
1668,Jordan Breen,Sherdog.com,30,27,2
1668,TJ DeSantis,Sherdog.com,30,27,3
1668,,MMAWeekly.com,30,27,4
1668,,MMAJunkie.com,30,27,5
1112,,MMAJunkie.com,29,28,1
1112,,Sherdog.com,29,28,2
1669,,Sherdog.com,29,28,1
1669,,MMAWeekly.com,30,27,2
1670,,MMAWeekly.com,29,28,1
1670,,Sherdog.com,30,27,2
1671,Jordan Breen,Sherdog.com,30,27,1
1671,,MMAJunkie.com,30,27,2
1671,,MMAWeekly.com,30,27,3
1671,TJ DeSantis,Sherdog.com,30,27,4
1671,Mike Fridley,Sherdog.com,30,27,5
1122,,MMAWeekly.com,29,28,1
1127,,MMAWeekly.com,30,27,1
1119,Jordan Breen,Sherdog.com,30,26,1
1119,,MMAJunkie.com,30,27,2
1119,,MMAWeekly.com,30,27,3
1119,TJ DeSantis,Sherdog.com,30,27,4
1119,Mike Fridley,Sherdog.com,30,27,5
1132,,Sherdog.com,29,28,1
1132,,MMAJunkie.com,29,28,2
1133,,Sherdog.com,29,28,1
1133,,MMAJunkie.com,29,28,2
1141,Mike Fridley,Sherdog.com,29,28,1
1141,Jordan Breen,Sherdog.com,29,28,2
1141,,MMAJunkie.com,29,28,3
1143,,MMAJunkie.com,29,28,1
1143,,MMAWeekly.com,29,28,2
1143,,Sherdog.com,29,28,3
1146,,MMAJunkie.com,30,27,1
1146,,MMAWeekly.com,30,27,2
1146,,Sherdog.com,30,27,3
1157,,MMAJunkie.com,30,27,1
1157,Jordan Breen,Sherdog.com,30,27,2
1157,Mike Fridley,Sherdog.com,30,27,3
1157,Lotfi Sariahmed,Sherdog.com,29,28,4
1159,Jordan Breen,Sherdog.com,30,26,1
1159,,MMAWeekly.com,30,27,2
1159,Lotfi Sariahmed,Sherdog.com,30,27,3
1159,,MMAJunkie.com,29,28,4
1159,Mike Fridley,Sherdog.com,29,28,5
1161,,FightMetric.com,29,29,1
1161,Jordan Breen,Sherdog.com,29,28,2
1161,Lotfi Sariahmed,Sherdog.com,29,28,3
1161,,MMAJunkie.com,29,28,4
1161,,MMAWeekly.com,30,27,5
1161,Mike Fridley,Sherdog.com,29,28,6
1672,,Sherdog.com,30,27,1
1672,,MMAWeekly.com,30,27,2
1673,,Sherdog.com,30,27,1
1673,,MMAWeekly.com,30,27,2
1674,Mike Fridley,Sherdog.com,49,46,1
1674,,MMAJunkie.com,49,46,2
1674,Jordan Breen,Sherdog.com,49,46,3
1674,Tomas Rios,Sherdog.com,50,44,4
1162,,Sherdog.com,29,28,1
1162,,MMAJunkie.com,30,27,2
1162,,MMAWeekly.com,29,28,3
1163,,Sherdog.com,30,27,1
1163,,MMAJunkie.com,29,28,2
1163,,MMAWeekly.com,29,28,3
1164,,MMAWeekly.com,30,27,1
1164,,MMAJunkie.com,29,28,2
1164,,Sherdog.com,29,28,3
1165,,Sherdog.com,29,28,1
1165,,MMAWeekly.com,29,28,2
1165,,MMAJunkie.com,29,28,3
1166,,Sherdog.com,30,27,1
1166,,MMAWeekly.com,30,27,2
1166,,MMAJunkie.com,30,27,3
1167,TJ DeSantis,Sherdog.com,29,28,1
1167,,MMAWeekly.com,29,28,2
1167,,MMAJunkie.com,29,28,3
1167,Jordan Breen,Sherdog.com,29,29,4
1167,Mike Fridley,Sherdog.com,29,28,5
1169,Jordan Breen,Sherdog.com,30,27,1
1169,,MMAJunkie.com,29,28,2
1169,,MMAWeekly.com,29,28,3
1169,Mike Fridley,Sherdog.com,29,28,4
1169,TJ DeSantis,Sherdog.com,30,27,5
1172,,Sherdog.com,30,27,1
1172,,MMAJunkie.com,29,27,2
1183,,MMAWeekly.com,30,27,1
1183,,Sherdog.com,30,27,2
1194,,MMAJunkie.com,29,28,1
1194,Lotfi Sariahmed,Sherdog.com,30,27,2
1194,,FightMetric.com,29,28,3
1194,Jordan Breen,Sherdog.com,29,28,4
1194,Mike Fridley,Sherdog.com,30,27,5
1676,,Sherdog.com,29,28,1
1677,,Sherdog.com,29,28,1
1678,,Sherdog.com,29,28,1
1679,,MMAJunkie.com,29,28,1
1679,Jordan Breen,Sherdog.com,29,28,2
1679,TJ DeSantis,Sherdog.com,29,28,3
1679,Mike Fridley,Sherdog.com,29,28,4
1679,,MMAWeekly.com,29,28,5
1680,Jordan Breen,Sherdog.com,30,27,1
1680,,MMAWeekly.com,30,27,2
1680,Mike Fridley,Sherdog.com,30,27,3
1680,,MMAJunkie.com,30,27,4
1680,TJ DeSantis,Sherdog.com,30,27,5
1197,,MMAJunkie.com,29,28,1
1197,,MMAWeekly.com,29,28,2
1197,,Sherdog.com,29,28,3
1200,,MMAJunkie.com,30,27,1
1200,TJ DeSantis,Sherdog.com,30,27,2
1200,Jordan Breen,Sherdog.com,30,27,3
1200,,MMAWeekly.com,30,27,4
1200,Lotfi Sariahmed,Sherdog.com,30,27,5
1204,,MMAJunkie.com,29,28,1
1204,,FightMetric.com,29,28,2
1204,TJ DeSantis,Sherdog.com,30,27,3
1204,Jordan Breen,Sherdog.com,30,27,4
1204,,MMAWeekly.com,30,27,5
1204,Lotfi Sariahmed,Sherdog.com,29,28,6
1208,,Sherdog.com,29,28,1
1208,,MMAJunkie.com,29,28,2
1211,,MMAJunkie.com,30,27,1
1211,,Sherdog.com,30,27,2
1212,,Sherdog.com,30,27,1
1212,,MMAJunkie.com,30,27,2
1214,,MMAJunkie.com,29,28,1
1214,Mike Fridley,Sherdog.com,29,28,2
1214,Lotfi Sariahmed,Sherdog.com,29,28,3
1214,Jordan Breen,Sherdog.com,29,28,4
1214,,MMAWeekly.com,29,28,5
1215,,MMAJunkie.com,30,27,1
1215,,MMAWeekly.com,30,27,2
1215,Jordan Breen,Sherdog.com,30,27,3
1215,Lotfi Sariahmed,Sherdog.com,30,27,4
1215,Mike Fridley,Sherdog.com,30,27,5
1217,,MMAJunkie.com,29,28,1
1217,Jordan Breen,Sherdog.com,29,28,2
1217,Mike Fridley,Sherdog.com,29,28,3
1217,,FightMetric.com,29,29,4
1217,Lotfi Sariahmed,Sherdog.com,29,28,5
1217,,MMAWeekly.com,29,28,6
1681,,MMAJunkie.com,30,27,1
1681,,Sherdog.com,29,28,2
1681,,MMAWeekly.com,29,28,3
1682,,MMAWeekly.com,29,28,1
1682,,MMAJunkie.com,29,28,2
1682,,Sherdog.com,29,28,3
1683,,MMAJunkie.com,30,27,1
1683,,Sherdog.com,30,27,2
1683,,MMAWeekly.com,30,27,3
1684,,Sherdog.com,30,27,1
1685,,MMAWeekly.com,29,28,1
1685,,MMAJunkie.com,30,27,2
1685,Jordan Breen,Sherdog.com,30,27,3
1685,Mike Fridley,Sherdog.com,30,27,4
1686,Jordan Breen,Sherdog.com,30,27,1
1686,,MMAJunkie.com,30,27,2
1686,,MMAWeekly.com,30,27,3
1686,Mike Fridley,Sherdog.com,30,27,4
1687,,MMAWeekly.com,48,47,1
1687,,MMAJunkie.com,48,47,2
1687,Jordan Breen,Sherdog.com,48,47,3
1687,Mike Fridley,Sherdog.com,49,46,4
1218,,MMAJunkie.com,29,28,1
1218,,Sherdog.com,29,28,2
1219,,Sherdog.com,29,28,1
1219,,MMAJunkie.com,29,28,2
1221,,Sherdog.com,30,26,1
1221,,MMAJunkie.com,30,26,2
1223,,MMAJunkie.com,30,27,1
1223,,Sherdog.com,30,27,2
1224,TJ DeSantis,Sherdog.com,30,28,1
1224,,MMAJunkie.com,29,28,2
1224,Jordan Breen,Sherdog.com,29,28,3
1224,Mike Fridley,Sherdog.com,29,28,4
1224,,MMAWeekly.com,29,28,5
1556,,MMAJunkie.com,29,28,1
1556,Mike Fridley,Sherdog.com,29,28,2
1556,Jordan Breen,Sherdog.com,29,28,3
1556,TJ DeSantis,Sherdog.com,29,28,4
1228,,MMAWeekly.com,49,46,1
1228,TJ DeSantis,Sherdog.com,49,46,2
1228,,MMAJunkie.com,49,46,3
1228,Jordan Breen,Sherdog.com,50,46,4
1228,,FightMetric.com,50,45,5
1228,Mike Fridley,Sherdog.com,49,45,6
1229,,MMAWeekly.com,30,27,1
1229,,MMAJunkie.com,29,28,2
1229,,Sherdog.com,29,28,3
1237,Jordan Breen,Sherdog.com,30,27,1
1237,,MMAWeekly.com,30,27,2
1237,Mike Fridley,Sherdog.com,30,27,3
1237,TJ DeSantis,Sherdog.com,30,27,4
1237,,MMAJunkie.com,30,27,5
1238,,MMAWeekly.com,30,27,1
1238,Mike Fridley,Sherdog.com,30,27,2
1238,TJ DeSantis,Sherdog.com,30,27,3
1238,Jordan Breen,Sherdog.com,30,27,4
1238,,MMAJunkie.com,30,27,5
1240,Jordan Breen,Sherdog.com,30,28,1
1240,,MMAJunkie.com,29,28,2
1240,TJ DeSantis,Sherdog.com,29,28,3
1240,,MMAWeekly.com,29,28,4
1240,,FightMetric.com,29,29,5
1240,Mike Fridley,Sherdog.com,29,28,6
1688,,MMAWeekly.com,29,28,1
1688,,MMAJunkie.com,29,28,2
1688,,Sherdog.com,29,28,3
1689,,MMAJunkie.com,30,27,1
1689,,Sherdog.com,30,27,2
1689,,MMAWeekly.com,30,27,3
1690,,MMAWeekly.com,48,47,1
1690,,MMAJunkie.com,49,46,2
1690,Jordan Breen,Sherdog.com,49,46,3
1690,Lotfi Sariahmed,Sherdog.com,49,46,4
1690,Mike Fridley,Sherdog.com,49,46,5
1242,,Sherdog.com,29,28,1
1248,,MMAWeekly.com,29,28,1
1248,,FightMetric.com,29,28,2
1248,Mike Fridley,Sherdog.com,29,28,3
1248,Jordan Breen,Sherdog.com,29,28,4
1248,TJ DeSantis,Sherdog.com,29,28,5
1248,,MMAJunkie.com,29,28,6
1249,Mike Fridley,Sherdog.com,29,29,1
1249,,FightMetric.com,29,29,2
1249,Jordan Breen,Sherdog.com,30,29,3
1249,,MMAJunkie.com,29,28,4
1249,TJ DeSantis,Sherdog.com,29,28,5
1249,,MMAWeekly.com,29,28,6
1252,,FightMetric.com,30,27,1
1252,TJ DeSantis,Sherdog.com,30,27,2
1252,,MMAWeekly.com,30,26,3
1252,Jordan Breen,Sherdog.com,30,26,4
1252,,MMAJunkie.com,30,26,5
1252,Mike Fridley,Sherdog.com,30,25,6
