id,name,promotion,date,venue,location,event_order
1052,UFC on ESPN+ 25: Anderson vs. Blachowicz 2,UFC,2020-02-15,Santa Ana Star Center,"Rio Rancho, New Mexico, USA",1023
1053,Bellator 239: Ruth vs. Amosov,BELLATOR,2020-02-21,WinStar World Casino,"Thackerville, Oklahoma, USA",1024
1055,UFC on ESPN+ 26: Felder vs. Hooker,UFC,2020-02-22,Spark Arena,"Auckland, New Zealand",1025
1054,Bellator 240: Bellator Dublin,BELLATOR,2020-02-22,3Arena,"Dublin, Ireland",1026
1056,UFC on ESPN+ 27: Benavidez vs. Figueiredo,UFC,2020-02-29,Chartway Arena,"Norfolk, Virginia, USA",1027
1057,Invicta: Phoenix Series 3,INVICTA,2020-03-06,Memorial Hall,"Kansas City, Kansas, USA",1028
1058,CW 112: Cartwright vs. Bilic,CW,2020-03-07,Manchester BEC Arena,"Manchester, England",1029
1059,UFC 248: Adesanya vs. Romero,UFC,2020-03-07,T-Mobile Arena,"Las Vegas, Nevada, USA",1030
1060,UFC on ESPN+ 28: Lee vs. Oliveira,UFC,2020-03-14,Ginasio Nilson Nelson,"Brasilia, Distrito Federal, Brazil",1031
1061,CW 113: Stewart vs. Fabinski,CW,2020-03-21,BEC Arena,"Manchester, England",1032
1062,UFC 249: Ferguson vs. Gaethje,UFC,2020-05-09,VyStar Veterans Memorial Arena,"Jacksonville, Florida, USA",1033
1063,UFC on ESPN+ 29: Smith vs. Teixeira,UFC,2020-05-13,VyStar Veterans Memorial Arena,"Jacksonville, Florida, USA",1034
1064,UFC on ESPN 8: Overeem vs. Harris,UFC,2020-05-16,VyStar Veterans Memorial Arena,"Jacksonville, Florida, USA",1035
1065,UFC on ESPN 9: Woodley vs. Burns,UFC,2020-05-30,UFC Apex,"Las Vegas, Nevada, USA",1036
1066,UFC 250: Nunes vs. Spencer,UFC,2020-06-06,UFC Apex,"Las Vegas, Nevada, USA",1037
1067,UFC on ESPN: Eye vs. Calvillo,UFC,2020-06-13,UFC Apex,"Las Vegas, Nevada, USA",1038
1068,UFC Vegas 3: Blaydes vs. Volkov,UFC,2020-06-20,UFC Apex,"Las Vegas, Nevada, USA",1039
1069,UFC on ESPN 12: Poirier vs. Hooker,UFC,2020-06-27,UFC Apex,"Las Vegas, Nevada, USA",1040
1070,Invicta FC 40: Ducote vs. Lima,INVICTA,2020-07-02,Police Athletic League of KCKS,"Kansas City, Kansas, USA",1041
1071,KSW 53: Reborn,KSW,2020-07-11,Undisclosed Location,"Warsaw, Poland",1042
1072,UFC 251: Usman vs. Masvidal,UFC,2020-07-12,Flash Forum,"Abu Dhabi, United Arab Emirates",1043
1073,UFC on ESPN 13: Kattar vs. Ige,UFC,2020-07-16,Flash Forum,"Abu Dhabi, United Arab Emirates",1044
1074,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,UFC,2020-07-19,Flash Forum,"Abu Dhabi, United Arab Emirates",1045
1075,Bellator 242: Bandejas vs. Pettis,BELLATOR,2020-07-24,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1046
1076,UFC on ESPN 14: Whittaker vs. Till,UFC,2020-07-26,Flash Forum,"Abu Dhabi, United Arab Emirates",1047
1077,Invicta FC 41: Morandin vs. Ruiz,INVICTA,2020-07-30,PAL of KCKS Gym,"Kansas City, Kansas, USA",1048
1078,UFC on ESPN+ 31: Brunson vs. Shahbazyan,UFC,2020-08-01,UFC Apex,"Las Vegas, Nevada, USA",1049
1079,Bellator 243: Chandler vs. Henderson 2,BELLATOR,2020-08-07,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1050
1080,UFC on ESPN+ 32: Lewis vs. Oleinik,UFC,2020-08-08,UFC Apex,"Las Vegas, Nevada, USA",1051
1081,UFC 252: Miocic vs. Cormier 3,UFC,2020-08-15,UFC Apex,"Las Vegas, Nevada, USA",1052
1082,Bellator 244: Bader vs. Nemkov,BELLATOR,2020-08-21,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1053
1083,UFC on ESPN 15: Munhoz vs. Edgar,UFC,2020-08-22,UFC Apex,"Las Vegas, Nevada, USA",1054
1085,UFC on ESPN+ 33: Smith vs. Rakic,UFC,2020-08-29,UFC Apex,"Las Vegas, Nevada, USA",1055
1084,KSW 54: Gamrot vs. Ziolkowski,KSW,2020-08-29,Global Expo,"Warsaw, Poland",1056
1086,UFC on ESPN+ 34: Overeem vs. Sakai,UFC,2020-09-05,UFC Apex,"Las Vegas, Nevada, USA",1057
1087,Bellator 245: Davis vs. Machida II,BELLATOR,2020-09-11,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1058
1088,UFC on ESPN+ 35: Waterson vs. Hill,UFC,2020-09-12,UFC Apex,"Las Vegas, Nevada, USA",1059
1089,Bellator 246: Archuleta vs. Mix,BELLATOR,2020-09-12,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1060
1090,Invicta FC 42: Cummins vs. Zappitella,INVICTA,2020-09-17,PAL of KCKS Gym,"Kansas City, Kansas, USA",1061
1091,UFC on ESPN+ 36: Covington vs. Woodley,UFC,2020-09-19,UFC Apex,"Las Vegas, Nevada, USA",1062
1092,CW 114: Faiddine vs. Shanks,CW,2020-09-24,BEC Arena,"Manchester, England",1063
1094,CW 116: Jones vs. Proctor,CW,2020-09-26,BEC Arena,"Manchester, England",1064
1095,Bellator Milan: Edwards vs. van Steenis,BELLATOR,2020-09-26,Allianz Cloud,"Milan, Italy",1065
1096,UFC 253: Adesanya vs. Costa,UFC,2020-09-27,Flash Forum,"Abu Dhabi, United Arab Emirates",1066
1097,Bellator 247: Jackson vs. Kielholtz,BELLATOR,2020-10-01,Allianz Cloud,"Milan, Italy",1067
1099,UFC on ESPN 16: Holm vs. Aldana,UFC,2020-10-03,Flash Forum,"Abu Dhabi, United Arab Emirates",1068
1098,Bellator Milan 3: Gallagher vs. Ellenor,BELLATOR,2020-10-03,Allianz Cloud,"Milan, Italy",1069
1100,Bellator 248: Bellator Paris,BELLATOR,2020-10-10,AccorHotels Arena,"Paris, France",1070
1101,KSW 55: Askham vs. Khalidov 2,KSW,2020-10-10,Wytwornia Club,"Lodz, Poland",1071
1102,UFC on ESPN+ 37: Moraes vs. Sandhagen,UFC,2020-10-11,Flash Forum,"Abu Dhabi, United Arab Emirates",1072
1103,Bellator 249: Cyborg vs. Blencowe,BELLATOR,2020-10-15,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1073
1104,UFC on ESPN+ 38: Ortega vs. The Korean Zombie,UFC,2020-10-17,Flash Forum,"Abu Dhabi, United Arab Emirates",1074
1105,UFC 254: Khabib vs. Gaethje,UFC,2020-10-24,Flash Forum,"Abu Dhabi, United Arab Emirates",1075
1106,Bellator 250: Mousasi vs. Lima,BELLATOR,2020-10-29,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1076
1107,UFC on ESPN+ 39: Hall vs. Silva,UFC,2020-10-31,UFC Apex,"Las Vegas, Nevada, USA",1077
1108,Bellator 251: Manhoef vs. Anderson,BELLATOR,2020-11-05,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1078
1109,UFC on ESPN+ 40: Santos vs. Teixeira,UFC,2020-11-07,UFC Apex,"Las Vegas, Nevada, USA",1079
1110,Bellator 252: Pitbull vs. Carvalho,BELLATOR,2020-11-12,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1080
1111,KSW 56: Materla vs. Soldic,KSW,2020-11-14,Wytwornia Club,"Lodz, Poland",1081
1112,UFC on ESPN+ 41: Felder vs. dos Anjos,UFC,2020-11-14,,"Las Vegas, Nevada, USA",1082
1113,Bellator 253: Caldwell vs. McKee,BELLATOR,2020-11-19,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1083
1114,Invicta FC 43: King vs. Harrison,INVICTA,2020-11-21,PAL of KCKS Gym,"Kansas City, Kansas, USA",1084
1115,UFC 255: Figueiredo vs. Perez,UFC,2020-11-21,UFC Apex,"Las Vegas, Nevada, USA",1085
1116,UFC on ESPN 18: Smith vs. Clark,UFC,2020-11-28,UFC Apex,"Las Vegas, Nevada, USA",1086
1117,UFC on ESPN 19: Hermansson vs. Vettori,UFC,2020-12-05,UFC Apex,"Las Vegas, Nevada, USA",1087
1118,CW 117: Shanks vs. Hadley,CW,2020-12-10,York Hall,"London, England",1088
1119,Bellator 254: Macfarlane vs. Velasquez,BELLATOR,2020-12-10,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1089
1120,CW 118: The Trilogy Strikes Back 2,CW,2020-12-11,York Hall,"London, England",1090
1121,CW 119: The Trilogy Strikes Back 3,CW,2020-12-12,York Hall,"London, England",1091
1122,UFC 256: Figueiredo vs. Moreno,UFC,2020-12-12,UFC Apex,"Las Vegas, Nevada, USA",1092
1124,UFC on ESPN+ 41: Thompson vs. Neal,UFC,2020-12-19,UFC Apex,"Las Vegas, Nevada, USA",1093
1123,KSW 57: De Fries vs. Kita,KSW,2020-12-19,Wytwornia Club,"Lodz, Poland",1094
1125,UFC on ABC 1: Holloway vs. Kattar,UFC,2021-01-16,Etihad Arena,"Abu Dhabi, United Arab Emirates",1095
1126,UFC on ESPN 20: Chiesa vs. Magny,UFC,2021-01-20,Etihad Arena,"Abu Dhabi, United Arab Emirates",1096
1127,UFC 257: Poirier vs. McGregor 2,UFC,2021-01-23,Etihad Arena,"Abu Dhabi, United Arab Emirates",1097
1128,KSW 58: Parnasse vs. Torres,KSW,2021-01-30,Studio Klubu Wytwornia,"Lodz, Poland",1098
1129,UFC on ESPN+ 42: Overeem vs. Volkov,UFC,2021-02-06,UFC Apex,"Las Vegas, Nevada, USA",1099
1130,UFC 258: Usman vs. Burns,UFC,2021-02-13,UFC Apex,"Las Vegas, Nevada, USA",1100
1131,UFC on ESPN+ 43: Blaydes vs. Lewis,UFC,2021-02-20,UFC Apex,"Las Vegas, Nevada, USA",1101
1132,UFC on ESPN+ 44: Rozenstruik vs. Gane,UFC,2021-02-27,UFC Apex,"Las Vegas, Nevada, USA",1102
1133,UFC 259: Blachowicz vs. Adesanya,UFC,2021-03-06,UFC Apex,"Las Vegas, Nevada, USA",1103
1134,UFC on ESPN+ 45: Edwards vs. Muhammad,UFC,2021-03-13,UFC Apex,"Las Vegas, Nevada, USA",1104
1135,CW 120: Kauppinen vs. Richardson,CW,2021-03-18,York Hall,"London, England",1105
1136,CW 121: Sardari vs. Desmae,CW,2021-03-19,York Hall,"London, England",1106
1138,KSW 59: Fight Code,KSW,2021-03-20,WytwÃ³rnia Club,"Lodz, Poland",1107
1137,CW 122: Charriere vs. Vucenic,CW,2021-03-20,York Hall,"London, England",1108
1139,UFC on ESPN 21: Brunson vs. Holland,UFC,2021-03-20,UFC Apex,"Las Vegas, Nevada, USA",1109
1140,UFC 260: Miocic vs. Ngannou 2,UFC,2021-03-27,UFC Apex,"Las Vegas, Nevada, USA",1110
1141,Bellator 255: Pitbull vs. Sanchez 2,BELLATOR,2021-04-02,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1111
1142,Bellator 256: Bader vs. Machida 2,BELLATOR,2021-04-09,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1112
1143,UFC on ABC 2: Vettori vs. Holland,UFC,2021-04-10,UFC Apex,"Las Vegas, Nevada, USA",1113
1144,Bellator 257: Nemkov vs. Davis 2,BELLATOR,2021-04-16,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1114
1145,UFC on ESPN 22: Whittaker vs. Gastelum,UFC,2021-04-17,UFC Apex,"Las Vegas, Nevada, USA",1115
1196,PFL 1: 2021 Season,PFL,2021-04-23,Ocean Casino Resort,"Atlantic City, New Jersey, USA",1116
1147,UFC 261: Usman vs. Masvidal 2,UFC,2021-04-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, USA",1117
1146,KSW 60: De Fries vs. Narkun 2,KSW,2021-04-24,Wytwornia Club,"Lodz, Poland",1118
1197,PFL 2: 2021 Season,PFL,2021-04-29,Ocean Casino Resort,"Atlantic City, New Jersey, USA",1119
1148,UFC on ESPN 23: Reyes vs. Prochazka,UFC,2021-05-01,UFC Apex,"Las Vegas, Nevada, USA",1120
1198,PFL 3: 2021 Season,PFL,2021-05-06,2021-05-06,"Atlantic City, New Jersey, USA",1121
1149,Bellator 258: Archuleta vs. Pettis,BELLATOR,2021-05-07,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1122
1150,UFC on ESPN 24: Rodriguez vs. Waterson,UFC,2021-05-08,UFC Apex,"Las Vegas, Nevada, USA",1123
1152,UFC 262: Oliveira vs. Chandler,UFC,2021-05-15,Toyota Center,"Houston, Texas, USA",1124
1154,Invicta FC: Rodriguez vs. Torquato,INVICTA,2021-05-21,PAL KC,"Kansas City, Kansas, USA",1125
1153,Bellator 259: Cyborg vs. Smith 2,BELLATOR,2021-05-21,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1126
1155,UFC on ESPN+ 46: Font vs. Garbrandt,UFC,2021-05-22,UFC Apex,"Las Vegas, Nevada, USA",1127
1159,KSW 61: To Fight or Not To Fight,KSW,2021-06-05,Ergo Arena,"Gdansk, Poland",1128
1156,UFC on ESPN+ 47: Rozenstruik vs. Sakai,UFC,2021-06-05,UFC Apex,"Las Vegas, Nevada, USA",1129
1199,PFL 4: 2021 Season,PFL,2021-06-10,Ocean Casino Resort,"Atlantic City, New Jersey, USA",1130
1236,Invicta FC: Phoenix Tournament: Atomweight,INVICTA,2021-06-11,Memorial Hall,"Kansas City, Kansas, USA",1131
1157,Bellator 260: Lima vs. Amosov,BELLATOR,2021-06-11,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1132
1158,UFC 263: Adesanya vs. Vettori 2,UFC,2021-06-12,Gila River Arena,"Glendale, Arizona, USA",1133
1200,PFL 5: 2021 Season,PFL,2021-06-17,Ocean Casino Resort,"Atlantic City, New Jersey, USA",1134
1160,UFC on ESPN 25: Jung vs. Ige,UFC,2021-06-19,UFC Apex,"Las Vegas, Nevada, USA",1135
1161,CW 123: Cage Warriors 123,CW,2021-06-24,York Hall,"London, England",1136
1162,Bellator 261: Johnson vs. Moldavsky,BELLATOR,2021-06-25,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1137
1164,CW 124: Cage Warriors 124,CW,2021-06-25,York Hall,"London, England",1138
1201,PFL 6: 2021 Season,PFL,2021-06-25,Ocean Casino Resort,"Atlantic City, New Jersey, USA",1139
1163,UFC on ESPN+ 48: Gane vs. Volkov,UFC,2021-06-26,UFC Apex,"Las Vegas, Nevada, USA",1140
1165,CW 125: Cage Warriors 125,CW,2021-06-26,York Hall,"London, England",1141
1166,UFC 264: Poirier vs. McGregor 3,UFC,2021-07-10,T-Mobile Arena,"Las Vegas, Nevada, USA",1142
1168,Bellator 262: Velasquez vs. Kielholtz,BELLATOR,2021-07-16,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1143
1169,UFC on ESPN 26: Makhachev vs. Moises,UFC,2021-07-16,UFC Apex,"Las Vegas, Nevada, USA",1144
1204,KSW 62: Kolecki vs. Szostak,KSW,2021-07-17,ATM Studio,"Warsaw, Poland",1145
1177,UFC on ESPN 27: Sandhagen vs. Dillashaw,UFC,2021-07-24,UFC Apex,"Las Vegas, Nevada, USA",1146
1182,Bellator 263: Pitbull vs. McKee,BELLATOR,2021-07-31,The Forum,"Inglewood, California, USA",1147
1183,UFC on ESPN 28: Hall vs. Strickland,UFC,2021-07-31,UFC Apex,"Las Vegas, Nevada, USA",1148
1184,CW 126: Stewart vs. Poppie,CW,2021-08-01,Humphreys by the Bay,"San Diego, California, USA",1149
1189,UFC 265: Lewis vs. Gane,UFC,2021-08-07,Toyota Center,"Houston, Texas, USA",1150
1202,Bellator 264: Mousasi vs. Salter,BELLATOR,2021-08-13,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1151
1203,PFL 7: 2021 Season,PFL,2021-08-13,Seminole Hard Rock Hotel & Casino Hollywood,"Hollywood, Florida, USA",1152
1205,PFL 8: 2021 Season,PFL,2021-08-19,Seminole Hard Rock Hotel & Casino Hollywood,"Hollywood, Florida, USA",1153
1206,Bellator 265: Kongo vs. Kharitonov,BELLATOR,2021-08-20,Sanford Pentagon,"Sioux Falls, South Dakota, USA",1154
1207,UFC on ESPN 29: Cannonier vs. Gastelum,UFC,2021-08-21,UFC Apex,"Las Vegas, Nevada, USA",1155
1209,Invicta FC 44: A New Era,INVICTA,2021-08-27,Memorial Hall,"Kansas City, Kansas, USA",1156
1208,PFL 9: 2021 Season,PFL,2021-08-27,Seminole Hard Rock Hotel & Casino Hollywood,"Hollywood, Florida, USA",1157
1210,UFC on ESPN 30: Barboza vs. Chikadze,UFC,2021-08-28,UFC Apex,"Las Vegas, Nevada, USA",1158
1212,KSW 63: Soldic vs. Kincl,KSW,2021-09-04,ATM Studio,"Warsaw, Poland",1159
1211,UFC on ESPN+ 49: Brunson vs. Till,UFC,2021-09-04,UFC Apex,"Las Vegas, Nevada, USA",1160
1213,UFC on ESPN+ 50: Smith vs. Spann,UFC,2021-09-18,UFC Apex,"Las Vegas, Nevada, USA",1161
1214,Bellator 266: Davis vs. Romero,BELLATOR,2021-09-18,SAP Center,"San Jose, California, USA",1162
1215,UFC 266: Volkanovski vs. Ortega,UFC,2021-09-25,T-Mobile Arena,"Las Vegas, Nevada, USA",1163
1216,CW 127: Wooding vs. Fletcher,CW,2021-09-30,York Hall,"London, England",1164
1217,Bellator 267: Lima vs. MVP 2,BELLATOR,2021-10-01,Wembley Arena,"London, England",1165
1218,CW 128: Hughes vs. Charriere,CW,2021-10-01,York Hall,"London, England",1166
1220,UFC on ESPN+ 51: Santos vs. Walker,UFC,2021-10-02,UFC Apex,"Las Vegas, Nevada, USA",1167
1219,CW 129: Creasey vs. Shanks,CW,2021-10-02,York Hall,"London, England",1168
1221,UFC on ESPN+ 52: Dern vs. Rodriguez,UFC,2021-10-09,UFC Apex,"Las Vegas, Nevada, USA",1169
1223,Bellator 268: Nemkov vs. Anglickas,BELLATOR,2021-10-16,Footprint Center,"Phoenix, Arizona, USA",1170
1222,UFC on ESPN+ 53: Ladd vs. Dumont,UFC,2021-10-16,UFC Apex,"Las Vegas, Nevada, USA",1171
1225,CW 130: Carlyle vs. Ambrose,CW,2021-10-17,Humphreys by the Bay,"San Diego, California, USA",1172
1247,KSW 64: Przybysz vs. Santos,KSW,2021-10-23,Atlas Arena,"Lodz, Poland",1173
1224,Bellator 269: Fedor vs. Johnson,BELLATOR,2021-10-23,VTB Arena,"Moscow, Russia",1174
1226,UFC on ESPN+ 54: Costa vs. Vettori,UFC,2021-10-23,UFC Apex,"Las Vegas, Nevada, USA",1175
1227,PFL 10: 2021 Season,PFL,2021-10-27,Seminole Hard Rock Hotel & Casino Hollywood,"Hollywood, Florida, USA",1176
1228,UFC 267: Blachowicz vs. Teixeira,UFC,2021-10-30,Etihad Arena,"Abu Dhabi, United Arab Emirates",1177
1229,Bellator 270: Queally vs. Pitbull 2,BELLATOR,2021-11-05,3Arena,"Dublin, Ireland",1178
1230,UFC 268: Usman vs. Covington 2,UFC,2021-11-06,Madison Square Garden,"New York, New York, USA",1179
1231,Bellator 271: Cyborg vs. Kavanagh,BELLATOR,2021-11-12,Seminole Hard Rock Hotel & Casino Hollywood,"Hollywood, Florida, USA",1180
1232,UFC on ESPN+ 55: Holloway vs. Rodriguez,UFC,2021-11-13,UFC Apex,"Las Vegas, Nevada, USA",1181
1233,UFC on ESPN+ 56: Vieira vs. Tate,UFC,2021-11-20,UFC Apex,"Las Vegas, Nevada, USA",1182
1234,Bellator 272: Pettis vs. Horiguchi,BELLATOR,2021-12-03,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1183
1235,UFC on ESPN 31: Font vs. Aldo,UFC,2021-12-04,UFC Apex,"Las Vegas, Nevada, USA",1184
1237,CW 131: Cage Warriors 131,CW,2021-12-10,York Hall,"London, England",1185
1239,UFC 269: Oliveira vs. Poirier,UFC,2021-12-11,T-Mobile Arena,"Las Vegas, Nevada, USA",1186
1238,CW 132: Cage Warriors 132,CW,2021-12-11,York Hall,"London, England",1187
1240,UFC on ESPN+ 57: Lewis vs. Daukaus,UFC,2021-12-18,UFC Apex,"Las Vegas, Nevada, USA",1188
1248,KSW 65: Khalidov vs. Soldic,KSW,2021-12-18,Arena Gliwice,"Gliwice, Poland",1189
1242,Invicta FC 45: Zappitella vs. Delboni II,INVICTA,2022-01-12,PAL of KCKS Gym,"Kansas City, Kansas, USA",1190
1243,KSW 66: Ziolkowski vs. Mankowski,KSW,2022-01-15,Netto Arena,"Szczecin, Poland",1191
1244,UFC on ESPN 32: Kattar vs. Chikadze,UFC,2022-01-15,UFC Apex,"Las Vegas, Nevada, USA",1192
1245,UFC 270: Ngannou vs. Gane,UFC,2022-01-22,Honda Center,"Anaheim, California, USA",1193
1246,Bellator 273: Bader vs. Moldavsky,BELLATOR,2022-01-29,Footprint Center,"Phoenix, Arizona, USA",1194
1249,UFC on ESPN+ 58: Hermansson vs. Strickland,UFC,2022-02-05,UFC Apex,"Las Vegas, Nevada, USA",1195
1250,UFC 271: Adesanya vs. Whittaker 2,UFC,2022-02-12,Toyota Center,"Houston, Texas, USA",1196
1251,UFC on ESPN+ 59: Walker vs. Hill,UFC,2022-02-19,UFC Apex,"Las Vegas, Nevada, USA",1197
1252,Bellator 274: Gracie vs. Storley,BELLATOR,2022-02-19,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1198
1253,Bellator 275: Mousasi vs. Vanderford,BELLATOR,2022-02-25,3Arena,"Dublin, Ireland",1199
1254,UFC on ESPN+ 60: Makhachev vs. Green,UFC,2022-02-26,UFC Apex,"Las Vegas, Nevada, USA",1200
1255,KSW 67: De Fries vs. Stosic,KSW,2022-02-26,Global Expo,"Warsaw, Poland",1201
1257,CW 133: Cage Warriors 133,CW,2022-03-04,Del Mar Arena,"San Diego, California, USA",1202
1256,UFC 272: Covington vs. Masvidal,UFC,2022-03-05,T-Mobile Arena,"Las Vegas, Nevada, USA",1203
1258,Invicta FC 46: Rodriguez vs. Torquato II,INVICTA,2022-03-09,Memorial Hall,"Kansas City, Kansas, USA",1204
1259,UFC on ESPN+ 61: Santos vs. Ankalaev,UFC,2022-03-12,UFC Apex,"Las Vegas, Nevada, USA",1205
1260,Bellator 276: Borics vs. Burnell,BELLATOR,2022-03-12,Family Arena,"St. Louis, Missouri, USA",1206
1261,CW 134: Cage Warriors 134,CW,2022-03-18,O2 Arena,"London, England",1207
1262,UFC on ESPN+ 62: Volkov vs. Aspinall,UFC,2022-03-19,The O2 Arena,"London, England",1208
1263,KSW 68: Parnasse vs. Rutkowski,KSW,2022-03-19,Radom Sports Center,"Radom, Poland",1209
1264,UFC on ESPN+ 63: Blaydes vs. Daukaus,UFC,2022-03-26,Nationwide Arena,"Columbus, Ohio, USA",1210
1265,CW 135: Cage Warriors 135,CW,2022-04-01,BEC Arena,"Manchester, England",1211
1267,UFC 273: Volkanovski vs. The Korean Zombie,UFC,2022-04-09,VyStar Veterans Memorial Arena,"Jacks, Florida, USA",1212
1268,Bellator 277: McKee vs. Pitbull 2,BELLATOR,2022-04-15,SAP Center,"San Jose, California, USA",1213
1269,UFC on ESPN 34: Luque vs. Muhammad 2,UFC,2022-04-16,UFC Apex,"Las Vegas, Nevada, USA",1214
1270,PFL 1: 2022 Season,PFL,2022-04-21,Esports Stadium Arlington,"Arlington, Texas, USA",1215
1271,Bellator 278: Velasquez vs. Carmouche,BELLATOR,2022-04-22,Neal S. Blaisdell Arena,"Honolulu, Hawaii, USA",1216
1272,KSW 69: Przybysz vs. Martins,KSW,2022-04-23,ATM Studio,"Warsaw, Poland",1217
1273,UFC on ESPN+ 63: Lemos vs. Andrade,UFC,2022-04-23,UFC Apex,"Las, Nevada, USA",1218
1274,Bellator 279: Cyborg vs. Blencowe 2,BELLATOR,2022-04-23,Neal S. Blaisdell Arena,"Hono, Hawaii, USA",1219
1275,PFL 2: 2022 Season,PFL,2022-04-28,Esports Stadium Arlington,"Arlington, Texas, USA",1220
1276,UFC on ESPN 35: Font vs. Vera,UFC,2022-04-30,UFC Apex,"Las Vegas, Nevada, USA",1221
1278,Bellator 280: Bader vs. Kongo 2,BELLATOR,2022-05-06,AccorHotels Arena,"Paris, France",1222
1279,PFL 3: 2022 Season,PFL,2022-05-06,Esports Stadium Arlington,"Arlington, Texas, USA",1223
1280,UFC 274: Oliveira vs. Gaethje,UFC,2022-05-07,Footprint Center,"Phoenix, Arizona, USA",1224
1282,Bellator 281: MVP vs. Storley,BELLATOR,2022-05-13,SSE Arena,"London, England",1225
1283,UFC on ESPN 36: Blachowicz vs. Rakic,UFC,2022-05-14,UFC,"Las Vegas, Nevada, USA",1226
1284,UFC on ESPN+ 64: Holm vs. Vieira,UFC,2022-05-21,UFC,"Las Vegas, Nevada, USA",1227
1285,CW 137: Cage Warriors 137,CW,2022-05-27,Charter Hall,"Colchester, England",1228
1287,KSW 70: Pudzianowski vs. Materla,KSW,2022-05-28,Atlas Arena,"Lod, Poland",1229
1286,CW 138: Cage Warriors 138,CW,2022-05-28,Charter,"Colchester, England",1230
1288,UFC on ESPN+ 65: Volkov vs. Rozenstruik,UFC,2022-06-04,UFC Apex,"Las Vegas, Nevada, USA",1231
1290,CW 139: Cage Warriors 139,CW,2022-06-10,Humphreys by the Bay,"San Diego, California, USA",1232
1289,UFC 275: Teixeira vs. Prochazka,UFC,2022-06-12,Singapore Indoor Stadium,"Kallang, Singapore",1233
1291,PFL 4: 2022 Season,PFL,2022-06-17,Overtime Elite Arena,"Atlanta, Georgia, USA",1234
1293,KSW 71: Ziolkowski vs. Rajewski,KSW,2022-06-18,Arena Torun,"Torun, Poland",1235
1292,UFC on ESPN 37: Kattar vs. Emmett,UFC,2022-06-18,Moody Center,"Austin, Texas, USA",1236
1294,Bellator 282: Mousasi vs. Eblen,BELLATOR,2022-06-24,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1237
1295,PFL 5: 2022 Season,PFL,2022-06-24,Overtime Elite Arena,"Atlanta, Georgia, USA",1238
1297,UFC on ESPN 38: Tsarukyan vs. Gamrot,UFC,2022-06-25,UFC Apex,"Las Vegas, Nevada, USA",1239
1296,CW 140: Cage Warriors 140,CW,2022-06-25,SSE Arena,"Belfast, Northern Ireland",1240
1298,PFL 6: 2022 Season,PFL,2022-07-01,Overtime Elite Arena,"Atlanta, Georgia, USA",1241
1299,UFC 276: Adesanya vs. Cannonier,UFC,2022-07-02,T-Mobile Arena,"Las Vegas, Nevada, USA",1242
1300,UFC on ESPN 39: dos Anjos vs. Fiziev,UFC,2022-07-09,UFC Apex,"Las Vegas, Nevada, USA",1243
1301,UFC on ABC 3: Ortega vs. Rodriguez,UFC,2022-07-16,UBS Arena,"Elmont, New York, USA",1244
1302,Invicta FC 48: Tennant vs. Rubin,INVICTA,2022-07-20,ReelWorks Denver,"Denver, Colorado, USA",1245
1304,Bellator 283: Lima vs. Jackson,BELLATOR,2022-07-22,Emerald Queen Casino and Hotel,"Tacoma, Washington, USA",1246
1303,CW 141: Cage Warriors 141,CW,2022-07-22,The O2 Arena,"London, England",1247
1306,KSW 72: Romanowski vs. Grzebyk,KSW,2022-07-23,Amfiteatr Kadzielnia,"Kielce, Poland",1248
1305,UFC on ESPN+ 66: Blaydes vs. Aspinall,UFC,2022-07-23,The O2 Arena,"London, England",1249
1307,UFC 277: Pena vs. Nunes 2,UFC,2022-07-30,American Airlines Center,"Dallas, Texas, USA",1250
1308,PFL 7: 2022 Season,PFL,2022-08-05,Hulu Theater,"New York City, New York, USA",1251
1310,Bellator 284: Gracie vs. Yamauchi,BELLATOR,2022-08-12,Sanford Pentagon,"Sioux Falls, South Dakota, USA",1252
1313,UFC on ESPN 41: Vera vs. Cruz,UFC,2022-08-13,Pechanga Arena,"San Diego, California, USA",1253
