id,name,promotion,date,venue,location,event_order
675,WSOF 26: Palmer vs. Almeida,WSOF,2015-12-18,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, USA",650
674,UFC on Fox 17: dos Anjos vs. Cerrone 2,UFC,2015-12-19,Amway Center,"Orlando, Florida, USA",651
676,UFC 195: Lawler vs. Condit,UFC,2016-01-02,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",652
814,Invicta FC 15: Cyborg vs. Ibragimova,INVICTA,2016-01-16,OC Fair & Event Center,"Costa Mesa, California, USA",653
677,UFC Fight Night 81: Dillashaw vs. Cruz,UFC,2016-01-17,TD Garden,"Boston, Massachusetts, USA",654
678,WSOF 27: Future Champs,WSOF,2016-01-23,FedExForum,"Memphis, Tennessee, USA",655
679,Bellator 148: Daley vs. Uhrich,BELLATOR,2016-01-29,Save Mart Center,"Fresno, California, USA",656
680,UFC on Fox 18: Johnson vs. Bader,UFC,2016-01-30,Prudential Center,"Newark, New Jersey, USA",657
681,UFC Fight Night 82: Hendricks vs. Thompson,UFC,2016-02-06,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",658
682,Bellator 149: Shamrock vs. Gracie,BELLATOR,2016-02-19,Toyota Center,"Houston, Texas, USA",659
683,WSOF 28: Moraes vs. Barajas,WSOF,2016-02-20,Next Level Sports Complex,"Garden Grove, California, USA",660
684,UFC Fight Night 83: Cowboy vs. Cowboy,UFC,2016-02-21,Consol Energy Center,"Pittsburgh, Pennsylvania, USA",661
685,Bellator 150: Kongo vs. Queiroz,BELLATOR,2016-02-26,Kansas Star Casino,"Mulvane, Kansas, USA",662
686,UFC Fight Night 84: Silva vs. Bisping,UFC,2016-02-27,The O2 Arena,"London, England",663
687,Bellator 151: Warren vs. Caldwell,BELLATOR,2016-03-04,WinStar World Casino,"Thackerville, Oklahoma, USA",664
688,KSW 34: New Order,KSW,2016-03-05,Torwar Hall,"Warsaw, Poland",665
689,UFC 196: McGregor vs. Diaz,UFC,2016-03-05,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",666
815,Invicta FC 16: Hamasaki vs. Brown,INVICTA,2016-03-11,Trinidad Pavilion,"Las Vegas, Nevada, USA",667
690,WSOF 29: Gaethje vs. Foster,WSOF,2016-03-12,Bank of Colorado Arena,"Greeley, Colorado, USA",668
691,UFC Fight Night 85: Hunt vs. Mir,UFC,2016-03-20,Brisbane Entertainment Centre,"Brisbane, Australia",669
692,WSOF 30: Branch vs. Starks,WSOF,2016-04-02,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",670
693,UFC Fight Night 86: Rothwell vs. dos Santos,UFC,2016-04-10,Arena Zagreb,"Zagreb, Croatia",671
694,CWFC 75: Hermansson vs. Carlos,CW,2016-04-15,Camden Centre,"London, England",672
696,UFC on Fox 19: Teixeira vs. Evans,UFC,2016-04-16,Amalie Arena,"Tampa, Florida, USA",673
695,Bellator 152: Pitbull vs. Souza,BELLATOR,2016-04-16,Pala Alpitour,"Torino, Italy",674
697,Bellator 153: Koreshkov vs. Henderson,BELLATOR,2016-04-22,Mohegan Sun Arena,"Uncasville, Connecticut, USA",675
698,UFC 197: Jones vs. Saint Preux,UFC,2016-04-23,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",676
816,Invicta FC 17: Evinger vs. Schneider,INVICTA,2016-05-07,OC Fair & Event Center,"Costa Mesa, California, USA",677
699,UFC Fight Night 87: Overeem vs. Arlovski,UFC,2016-05-08,Ahoy Rotterdam,"Rotterdam, Netherlands",678
701,UFC 198: Werdum vs. Miocic,UFC,2016-05-14,Arena da Baixada,"Curitiba, Brazil",679
700,Bellator 154: Davis vs. King Mo,BELLATOR,2016-05-14,SAP Center,"San Jose, California, USA",680
702,Bellator 155: Carvalho vs Manhoef,BELLATOR,2016-05-20,CenturyLink Arena,"Boise, Idaho, USA",681
703,KSW 35: Khalidov vs. Karaoglu,KSW,2016-05-27,Ergo Arena,"Sopot/Gdańsk, Poland",682
704,UFC Fight Night 88: Almeida vs. Garbrandt,UFC,2016-05-29,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",683
705,UFC 199: Rockhold vs. Bisping 2,UFC,2016-06-04,The Forum,"Inglewood, California, USA",684
706,CWFC 76: Arish vs. Marshman,CW,2016-06-04,Newport Centre,"Newport, Wales",685
708,WSOF 31: Ivanov vs. Copeland,WSOF,2016-06-17,Foxwoods Resort Casino,"Mashantucket, Connecticut, USA",686
709,Bellator 156: Galvao vs. Dantas,BELLATOR,2016-06-17,Save Mart Center,"Fresno, California, USA",687
707,EFN 50: Emelianenko vs. Maldonado,BOX,2016-06-17,Sibur Arena,"Saint Petersburg, Russia",688
710,UFC Fight Night 89: MacDonald vs. Thompson,UFC,2016-06-18,TD Place Arena,"Ottawa, Ontario, Canada",689
711,Bellator 157: Dynamite 2,BELLATOR,2016-06-24,Scottrade Center,"St. Louis, Missouri, USA",690
712,UFC Fight Night 90: dos Anjos vs. Alvarez,UFC,2016-07-07,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",691
714,TUF 23 Finale: Team Joanna vs. Team Cláudia Finale,UFC,2016-07-08,MGM Grand Garden Arena,"Las Vegas, Nevada, USA",692
713,CWFC 77: Marshman vs. Jacquelin,CW,2016-07-08,Camden Centre,"London, England",693
715,UFC 200: Tate vs. Nunes,UFC,2016-07-09,T-Mobile Arena,"Las Vegas, Nevada, USA",694
716,UFC Fight Night 91: McDonald vs. Lineker,UFC,2016-07-13,Denny Sanford Premier Center,"Sioux Falls, South Dakota, USA",695
717,Bellator 158: Daley vs. Lima,BELLATOR,2016-07-16,O2 Arena,"London, England",696
718,Bellator 159: Caldwell vs. Taimanglo,BELLATOR,2016-07-22,Kansas Star Arena,"Mulvane, Kansas, USA",697
719,UFC on Fox 20: Holm vs. Shevchenko,UFC,2016-07-23,United Center,"Chicago, Illinois, USA",698
820,Invicta FC 18: Grasso vs. Esquibel,INVICTA,2016-07-29,Scottish Rite Temple,"Kansas City, Missouri, USA",699
720,WSOF 32: Moraes vs. Hill 2,WSOF,2016-07-30,Xfinity Arena,"Everett, Washington, USA",700
721,UFC 201: Lawler vs. Woodley,UFC,2016-07-30,Philips Arena,"Atlanta, Georgia, USA",701
722,UFC Fight Night 92: Rodríguez vs. Caceres,UFC,2016-08-06,Vivint Smart Home Arena,"Salt Lake City, Utah, USA",702
723,UFC 202: Diaz vs. McGregor 2,UFC,2016-08-20,T-Mobile Arena,"Las Vegas, Nevada, USA",703
724,Bellator 160: Henderson vs. Pitbull,BELLATOR,2016-08-26,Honda Center,"Anaheim, California, USA",704
725,UFC on Fox 21: Maia vs. Condit,UFC,2016-08-27,Rogers Arena,"Vancouver, British Columbia, Canada",705
726,UFC Fight Night 93: Arlovski vs. Barnett,UFC,2016-09-03,Barclaycard Arena,"Hamburg, Germany",706
727,UFC 203: Miocic vs. Overeem,UFC,2016-09-10,Quicken Loans Arena,"Cleveland, Ohio, USA",707
728,CWFC 78: Fishgold vs. Ponet,CW,2016-09-10,Echo Arena,"Liverpool, England",708
729,Bellator 161: Kongo vs. Johnson,BELLATOR,2016-09-16,H-E-B Center at Cedar Park,"Cedar Park, Texas, USA",709
730,UFC Fight Night 94: Poirier vs. Johnson,UFC,2016-09-17,State Farm Arena,"Hidalgo, Texas, USA",710
821,Invicta FC 19: Maia vs. Modafferi,INVICTA,2016-09-23,Scottish Rite Temple,"Kansas City, Missouri, USA",711
731,UFC Fight Night 95: Cyborg vs. Lansberg,UFC,2016-09-24,Nilson Nelson Gymnasium,"Brasília, Brazil",712
732,KSW 36: Materla vs. Palhares,KSW,2016-10-01,CRS Hall Zielona Gora,"Zielona Gora, Poland",713
733,UFC Fight Night 96: Lineker vs. Dodson,UFC,2016-10-01,Moda Center,"Portland, Oregon, USA",714
736,WSOF 33: Branch vs. Magalhães,WSOF,2016-10-07,Municipal Auditorium,"Kansas City, Missouri, USA",715
735,UFC 204: Bisping vs. Henderson 2,UFC,2016-10-08,Manchester Arena,"Manchester, England",716
737,CWFC 79: Svensson vs. Clist,CW,2016-10-15,Newport Centre,"Newport, Wales",717
738,Bellator 162: Shlemenko vs. Grove,BELLATOR,2016-10-21,FedEx Forum,"Memphis, Tennessee, USA",718
739,Bellator 163: McGeary vs. Davis,BELLATOR,2016-11-04,Mohegan Sun Arena,"Uncasville, Connecticut, USA",719
740,TUF Latin America 3 Finale: dos Anjos vs. Ferguson,UFC,2016-11-05,Mexico City Arena,"Mexico City, Mexico",720
742,Bellator 164: Koreshkov vs. Lima,BELLATOR,2016-11-11,Menora Mivtachim Arena,"Menora Mivtachim Arena, Israel",721
741,Cage Warriors Unplugged: Pimblett vs. Erosa,CW,2016-11-12,BT Sport Studios,"London, England",722
743,UFC 205: Alvarez vs. McGregor,UFC,2016-11-12,Madison Square Garden,"New York, New York, USA",723
760,Invicta FC 20: Evinger vs. Kunitskaya,INVICTA,2016-11-18,Scottish Rite Temple,"Kansas City, Missouri, USA",724
744,UFC Fight Night 99: Mousasi vs. Hall 2,UFC,2016-11-19,The SSE Arena,"Belfast, Northern Ireland",725
746,Bellator 165: Chandler vs. Henderson,BELLATOR,2016-11-19,SAP Center,"San Jose, California, USA",726
745,UFC Fight Night 100: Bader vs. Nogueira 2,UFC,2016-11-19,Ginásio do Ibirapuera,"São Paulo, Brazil",727
748,UFC Fight Night 101: Whittaker vs. Brunson,UFC,2016-11-27,Rod Laver Arena,"Melbourne, Australia",728
749,Bellator 166: Dantas vs. Warren 2,BELLATOR,2016-12-02,WinStar World Casino,"Thackerville, Oklahoma, USA",729
