bout_id,fighter_last_name,ko_tko_percentage,submission_percentage,decision_percentage,overall_percentage,num_picks
49057-ufc-146-dan-the-outlaw-hardy-vs-duane-bang-ludwig,Ludwig,40.9,2.4,56.7,35.0,1444
49057-ufc-146-dan-the-outlaw-hardy-vs-duane-bang-ludwig,Hardy,37.4,3.9,58.7,65.0,1444
48229-ufc-146-cb-the-doberman-dollaway-vs-jason-mayhem-miller,Miller,3.5,60.9,35.6,83.0,1465
48229-ufc-146-cb-the-doberman-dollaway-vs-jason-mayhem-miller,Dollaway,13.8,8.9,77.2,17.0,1465
56685-ufc-146-jamie-c-4-varner-vs-edson-junior-barboza,Barboza,59.6,3.7,36.7,93.0,1409
56685-ufc-146-jamie-c-4-varner-vs-edson-junior-barboza,Varner,22.9,8.3,68.8,7.0,1409
49064-ufc-146-darren-the-damage-elkins-vs-diego-cear-brando,Brandão,63.1,19.2,17.6,87.0,1399
49064-ufc-146-darren-the-damage-elkins-vs-diego-cear-brando,Elkins,14.8,3.8,81.4,13.0,1399
58182-ufc-146-stefan-skyscraper-struve-vs-lavar-big-johnson,Johnson,97.9,0.9,1.2,50.0,1344
58182-ufc-146-stefan-skyscraper-struve-vs-lavar-big-johnson,Struve,7.7,88.6,3.8,50.0,1344
55821-ufc-146-stipe-miocic-vs-shane-del-rosario,Del Rosario,34.4,27.5,38.1,40.0,1373
55821-ufc-146-stipe-miocic-vs-shane-del-rosario,Miocic,59.3,2.2,38.5,60.0,1373
56686-ufc-146-roy-big-country-nelson-vs-dave-pee-wee-herman,Nelson,42.4,14.2,43.4,83.0,1441
56686-ufc-146-roy-big-country-nelson-vs-dave-pee-wee-herman,Herman,14.9,1.7,83.5,17.0,1441
55532-ufc-146-cain-velasquez-vs-antnio-bigfoot-silva,Silva,69.0,9.5,21.6,8.0,1492
55532-ufc-146-cain-velasquez-vs-antnio-bigfoot-silva,Velasquez,80.8,1.0,18.3,92.0,1492
55499-ufc-146-junior-cigano-dos-santos-vs-frank-mir,Mir,10.9,86.1,3.0,14.0,1515
55499-ufc-146-junior-cigano-dos-santos-vs-frank-mir,dos Santos,97.4,0.5,2.0,86.0,1515
58859-the-ultimate-fighter-15-finale-erik-goyito-perez-vs-john-prince-albert,Albert,57.8,10.3,31.9,90.0,785
58859-the-ultimate-fighter-15-finale-erik-goyito-perez-vs-john-prince-albert,Perez,12.7,27.9,59.5,10.0,785
58972-the-ultimate-fighter-15-finale-joe-proctor-vs-jeremy-larsen,Larsen,13.2,13.2,73.6,7.0,777
58972-the-ultimate-fighter-15-finale-joe-proctor-vs-jeremy-larsen,Proctor,7.5,66.4,26.1,93.0,777
58863-the-ultimate-fighter-15-finale-sam-sicilia-vs-cristiano-marcello,Sicilia,77.3,1.6,21.1,65.0,802
58863-the-ultimate-fighter-15-finale-sam-sicilia-vs-cristiano-marcello,Marcello,8.1,80.6,11.4,35.0,802
58861-the-ultimate-fighter-15-finale-myles-the-fury-jury-vs-chris-the-so-cal-kid-saunders,Saunders,27.6,5.7,66.7,25.0,785
58861-the-ultimate-fighter-15-finale-myles-the-fury-jury-vs-chris-the-so-cal-kid-saunders,Jury,9.5,10.9,79.6,75.0,785
58862-the-ultimate-fighter-15-finale-detroit-superstar-daron-cruickshank-vs-chris-badboy-tickle,Tickle,74.0,5.0,21.0,13.0,794
58862-the-ultimate-fighter-15-finale-detroit-superstar-daron-cruickshank-vs-chris-badboy-tickle,Cruickshank,32.3,22.9,44.8,87.0,794
58860-the-ultimate-fighter-15-finale-justin-the-american-kid-lawrence-vs-john-the-potter-cofer,Cofer,26.3,22.5,51.2,10.0,820
58860-the-ultimate-fighter-15-finale-justin-the-american-kid-lawrence-vs-john-the-potter-cofer,Lawrence,78.0,2.1,19.9,90.0,820
54342-the-ultimate-fighter-15-finale-max-blessed-holloway-vs-thrilling-pat-schilling,Schilling,13.6,39.7,46.7,25.0,824
54342-the-ultimate-fighter-15-finale-max-blessed-holloway-vs-thrilling-pat-schilling,Holloway,23.5,5.6,70.9,75.0,824
54341-the-ultimate-fighter-15-finale-charles-do-bronx-oliveira-vs-jonathan-brookins,Brookins,11.7,14.7,73.7,29.0,969
54341-the-ultimate-fighter-15-finale-charles-do-bronx-oliveira-vs-jonathan-brookins,Oliveira,9.0,57.1,34.0,71.0,969
59106-the-ultimate-fighter-15-finale-mike-maverick-chiesa-vs-ragin-al-iaquinta,Iaquinta,44.4,1.7,53.8,69.0,855
59106-the-ultimate-fighter-15-finale-mike-maverick-chiesa-vs-ragin-al-iaquinta,Chiesa,11.2,36.5,52.3,31.0,855
52074-the-ultimate-fighter-15-finale-martin-hitman-kampmann-vs-jake-the-juggernaut-ellenberger,Kampmann,10.9,39.5,49.6,26.0,1018
52074-the-ultimate-fighter-15-finale-martin-hitman-kampmann-vs-jake-the-juggernaut-ellenberger,Ellenberger,55.2,0.5,44.3,74.0,1018
54286-ufc-on-fx-3-sean-punisher-pierson-vs-jake-hitman-hecht,Pierson,24.3,6.5,69.1,27.0,876
54286-ufc-on-fx-3-sean-punisher-pierson-vs-jake-hitman-hecht,Hecht,55.2,5.1,39.7,73.0,876
52216-ufc-on-fx-3-henry-sicario-martinez-vs-bernardo-trekko-magalhes,Magalhães,15.3,34.0,50.7,18.0,861
52216-ufc-on-fx-3-henry-sicario-martinez-vs-bernardo-trekko-magalhes,Martinez,40.1,3.5,56.5,82.0,861
51915-ufc-on-fx-3-buddy-roberts-vs-caio-hellboy-magalhes,Magalhães,14.6,71.8,13.6,58.0,837
51915-ufc-on-fx-3-buddy-roberts-vs-caio-hellboy-magalhes,Roberts,23.1,10.1,66.9,42.0,837
54317-ufc-on-fx-3-tim-the-dirty-bird-means-vs-justin-j-bomb-salas,Means,27.4,4.6,68.0,79.0,843
54317-ufc-on-fx-3-tim-the-dirty-bird-means-vs-justin-j-bomb-salas,Salas,17.2,4.6,78.2,21.0,843
51914-ufc-on-fx-3-dustin-the-disciple-pague-vs-jared-jackhammer-papazian,Papazian,30.0,7.8,62.2,76.0,886
51914-ufc-on-fx-3-dustin-the-disciple-pague-vs-jared-jackhammer-papazian,Pague,20.0,23.0,57.0,24.0,886
52753-ufc-on-fx-3-matt-the-real-one-grice-vs-leonard-bad-boy-garcia,Grice,14.1,12.0,73.8,20.0,959
52753-ufc-on-fx-3-matt-the-real-one-grice-vs-leonard-bad-boy-garcia,Garcia,28.2,5.9,65.9,80.0,959
52553-ufc-on-fx-3-seth-polish-pistola-baczynski-vs-lance-benoist,Baczynski,17.8,33.7,48.5,76.0,886
52553-ufc-on-fx-3-seth-polish-pistola-baczynski-vs-lance-benoist,Benoist,25.4,19.1,55.5,24.0,886
51853-ufc-on-fx-3-mike-pierce-vs-carlos-eduardo-ta-danado-rocha,Rocha,7.1,67.8,25.1,23.0,957
51853-ufc-on-fx-3-mike-pierce-vs-carlos-eduardo-ta-danado-rocha,Pierce,16.1,2.1,81.8,77.0,957
52248-ufc-on-fx-3-eddie-wineland-vs-scott-young-guns-jorgensen,Jorgensen,10.5,5.6,83.9,87.0,1041
52248-ufc-on-fx-3-eddie-wineland-vs-scott-young-guns-jorgensen,Wineland,16.4,3.7,79.9,13.0,1041
52098-ufc-on-fx-3-mike-quicksand-pyle-vs-josh-the-dentist-neer,Neer,53.8,20.2,26.1,51.0,1005
52098-ufc-on-fx-3-mike-quicksand-pyle-vs-josh-the-dentist-neer,Pyle,16.0,22.5,61.6,49.0,1005
53044-ufc-on-fx-3-erick-indio-silva-vs-charlie-the-spaniard-brenneman,Brenneman,11.1,3.3,85.6,18.0,1033
53044-ufc-on-fx-3-erick-indio-silva-vs-charlie-the-spaniard-brenneman,Silva,88.3,6.4,5.3,82.0,1033
51913-ufc-on-fx-3-demetrious-mighty-mouse-johnson-vs-ian-uncle-creepy-mccall-ii,McCall,10.5,3.7,85.8,70.0,1068
51913-ufc-on-fx-3-demetrious-mighty-mouse-johnson-vs-ian-uncle-creepy-mccall-ii,Johnson,8.1,4.2,87.6,30.0,1068
61163-ufc-on-fx-4-ken-stone-vs-dustin-the-disciple-pague,Stone,28.2,24.6,47.2,25.0,789
61163-ufc-on-fx-4-ken-stone-vs-dustin-the-disciple-pague,Pague,25.3,22.3,52.4,75.0,789
52097-ufc-on-fx-4-dan-miller-vs-ricardo-golden-boy-funch,Miller,8.9,52.0,39.1,95.0,1000
52097-ufc-on-fx-4-dan-miller-vs-ricardo-golden-boy-funch,Funch,25.5,29.8,44.7,5.0,1000
59318-ufc-on-fx-4-matt-the-immortal-brown-vs-luis-beio-ramos,Brown,58.5,4.5,37.0,77.0,922
59318-ufc-on-fx-4-matt-the-immortal-brown-vs-luis-beio-ramos,Ramos,29.9,36.5,33.7,23.0,922
51920-ufc-on-fx-4-chris-camozzi-vs-nick-the-jersey-devil-catone,Camozzi,17.1,11.8,71.1,55.0,898
51920-ufc-on-fx-4-chris-camozzi-vs-nick-the-jersey-devil-catone,Catone,9.2,7.2,83.6,45.0,898
