id,ufcstats_id,event_id,bout_order,fighter_1_id,fighter_2_id,outcome_method,end_round_time_info,billing,weight_class,fighter_1_odds,fighter_2_odds,fighter_1_weight,fighter_2_weight,fighter_1_gym_info,fighter_1_gym_ids,fighter_2_gym_info,fighter_2_gym_ids
2636-ufc-37-the-new-york-badass-phil-baroni-vs-amar-suloev,,ufc-37-high-impact,5,phil-baroni-the-new-york-badass,amar-suloev,"KO/TKO, Punches",2:55 Round 1 of 3,Main Card (fight 5 of 8),185 lbs (83.9 kg),,,184.0 lbs (83.5 kgs),183.0 lbs (83.0 kgs),American Kickboxing Academy,63-american-kickboxing-academy,Red Devil Sport Club,
2643-ufc-37-bj-the-prodigy-penn-vs-paul-creighton,,ufc-37-high-impact,6,bj-penn-the-prodigy,paul-creighton,"KO/TKO, Punches","3:23 Round 2 of 3, 8:23 Total",Main Card (fight 6 of 8),155 lbs (70.3 kg),,,155.0 lbs (70.3 kgs),154.0 lbs (69.9 kgs),Jackson Wink MMA Academy,60-jacksons-mma,N/A,
2649-ufc-37-ricco-suave-rodriguez-vs-tsuyoshi-tk-kosaka,,ufc-37-high-impact,7,ricco-rodriguez-suave,tsuyoshi-kosaka-tk,"KO/TKO, Punches","3:25 Round 2 of 3, 8:25 Total",Main Card (fight 7 of 8),265 lbs (120.2 kg),,,249.0 lbs (112.9 kgs),222.0 lbs (100.7 kgs),Ricco Rodriguez Fighting,,ALLIANCE,3570-alliance-square
2655-ufc-37-murilo-bustamante-vs-matt-the-law-lindland,,ufc-37-high-impact,8,murilo-bustamante,matt-lindland-the-law,"Submission, Guillotine Choke","1:33 Round 3 of 5, 11:33 Total",Main Event (fight 8 of 8),185 lbs (83.9 kg),,,183.0 lbs (83.0 kgs),185.0 lbs (83.9 kgs),Brazilian Top Team,240-brazilian-top-team,Team Quest Portland,1059-team-quest-portland
2663-ufc-375-yves-thugjitsu-master-edwards-vs-joao-marcos-pierini,,ufc-375-as-real-as-it-gets,1,yves-edwards-the-texas-gunslinger,joao-marcos-pierini,"KO/TKO, Injury",1:19 Round 1 of 3,Main Card (fight 1 of 6),155 lbs (70.3 kg),,,155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),American Top Team Beaumont,236-american-top-team-beaumont,Gladiators Training Academy,
2670-ufc-375-tony-the-freak-fryklund-vs-rodrigo-ruas,,ufc-375-as-real-as-it-gets,2,tony-fryklund-the-freak,rodrigo-ruas,"KO/TKO, Punches","3:34 Round 2 of 3, 8:34 Total",Main Card (fight 2 of 6),185 lbs (83.9 kg),,,183.0 lbs (83.0 kgs),181.0 lbs (82.1 kgs),Miletich Fighting Systems,1149-miletich-fighting-systems,Ruas Vale Tudo,
2676-ufc-375-ruthless-robbie-lawler-vs-steve-red-nose-berger,,ufc-375-as-real-as-it-gets,3,robbie-lawler-ruthless,steve-berger-red-nose,"KO/TKO, Punches","0:27 Round 2 of 3, 5:27 Total",Main Card (fight 3 of 6),170 lbs (77.1 kg),,,169.0 lbs (76.7 kgs),169.5 lbs (76.9 kgs),Kill Cliff FC,9248-sanford-mma,Berger MMA,
2682-ufc-375-pete-secret-weapon-spratt-vs-zach-the-lisbon-outlaw-light,,ufc-375-as-real-as-it-gets,4,pete-spratt-secret-weapon,zach-light-the-lisbon-outlaw,"Submission, Armbar",2:25 Round 1 of 3,Main Card (fight 4 of 6),170 lbs (77.1 kg),,,169.0 lbs (76.7 kgs),168.0 lbs (76.2 kgs),Metro Fight Club,304-metro-fight-club,N/A,
993-ufc-375-benji-razor-radach-vs-nick-the-mad-monkey-serra,,ufc-375-as-real-as-it-gets,5,benji-radach-razor,nick-serra-the-mad-monkey,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 5 of 6),170 lbs (77.1 kg),,,169.0 lbs (76.7 kgs),167.0 lbs (75.7 kgs),N/A,,Serra Jiu-Jitsu,1696-serra-jiu-jitsu
999-ufc-375-chuck-the-iceman-liddell-vs-vitor-the-phenom-belfort,,ufc-375-as-real-as-it-gets,6,chuck-liddell-the-iceman,vitor-belfort-the-phenom,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Event (fight 6 of 6),205 lbs (93.0 kg),,,204.0 lbs (92.5 kgs),205.0 lbs (93.0 kgs),The Pit,717-the-pit,Independent,
ufc-38-evan-tanner-vs-chris-the-hammer-haseman,b5c4fbd6e1d94594,ufc-38-brawl-at-the-hall,1,evan-tanner,chris-haseman-the-hammer,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 1 of 7),205 lbs (93.0 kg),,,,,Hard Knocks Kickboxing,,N/A,
1011-ufc-38-renato-babalu-sobral-vs-elvis-the-king-of-rock-n-rumble-sinosic,1531cb3152157ada,ufc-38-brawl-at-the-hall,2,renato-sobral-babalu,elvis-sinosic-the-king-of-rock-n-rumble,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 2 of 7),205 lbs (93.0 kg),,,,,Gracie Barra,271-gracie-barra,N/A,
ufc-38-phillip-miller-vs-james-the-messenger-zikic,90b36806779330b9,ufc-38-brawl-at-the-hall,3,phillip-miller,james-zikic-the-messenger,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 3 of 7),205 lbs (93.0 kg),,,199.0 lbs (90.3 kgs),202.0 lbs (91.6 kgs),Williams Combat Grappling,,London Shootfighters,3267-london-shootfighters
1024-ufc-38-genki-neo-samurai-sudo-vs-leigh-bulldog-remedios,fb93d1cafcc6b455,ufc-38-brawl-at-the-hall,4,genki-sudo-neo-samurai,leigh-remedios-bulldog,"Submission, Rear Naked Choke","1:38 Round 2 of 3, 6:38 Total",Main Card (fight 4 of 7),155 lbs (70.3 kg),,,155.0 lbs (70.3 kgs),154.0 lbs (69.9 kgs),Beverly Hills Jiu-Jitsu Club,,Team Quannum,9499-team-quannum
1033-ufc-38-mark-the-wizard-weir-vs-eugene-the-wolf-jackson,38d8b19a1ef5942a,ufc-38-brawl-at-the-hall,5,mark-weir-the-wizard,520-eugene-jackson-the-wolf,"KO/TKO, Punch",0:10 Round 1 of 3,Main Card (fight 5 of 7),185 lbs (83.9 kg),,,182.0 lbs (82.6 kgs),185.0 lbs (83.9 kgs),Range,,Gladiators Training Academy,
1040-ufc-38-ian-the-machine-freeman-vs-frank-mir,2a2f50039ac636d0,ufc-38-brawl-at-the-hall,6,ian-freeman-the-machine,frank-mir,"KO/TKO, Punches",4:35 Round 1 of 3,Main Card (fight 6 of 7),265 lbs (120.2 kg),,,219.0 lbs (99.3 kgs),237.0 lbs (107.5 kgs),N/A,,Jackson Wink MMA Academy (Primary); Manchester Top Team (Other); Drysdale Jiu Jitsu (Jiu Jitsu),60-jacksons-mma; 3322-all-powers-gym; 723-drysdale-jiu-jitsu
1046-ufc-38-matt-hughes-vs-carlos-the-ronin-newton-ii,0f6dd5d9a96ceb9d,ufc-38-brawl-at-the-hall,7,matt-hughes,carlos-newton-the-ronin,"KO/TKO, Punches","3:27 Round 4 of 5, 18:27 Total",Main Event (fight 7 of 7),170 lbs (77.1 kg),,,170.0 lbs (77.1 kgs),169.0 lbs (76.7 kgs),Finney's HIT Squad,1170-finneys-hit-squad,Warrior Mixed Martial Arts,1455-warrior-mixed-martial-arts
1052-ufc-39-the-muscle-shark-sean-sherk-vs-benji-razor-radach,9e62f31318d21a32,ufc-39-the-warriors-return,1,sean-sherk-the-muscle-shark,benji-radach-razor,"KO/TKO, Cut",4:16 Round 1 of 3,Preliminary Card (fight 1 of 8),170 lbs (77.1 kg),,,,,The Academy MN,501-minnesota-martial-arts-academy,N/A,
2481-ufc-39-matt-the-law-lindland-vs-ivan-salaverry,e7183e758f6b8bda,ufc-39-the-warriors-return,2,matt-lindland-the-law,ivan-salaverry,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 2 of 8),185 lbs (83.9 kg),,,,,Team Quest Portland,1059-team-quest-portland,AMC Pankration,1066-amc-pankration
2486-ufc-39-the-new-york-badass-phil-baroni-vs-dave-the-warrior-menne,20a6710c50698166,ufc-39-the-warriors-return,3,phil-baroni-the-new-york-badass,dave-menne-the-warrior,"KO/TKO, Punches",0:18 Round 1 of 3,Main Card (fight 3 of 8),185 lbs (83.9 kg),,,182.0 lbs (82.6 kgs),182.0 lbs (82.6 kgs),American Kickboxing Academy,63-american-kickboxing-academy,Menne Combat Academy,
2492-ufc-39-gan-the-giant-mcgee-vs-pedro-the-rock-rizzo,56ba0c15cf501669,ufc-39-the-warriors-return,4,gan-mcgee-the-giant,pedro-rizzo-the-rock,"KO/TKO, Corner Stoppage",5:00 Round 1 of 3,Main Card (fight 4 of 8),265 lbs (120.2 kg),,,264.0 lbs (119.7 kgs),246.0 lbs (111.6 kgs),The Pit,717-the-pit,Ruas Vale Tudo,
2497-ufc-39-caol-uno-shoten-vs-din-dinyero-thomas,826b03504b9bad4e,ufc-39-the-warriors-return,5,caol-uno-uno-shoten,din-thomas-dinyero,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 5 of 8),155 lbs (70.3 kg),,,154.0 lbs (69.9 kgs),152.0 lbs (68.9 kgs),UNO DOJO,162-uno-dojo,N/A,
2503-ufc-39-bj-the-prodigy-penn-vs-matt-the-terror-serra,b0ed7f6450ad33c5,ufc-39-the-warriors-return,6,bj-penn-the-prodigy,matt-serra-the-terror,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 6 of 8),155 lbs (70.3 kg),,,154.0 lbs (69.9 kgs),154.0 lbs (69.9 kgs),Jackson Wink MMA Academy,60-jacksons-mma,Serra Jiu-Jitsu,1696-serra-jiu-jitsu
2509-ufc-39-tim-the-maine-iac-sylvia-vs-wesley-cabbage-correira,ffe4379d6bd1e82b,ufc-39-the-warriors-return,7,tim-sylvia-the-maine-iac,wesley-correira-cabbage,"KO/TKO, Corner Stoppage","1:43 Round 2 of 3, 6:43 Total",Main Card (fight 7 of 8),265 lbs (120.2 kg),,,259.0 lbs (117.5 kgs),263.0 lbs (119.3 kgs),Champions Gym,,Penn Fitness & Training Center,1847-penn-fitness-training-center
2515-ufc-39-ricco-suave-rodriguez-vs-randy-the-natural-couture,e06ff3d3f1c0ab69,ufc-39-the-warriors-return,8,ricco-rodriguez-suave,randy-couture-the-natural,"Submission, Elbow","3:04 Round 5 of 5, 23:04 Total",Main Event (fight 8 of 8),265 lbs (120.2 kg),,,243.0 lbs (110.2 kgs),227.0 lbs (103.0 kgs),Ricco Rodriguez Fighting,,Xtreme Couture,724-xtreme-couture
ufc-40-phillip-miller-vs-mark-the-wizard-weir,e66eebeff23ceb1e,ufc-40-vendetta,1,phillip-miller,mark-weir-the-wizard,"Submission, Rear Naked Choke","4:50 Round 2 of 3, 9:50 Total",Preliminary Card (fight 1 of 8),185 lbs (83.9 kg),+160 (Slight Underdog),-120 (Near Even),185.0 lbs (83.9 kgs),183.0 lbs (83.0 kgs),Williams Combat Grappling,,Range,
2538-ufc-40-vladimir-the-janitor-matyushenko-vs-travis-diesel-wiuff,754882d95491d287,ufc-40-vendetta,2,vladimir-matyushenko-the-janitor,travis-wiuff-diesel,"Submission, Punches",4:10 Round 1 of 3,Preliminary Card (fight 2 of 8),265 lbs (120.2 kg),,,220.0 lbs (99.8 kgs),250.0 lbs (113.4 kgs),VMAT,,Elite Performance MMA,586-elite-performance-mma
3000-ufc-40-andrei-the-pitbull-arlovski-vs-ian-the-machine-freeman,9d9c2c8802d21887,ufc-40-vendetta,3,andrei-arlovski-the-pitbull,ian-freeman-the-machine,"KO/TKO, Punches",1:25 Round 1 of 3,Preliminary Card (fight 3 of 8),265 lbs (120.2 kg),+120 (Near Even),-160 (Slight Favorite),249.0 lbs (112.9 kgs),220.0 lbs (99.8 kgs),American Top Team,29-american-top-team,N/A,
3004-ufc-40-ruthless-robbie-lawler-vs-tiki-ghosn,68b141785f76575b,ufc-40-vendetta,4,robbie-lawler-ruthless,tiki-ghosn,"KO/TKO, Punches",1:29 Round 1 of 3,Main Card (fight 4 of 8),170 lbs (77.1 kg),-240 (Moderate Favorite),+200 (Moderate Underdog),170.0 lbs (77.1 kgs),170.0 lbs (77.1 kgs),Kill Cliff FC,9248-sanford-mma,N/A,
3009-ufc-40-carlos-the-ronin-newton-vs-pete-secret-weapon-spratt,497a87188392e057,ufc-40-vendetta,5,carlos-newton-the-ronin,pete-spratt-secret-weapon,"Submission, Kimura",1:45 Round 1 of 3,Main Card (fight 5 of 8),170 lbs (77.1 kg),-350 (Moderate Favorite),+250 (Moderate Underdog),171.0 lbs (77.6 kgs),169.0 lbs (76.7 kgs),Warrior Mixed Martial Arts,1455-warrior-mixed-martial-arts,Metro Fight Club,304-metro-fight-club
3012-ufc-40-matt-hughes-vs-gil-castillo,b0bb09e4ca8343af,ufc-40-vendetta,6,matt-hughes,gil-castillo,"KO/TKO, Cut",5:00 Round 1 of 5,Main Card (fight 6 of 8),170 lbs (77.1 kg),-550 (Heavy Favorite),+350 (Moderate Underdog),170.0 lbs (77.1 kgs),170.0 lbs (77.1 kgs),Finney's HIT Squad,1170-finneys-hit-squad,Cesar Gracie Jiu Jitsu,783-cesar-gracie-jiu-jitsu
3014-ufc-40-chuck-the-iceman-liddell-vs-renato-babalu-sobral-i,9a0865000a3d642e,ufc-40-vendetta,7,chuck-liddell-the-iceman,renato-sobral-babalu,"KO/TKO, Head Kick",2:55 Round 1 of 3,Main Card (fight 7 of 8),205 lbs (93.0 kg),-375 (Moderate Favorite),+275 (Moderate Underdog),205.0 lbs (93.0 kgs),204.0 lbs (92.5 kgs),The Pit,717-the-pit,Gracie Barra,271-gracie-barra
3016-ufc-40-the-huntington-beach-bad-boy-tito-ortiz-vs-the-worlds-most-dangerous-man-ken-shamrock-i,9e6f956caa7b549b,ufc-40-vendetta,8,tito-ortiz-the-huntington-beach-bad-boy,ken-shamrock-the-worlds-most-dangerous-man,"KO/TKO, Corner Stoppage","5:00 Round 3 of 5, 15:00 Total",Main Event (fight 8 of 8),205 lbs (93.0 kg),-160 (Slight Favorite),+120 (Near Even),205.0 lbs (93.0 kgs),201.0 lbs (91.2 kgs),Team Punishment,901-team-punishment,Lion's Den,298-lions-den
3018-ufc-41-yves-thugjitsu-master-edwards-vs-rich-no-love-clementi,0dade757305afebd,ufc-41-onslaught,1,yves-edwards-the-texas-gunslinger,rich-clementi-no-love,"Submission, Rear Naked Choke","4:07 Round 3 of 3, 14:07 Total",Preliminary Card (fight 1 of 8),155 lbs (70.3 kg),-500 (Heavy Favorite),+350 (Moderate Underdog),154.0 lbs (69.9 kgs),155.0 lbs (70.3 kgs),American Top Team Beaumont,236-american-top-team-beaumont,Team Voodoo,
3019-ufc-41-gan-the-giant-mcgee-vs-alexandre-cafe-dantas,62ed2b178310306e,ufc-41-onslaught,2,gan-mcgee-the-giant,alexandre-dantas-cafe,"KO/TKO, Punches",4:49 Round 1 of 3,Preliminary Card (fight 2 of 8),265 lbs (120.2 kg),-800 (Huge Favorite),+500 (Heavy Underdog),264.0 lbs (119.7 kgs),231.0 lbs (104.8 kgs),The Pit,717-the-pit,Gracie Barra Combat Team,
3020-ufc-41-din-dinyero-thomas-vs-matt-the-terror-serra,6a0c5b9079a4128e,ufc-41-onslaught,3,din-thomas-dinyero,matt-serra-the-terror,"Decision, Split","3 Rounds, 15:00 Total",Preliminary Card (fight 3 of 8),155 lbs (70.3 kg),-125 (Slight Favorite),-115 (Near Even),155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),N/A,,Serra Jiu-Jitsu,1696-serra-jiu-jitsu
3021-ufc-41-vladimir-the-janitor-matyushenko-vs-pedro-the-rock-rizzo,558ef0822c8fa5b9,ufc-41-onslaught,4,vladimir-matyushenko-the-janitor,pedro-rizzo-the-rock,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 4 of 8),265 lbs (120.2 kg),-140 (Slight Favorite),+100 (Near Even),218.0 lbs (98.9 kgs),230.0 lbs (104.3 kgs),VMAT,,Ruas Vale Tudo,
1411-ufc-41-matt-the-law-lindland-vs-the-new-york-badass-phil-baroni,795c682c30d66c19,ufc-41-onslaught,5,matt-lindland-the-law,phil-baroni-the-new-york-badass,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 5 of 8),185 lbs (83.9 kg),-140 (Slight Favorite),+100 (Near Even),184.0 lbs (83.5 kgs),184.0 lbs (83.5 kgs),Team Quest Portland,1059-team-quest-portland,American Kickboxing Academy,63-american-kickboxing-academy
1414-ufc-41-bj-the-prodigy-penn-vs-caol-uno-shoten-ii,63ff2ed92c800ef8,ufc-41-onslaught,6,bj-penn-the-prodigy,caol-uno-uno-shoten,Ends in a Draw,"5 Rounds, 25:00 Total",Co-Main Event (fight 6 of 8),155 lbs (70.3 kg),-350 (Moderate Favorite),+250 (Moderate Underdog),152.0 lbs (68.9 kgs),155.0 lbs (70.3 kgs),Jackson Wink MMA Academy,60-jacksons-mma,UNO DOJO,162-uno-dojo
1418-ufc-41-frank-mir-vs-david-tank-abbott,a85a0831580696ff,ufc-41-onslaught,7,frank-mir,david-abbott-tank,"Submission, Toe Hold",0:46 Round 1 of 3,Main Card (fight 7 of 8),265 lbs (120.2 kg),+105 (Near Even),-145 (Slight Favorite),250.0 lbs (113.4 kgs),248.0 lbs (112.5 kgs),Jackson Wink MMA Academy (Primary); Manchester Top Team (Other); Drysdale Jiu Jitsu (Jiu Jitsu),60-jacksons-mma; 3322-all-powers-gym; 723-drysdale-jiu-jitsu,N/A,
1424-ufc-41-tim-the-maine-iac-sylvia-vs-ricco-suave-rodriguez,334cd8572d9842cb,ufc-41-onslaught,8,tim-sylvia-the-maine-iac,ricco-rodriguez-suave,"KO/TKO, Punches",3:09 Round 1 of 5,Main Event (fight 8 of 8),265 lbs (120.2 kg),+220 (Moderate Underdog),-300 (Moderate Favorite),252.0 lbs (114.3 kgs),238.0 lbs (108.0 kgs),Champions Gym,,Ricco Rodriguez Fighting,
1428-ufc-42-david-the-crow-loiseau-vs-mark-the-wizard-weir,863319fd2e711ffc,ufc-42-sudden-impact,1,david-loiseau-the-crow,mark-weir-the-wizard,"KO/TKO, Punches",3:55 Round 1 of 3,Preliminary Card (fight 1 of 8),185 lbs (83.9 kg),-280 (Moderate Favorite),+200 (Moderate Underdog),184.0 lbs (83.5 kgs),183.0 lbs (83.0 kgs),Tristar Gym,1-tristar-gym,Range,
1431-ufc-42-hermes-frana-vs-rich-cleat-crunkilton,363efd241750c23d,ufc-42-sudden-impact,2,hermes-franca,rich-crunkilton-cleat,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 2 of 8),155 lbs (70.3 kg),+260 (Moderate Underdog),-340 (Moderate Favorite),155.0 lbs (70.3 kgs),154.0 lbs (69.9 kgs),Team Hermes França,,N/A,
1433-ufc-42-duane-bang-ludwig-vs-genki-neo-samurai-sudo,5a9657d4faeea2c5,ufc-42-sudden-impact,3,duane-ludwig-bang,genki-sudo-neo-samurai,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 3 of 8),155 lbs (70.3 kg),+105 (Near Even),-145 (Slight Favorite),155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),N/A,,Beverly Hills Jiu-Jitsu Club,
1437-ufc-42-rich-ace-franklin-vs-evan-tanner-i,af59e32a5b3f6065,ufc-42-sudden-impact,4,rich-franklin-ace,evan-tanner,"KO/TKO, Punches",2:40 Round 1 of 3,Main Card (fight 4 of 8),205 lbs (93.0 kg),+160 (Slight Underdog),-200 (Moderate Favorite),204.0 lbs (92.5 kgs),199.0 lbs (90.3 kgs),Team Extreme,,Hard Knocks Kickboxing,
1439-ufc-42-wesley-cabbage-correira-vs-sean-alvarez,4e75ed154de637e2,ufc-42-sudden-impact,5,wesley-correira-cabbage,sean-alvarez,"KO/TKO, Knees and Punches","1:46 Round 2 of 3, 6:46 Total",Main Card (fight 5 of 8),265 lbs (120.2 kg),-125 (Slight Favorite),-115 (Near Even),265.0 lbs (120.2 kgs),229.0 lbs (103.9 kgs),Penn Fitness & Training Center,1847-penn-fitness-training-center,Renzo Gracie Academy,322-renzo-gracie-academy
1441-ufc-42-dave-strasser-vs-romie-aram,9f5f9173666ce1b7,ufc-42-sudden-impact,6,dave-strasser,romie-aram,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 6 of 8),170 lbs (77.1 kg),+220 (Moderate Underdog),-300 (Moderate Favorite),170.0 lbs (77.1 kgs),170.0 lbs (77.1 kgs),Dave Strasser's Freestyle Academy of MMA,1157-dave-strassers-freestyle-academy,Millennia MMA,856-milennia-mma
2928-ufc-42-pete-secret-weapon-spratt-vs-ruthless-robbie-lawler,808245ba66df5f1c,ufc-42-sudden-impact,7,pete-spratt-secret-weapon,robbie-lawler-ruthless,"Submission, Injury","2:28 Round 2 of 3, 7:28 Total",Co-Main Event (fight 7 of 8),170 lbs (77.1 kg),+400 (Heavy Underdog),-600 (Huge Favorite),170.0 lbs (77.1 kgs),170.0 lbs (77.1 kgs),Metro Fight Club,304-metro-fight-club,Kill Cliff FC,9248-sanford-mma
2932-ufc-42-matt-hughes-vs-the-muscle-shark-sean-sherk,00a5e033391bf8df,ufc-42-sudden-impact,8,matt-hughes,sean-sherk-the-muscle-shark,"Decision, Unanimous","5 Rounds, 25:00 Total",Main Event (fight 8 of 8),170 lbs (77.1 kg),-600 (Huge Favorite),+400 (Heavy Underdog),170.0 lbs (77.1 kgs),168.0 lbs (76.2 kgs),Finney's HIT Squad,1170-finneys-hit-squad,The Academy MN,501-minnesota-martial-arts-academy
2935-ufc-43-pedro-the-rock-rizzo-vs-tra-trauma-telligman,9fb822537c12d726,ufc-43-meltdown,1,pedro-rizzo-the-rock,tra-telligman-trauma,"KO/TKO, Cut","4:24 Round 2 of 3, 9:24 Total",Preliminary Card (fight 1 of 8),265 lbs (120.2 kg),-170 (Slight Favorite),+130 (Slight Underdog),231.0 lbs (104.8 kgs),218.0 lbs (98.9 kgs),Ruas Vale Tudo,,Lion's Den Texas,299-lions-den-texas
2938-ufc-43-falaniko-niko-vitale-vs-matt-the-law-lindland,4f5ce22f8384d151,ufc-43-meltdown,2,falaniko-vitale-niko,matt-lindland-the-law,"KO/TKO, Slam",1:56 Round 1 of 3,Preliminary Card (fight 2 of 8),185 lbs (83.9 kg),+350 (Moderate Underdog),-500 (Heavy Favorite),184.5 lbs (83.7 kgs),184.0 lbs (83.5 kgs),Grappling Unlimited,,Team Quest Portland,1059-team-quest-portland
2955-ufc-43-yves-thugjitsu-master-edwards-vs-eddie-ruiz,be0507682d0ce713,ufc-43-meltdown,3,yves-edwards-the-texas-gunslinger,eddie-ruiz,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 3 of 8),155 lbs (70.3 kg),,,155.0 lbs (70.3 kgs),154.0 lbs (69.9 kgs),American Top Team Beaumont,236-american-top-team-beaumont,N/A,
2945-ufc-43-frank-mir-vs-wes-a-whole-show-sims-i,b5854feb57f40bb4,ufc-43-meltdown,4,frank-mir,wes-sims-a-whole-show,"Disqualification, Kicking a Downed Opponent",2:55 Round 1 of 3,Main Card (fight 4 of 8),265 lbs (120.2 kg),-500 (Heavy Favorite),+300 (Moderate Underdog),248.0 lbs (112.5 kgs),244.0 lbs (110.7 kgs),Jackson Wink MMA Academy (Primary); Manchester Top Team (Other); Drysdale Jiu Jitsu (Jiu Jitsu),60-jacksons-mma; 3322-all-powers-gym; 723-drysdale-jiu-jitsu,N/A,
2948-ufc-43-vernon-tiger-white-vs-ian-the-machine-freeman,ed503d1c8963d894,ufc-43-meltdown,5,vernon-white-tiger,ian-freeman-the-machine,Ends in a Draw,"3 Rounds, 15:00 Total",Main Card (fight 5 of 8),265 lbs (120.2 kg),-140 (Slight Favorite),+100 (Near Even),208.0 lbs (94.3 kgs),220.0 lbs (99.8 kgs),Lion's Den,298-lions-den,N/A,
2952-ufc-43-vitor-the-phenom-belfort-vs-marvin-the-beastman-eastman,400aa8a24e1d8997,ufc-43-meltdown,6,vitor-belfort-the-phenom,marvin-eastman-the-beastman,"KO/TKO, Knees and Punches",1:07 Round 1 of 3,Main Card (fight 6 of 8),205 lbs (93.0 kg),-240 (Moderate Favorite),+170 (Slight Underdog),203.0 lbs (92.1 kgs),203.0 lbs (92.1 kgs),Independent,,J-Sect MMA,
2958-ufc-43-kimo-leopoldo-vs-david-tank-abbott,ffe629a5232a878b,ufc-43-meltdown,7,kimo-leopoldo,david-abbott-tank,"Submission, Arm Triangle Choke",1:59 Round 1 of 3,Main Card (fight 7 of 8),265 lbs (120.2 kg),-150 (Slight Favorite),+110 (Near Even),248.0 lbs (112.5 kgs),251.0 lbs (113.9 kgs),N/A,,N/A,
2961-ufc-43-randy-the-natural-couture-vs-chuck-the-iceman-liddell-i,c83cba9573cca196,ufc-43-meltdown,8,randy-couture-the-natural,chuck-liddell-the-iceman,"KO/TKO, Punches","2:39 Round 3 of 5, 12:39 Total",Main Event (fight 8 of 8),205 lbs (93.0 kg),+170 (Slight Underdog),-230 (Moderate Favorite),205.0 lbs (93.0 kgs),205.0 lbs (93.0 kgs),Xtreme Couture,724-xtreme-couture,The Pit,717-the-pit
1333-ufc-44-hermes-frana-vs-caol-uno-shoten,10976fbb37d41c43,ufc-44-undisputed,1,hermes-franca,caol-uno-uno-shoten,"KO/TKO, Punch","2:46 Round 2 of 3, 7:46 Total",Preliminary Card (fight 1 of 9),155 lbs (70.3 kg),,,155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),Team Hermes França,,UNO DOJO,162-uno-dojo
1338-ufc-44-nick-diaz-vs-jeremy-the-scorpion-jackson,5ac9cf4ffc15ccca,ufc-44-undisputed,2,nick-diaz,jeremy-jackson-the-scorpion,"Submission, Armbar","2:04 Round 3 of 3, 12:04 Total",Preliminary Card (fight 2 of 9),170 lbs (77.1 kg),,,169.5 lbs (76.9 kgs),170.0 lbs (77.1 kgs),Cesar Gracie Jiu Jitsu,783-cesar-gracie-jiu-jitsu,Team Freedom,
1341-ufc-44-josh-the-punk-thomson-vs-gerald-the-finishing-machine-strebendt,3cdcaa0a59dfb8ea,ufc-44-undisputed,3,josh-thomson-the-punk,gerald-strebendt-the-finishing-machine,"KO/TKO, Punches",2:45 Round 1 of 3,Preliminary Card (fight 3 of 9),155 lbs (70.3 kg),,,154.0 lbs (69.9 kgs),154.0 lbs (69.9 kgs),American Kickboxing Academy,63-american-kickboxing-academy,10th Planet Jiu Jitsu,228-10th-planet-jiu-jitsu
1343-ufc-44-karo-the-heat-parisyan-vs-dave-strasser,e5b2782426c8109c,ufc-44-undisputed,4,karo-parisyan-the-heat,dave-strasser,"Submission, Kimura",3:52 Round 1 of 3,Preliminary Card (fight 4 of 9),170 lbs (77.1 kg),,,169.0 lbs (76.7 kgs),170.0 lbs (77.1 kgs),Hayastan MMA,834-hayastan-mma,Dave Strasser's Freestyle Academy of MMA,1157-dave-strassers-freestyle-academy
1346-ufc-44-rich-ace-franklin-vs-edwin-bam-bam-dewees,180128adae7897db,ufc-44-undisputed,5,rich-franklin-ace,edwin-dewees-babyface,"KO/TKO, Punches and Knees",3:35 Round 1 of 3,Main Card (fight 5 of 9),205 lbs (93.0 kg),,,204.0 lbs (92.5 kgs),198.0 lbs (89.8 kgs),Team Extreme,,Lions Den Arizona,
1352-ufc-44-jorge-el-conquistador-rivera-vs-david-the-crow-loiseau,ac6fd4c78f0e3198,ufc-44-undisputed,6,jorge-rivera-el-conquistador,david-loiseau-the-crow,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 6 of 9),185 lbs (83.9 kg),,,184.0 lbs (83.5 kgs),184.0 lbs (83.5 kgs),Sityodtong Boston,212-sityotdong-boston,Tristar Gym,1-tristar-gym
