id,ufcstats_id,event_id,bout_order,fighter_1_id,fighter_2_id,outcome_method,end_round_time_info,billing,weight_class,fighter_1_odds,fighter_2_odds,fighter_1_weight,fighter_2_weight,fighter_1_gym_info,fighter_1_gym_ids,fighter_2_gym_info,fighter_2_gym_ids
2829-ufc-74-joe-daddy-stevenson-vs-kurt-batman-pellegrino,f00b588a0d9a90e4,ufc-74-respect,6,joe-stevenson-daddy,kurt-pellegrino-batman,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 6 of 9),155 lbs (70.3 kg),-300 (Moderate Favorite),+240 (Moderate Underdog),155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),Joe Stevenson's Cobra Kai,841-joe-stevensons-cobra-kai,Pellegrino Mixed Martial Arts,745-pellegrino-mixed-martial-arts
2834-ufc-74-roger-el-matador-huerta-vs-alberto-crane,6ce5d8041189d652,ufc-74-respect,7,roger-huerta-el-matador,alberto-crane,"KO/TKO, Punches","1:50 Round 3 of 3, 11:50 Total",Main Card (fight 7 of 9),155 lbs (70.3 kg),-475 (Heavy Favorite),+300 (Moderate Underdog),155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),Tiger Muay Thai,99-tiger-muay-thai,N/A,
2838-ufc-74-georges-rush-st-pierre-vs-josh-kos-koscheck,675cbe90f6d96feb,ufc-74-respect,8,georges-st-pierre-rush,josh-koscheck-kos,"Decision, Unanimous","3 Rounds, 15:00 Total",Co-Main Event (fight 8 of 9),170 lbs (77.1 kg),-286 (Moderate Favorite),+200 (Moderate Underdog),170.0 lbs (77.1 kgs),170.0 lbs (77.1 kgs),Tristar Gym,1-tristar-gym,N/A,
1183-ufc-74-randy-the-natural-couture-vs-gabriel-napo-gonzaga,2f22e38844aa7d96,ufc-74-respect,9,randy-couture-the-natural,gabriel-gonzaga-napao,"KO/TKO, Punches","1:37 Round 3 of 5, 11:37 Total",Main Card (fight 9 of 9),265 lbs (120.2 kg),+108 (Near Even),-133 (Slight Favorite),228.5 lbs (103.6 kgs),252.0 lbs (114.3 kgs),Xtreme Couture,724-xtreme-couture,N/A,
1220-ufc-75-dennis-siver-vs-naoyuki-kotani,574b4599ae9cb64e,ufc-75-champion-vs-champion,1,dennis-siver,naoyuki-kotani,"KO/TKO, Punch","2:04 Round 2 of 3, 7:04 Total",Preliminary Card (fight 2 of 9),155 lbs (70.3 kg),+165 (Slight Underdog),-210 (Moderate Favorite),154.0 lbs (69.9 kgs),155.0 lbs (70.3 kgs),Team KiBoJu,3447-team-kiboju,Rodeo Style,3521-rodeo-style
1223-ufc-75-thiago-silva-vs-tomasz-gorilla-drwal,a3dfa0ac05433450,ufc-75-champion-vs-champion,2,thiago-silva,tomasz-drwal-gorilla,"KO/TKO, Punches","4:23 Round 2 of 3, 9:23 Total",Preliminary Card (fight 3 of 9),205 lbs (93.0 kg),-325 (Moderate Favorite),+263 (Moderate Underdog),204.0 lbs (92.5 kgs),204.0 lbs (92.5 kgs),Blackzilians Performance Institute,31-blackzilians,Szkoła Walki Drwala,27-szkoa-walki-drwala
1229-ufc-75-gleison-tibau-vs-terry-etim,9971f8bcd3b10069,ufc-75-champion-vs-champion,3,gleison-tibau,terry-etim,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 4 of 9),155 lbs (70.3 kg),-183 (Slight Favorite),+148 (Slight Underdog),156.0 lbs (70.8 kgs),155.0 lbs (70.3 kgs),American Top Team,29-american-top-team,Team Kaobon Liverpool,5035-team-kaobon-liverpool
2266-ufc-75-houston-the-assassin-alexander-vs-alessio-legionarius-sakara,79db1d9b15e16b1d,ufc-75-champion-vs-champion,4,houston-alexander-the-assassin,alessio-sakara-legionarius,"KO/TKO, Knee and Punches",1:01 Round 1 of 3,Main Card (fight 5 of 9),205 lbs (93.0 kg),-160 (Slight Favorite),+135 (Slight Underdog),203.0 lbs (92.1 kgs),205.0 lbs (93.0 kgs),Team Doyle,,American Top Team,29-american-top-team
2275-ufc-75-the-irish-hand-grenade-marcus-davis-vs-relentless-paul-taylor,b953a9b5357cbf99,ufc-75-champion-vs-champion,5,marcus-davis-the-irish-hand-grenade,paul-taylor-relentless,"Submission, Armbar",4:14 Round 1 of 3,Main Card (fight 6 of 9),170 lbs (77.1 kg),-188 (Slight Favorite),+155 (Slight Underdog),169.0 lbs (76.7 kgs),171.0 lbs (77.6 kgs),Sityodtong Boston,212-sityotdong-boston,Team Kaobon Liverpool,5035-team-kaobon-liverpool
2285-ufc-75-cheick-kongo-vs-mirko-cro-cop-filipovic,76d490a8bb168c78,ufc-75-champion-vs-champion,6,cheick-kongo,mirko-filipovic-cro-cop,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 7 of 9),265 lbs (120.2 kg),+315 (Moderate Underdog),-380 (Moderate Favorite),231.0 lbs (104.8 kgs),220.0 lbs (99.8 kgs),Quoniam Gym,,Cro Cop Squad Gym,
2292-ufc-75-michael-the-count-bisping-vs-matt-the-hammer-hamill,59d456f0da1159cf,ufc-75-champion-vs-champion,7,michael-bisping-the-count,matt-hamill-the-hammer,"Decision, Split","3 Rounds, 15:00 Total",Co-Main Event (fight 8 of 9),205 lbs (93.0 kg),-265 (Moderate Favorite),+215 (Moderate Underdog),205.0 lbs (93.0 kgs),205.0 lbs (93.0 kgs),RVCA,6110-rvca,Team Hammer,11576-team-hammer
2301-ufc-75-quinton-rampage-jackson-vs-dan-hendo-henderson,49458279eafdaf94,ufc-75-champion-vs-champion,8,quinton-jackson-rampage,dan-henderson-hollywood,"Decision, Unanimous","5 Rounds, 25:00 Total",Main Card (fight 9 of 9),205 lbs (93.0 kg),-120 (Near Even),-105 (Near Even),204.0 lbs (92.5 kgs),204.0 lbs (92.5 kgs),Wolfslair Academy,,Team Quest,902-team-quest
1211-ufc-75-jess-joker-liaudin-vs-anthony-the-crush-torres,8f5e57a21383fa87,ufc-75-champion-vs-champion,9,jess-liaudin-joker,anthony-torres-the-crush,"KO/TKO, Punches",4:10 Round 1 of 3,Preliminary Card,170 lbs (77.1 kg),-123 (Near Even),-108 (Near Even),170.0 lbs (77.1 kgs),170.0 lbs (77.1 kgs),Pancrase London,,MMAD,
2309-ufc-fight-night-11-dustin-mclovin-hazelett-vs-jonathan-the-road-warrior-goulet,88295b0ab9868db5,ufc-fight-night-11-thomas-vs-florian,1,dustin-hazelett-mclovin,jonathan-goulet-the-road-warrior,"Submission, Armbar",1:14 Round 1 of 3,Preliminary Card (fight 1 of 9),170 lbs (77.1 kg),+110 (Near Even),-140 (Slight Favorite),170.0 lbs (77.1 kgs),169.0 lbs (76.7 kgs),JG MMA Academy,1519-jg-mma-academy,Team Legion,144-team-legion
2318-ufc-fight-night-11-thiago-pitbull-alves-vs-kuniyoshi-hironaka,c536a1119406c0f0,ufc-fight-night-11-thomas-vs-florian,2,thiago-alves-pitbull,kuniyoshi-hironaka,"KO/TKO, Punch and Knee","4:04 Round 2 of 3, 9:04 Total",Preliminary Card (fight 2 of 9),170 lbs (77.1 kg),-235 (Moderate Favorite),+190 (Slight Underdog),171.0 lbs (77.6 kgs),170.0 lbs (77.1 kgs),American Top Team,29-american-top-team,Master Japan,253-master-japan
2324-ufc-fight-night-11-gray-the-bully-maynard-vs-joe-veres,c86702c01c4cfee2,ufc-fight-night-11-thomas-vs-florian,3,gray-maynard-the-bully,joe-veres,"KO/TKO, Punch",0:09 Round 1 of 3,Preliminary Card (fight 3 of 9),155 lbs (70.3 kg),-315 (Moderate Favorite),+245 (Moderate Underdog),154.0 lbs (69.9 kgs),156.0 lbs (70.8 kgs),Power MMA,194-power-mma,MMA Lab,
2339-ufc-fight-night-11-cole-magrinho-miller-vs-leonard-bad-boy-garcia,be307e6647a655c8,ufc-fight-night-11-thomas-vs-florian,4,cole-miller-magrinho,leonard-garcia-bad-boy,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 4 of 9),155 lbs (70.3 kg),-140 (Slight Favorite),+115 (Near Even),155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),American Top Team,29-american-top-team,Jackson Wink MMA Academy,60-jacksons-mma
2346-ufc-fight-night-11-luke-cummo-vs-edilberto-crocot-de-oliveira,997eda9196aad7f9,ufc-fight-night-11-thomas-vs-florian,5,luke-cummo,edilberto-de-oliveira-crocota,"KO/TKO, Punches",1:45 Round 1 of 3,Preliminary Card (fight 5 of 9),170 lbs (77.1 kg),-118 (Near Even),-108 (Near Even),169.0 lbs (76.7 kgs),170.0 lbs (77.1 kgs),Serra Jiu-Jitsu,1696-serra-jiu-jitsu,Academia Champion,9292-academia-champion
617-ufc-fight-night-11-nate-rock-quarry-vs-pete-drago-sell-ii,b46679306287ea79,ufc-fight-night-11-thomas-vs-florian,6,nate-quarry-rock,pete-sell-drago,"KO/TKO, Punch","0:44 Round 3 of 3, 10:44 Total",Main Card (fight 6 of 9),185 lbs (83.9 kg),-230 (Moderate Favorite),+180 (Slight Underdog),186.0 lbs (84.4 kgs),184.0 lbs (83.5 kgs),Team Quest Portland,1059-team-quest-portland,Serra Jiu-Jitsu,1696-serra-jiu-jitsu
625-ufc-fight-night-11-nate-diaz-vs-jnior-assuno,a1950f4bd19ed06f,ufc-fight-night-11-thomas-vs-florian,7,nate-diaz,junior-assuncao,"Submission, Guillotine Choke",4:10 Round 1 of 3,Main Card (fight 7 of 9),155 lbs (70.3 kg),-198 (Moderate Favorite),+165 (Slight Underdog),155.0 lbs (70.3 kgs),155.0 lbs (70.3 kgs),Cesar Gracie Jiu Jitsu,783-cesar-gracie-jiu-jitsu,Ascension Mixed Martial Arts,1428-ascension-mixed-martial-arts
631-ufc-fight-night-11-chris-the-crippler-leben-vs-dangerous-terry-martin,e7d444e279914116,ufc-fight-night-11-thomas-vs-florian,8,chris-leben-the-crippler,terry-martin-dangerous,"KO/TKO, Punch","3:56 Round 3 of 3, 13:56 Total",Main Card (fight 8 of 9),185 lbs (83.9 kg),+180 (Slight Underdog),-220 (Moderate Favorite),185.0 lbs (83.9 kgs),186.0 lbs (84.4 kgs),Arena Gym,7917-arena-gym,Iron Academy,
638-ufc-fight-night-11-kenny-kenflo-florian-vs-din-dinyero-thomas,62dd8808ce397fa6,ufc-fight-night-11-thomas-vs-florian,9,kenny-florian-kenflo,din-thomas-dinyero,"Submission, Rear Naked Choke",4:31 Round 1 of 3,Main Event (fight 9 of 9),155 lbs (70.3 kg),-155 (Slight Favorite),+130 (Slight Underdog),155.0 lbs (70.3 kgs),156.0 lbs (70.8 kgs),Florian Martial Arts Center,258-florian-martial-arts-center,N/A,
647-ufc-76-handsome-matt-wiman-vs-michihiro-michi-omigawa,73726e32d26c17ee,ufc-76-knockout,1,matt-wiman-handsome,michihiro-omigawa,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 1 of 9),155 lbs (70.3 kg),-293 (Moderate Favorite),+233 (Moderate Underdog),156.0 lbs (70.8 kgs),152.5 lbs (69.2 kgs),Tulsa Top Team,,Neo Judo Academy Omigawa Dojo,3736-neo-judo-academy-omigawa-dojo
654-ufc-76-christian-wellisch-vs-scott-punk-haole-junk,51696044aafb2037,ufc-76-knockout,2,christian-wellisch,scott-junk-punk-haole,"Submission, Heel Hook",3:19 Round 1 of 3,Preliminary Card (fight 2 of 9),265 lbs (120.2 kg),-225 (Moderate Favorite),+175 (Slight Underdog),230.5 lbs (104.6 kgs),257.5 lbs (116.8 kgs),American Kickboxing Academy,63-american-kickboxing-academy,MMA Development,1633-mma-development
