id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,wikipedia_url,name,nickname,date_of_birth,height,reach,nationality,birth_location
173579-dione-barbosa,27b388f0aab49780,266915,dione-barbosa-12811,dione-barbosa?language_content_entity=en,,Dione Barbosa,The Witch,1992-05-08,"5'6"" (168cm)","66.5"" (169cm)",Brazil,"Recife, Pernambuco, Brazil"
173680-kau-fernandes,ec13c393d029297d,297051,kaue-fernandes-11734,kaue-fernandes,,Kauê Fernandes,N/A,1995-03-17,"5'9"" (175cm)","73.0"" (185cm)",Brazil,Brazil
173956-razonbek-temirov,7d0a1968b38ca439,215649,ramazan-temirov-18532,ramazan-temirov,,Ramazan Temirov,Temurlan,1997-01-31,"5'4"" (163cm)","63.0"" (160cm)",Uzbekistan,"Karshi, Uzbekistan"
17397-guan-wang,dd12382f28296f7b,26368,wang-guan-7137,,,Guan Wang,The Northeast Tiger,1986-03-14,"5'11"" (181cm)","71.0"" (180cm)",China,China
17398-robert-whittaker,e1147d3d2dabe1ce,45132,robert-whittaker-3761,robert-whittaker,https://en.wikipedia.org/wiki/Robert_Whittaker_(fighter),Robert Whittaker,The Reaper,1990-12-20,"6'0"" (182cm)","73.5"" (187cm)",Australia,New Zealand
17399-danaa-batgerel,3b0a516d2921e0d6,85013,danaa-batgerel-9468,danaa-batgerel,https://en.wikipedia.org/wiki/Danaa_Batgerel,Batgerel Danaa,Storm,1989-07-04,"5'7"" (171cm)","70.0"" (178cm)",Mongolia,"Erdenetsagaan, Mongolia"
174069-josefine-lindgren-knutsson-little-thunder,971dba22c622af12,378677,josefine-lindgren-knutsson-10833,josefine-knutsson,https://en.wikipedia.org/wiki/Josefine_Lindgren_Knutsson,Josefine Knutsson,Thunder,1996-01-16,"5'3"" (160cm)","60.0"" (152cm)",Sweden,"Bromma, Sweden"
174093-danny-silva,d964a59c48381cb6,310429,danny-silva-9217,danny-silva,,Danny Silva,El Puma,1997-01-30,"5'11"" (180cm)","70.0"" (178cm)",United States,"Santa Ana, California, USA"
17413-richard-walsh,303a05a7aa3ff761,55587,richard-walsh-4845,,https://en.wikipedia.org/wiki/Richard_Walsh_(fighter),Richard Walsh,Filthy,1988-12-01,"6'0"" (183cm)","73.0"" (185cm)",Australia,Australia
174166-looma-lookboonmee,4e30e4250cb08b61,270881,loma-lookboonmee-7834,loma-lookboonmee,https://en.wikipedia.org/wiki/Loma_Lookboonmee,Loma Lookboonmee,N/A,1996-01-18,"5'1"" (155cm)","61.5"" (156cm)",Thailand,"Buriram, Thailand"
17448-justin-frazier,78863e4a28204a6b,77208,justin-frazier-2925,,https://en.wikipedia.org/wiki/Justin_Frazier,Justin Frazier,The Grizzly Bear,1989-06-15,"6'0"" (183cm)","69.0"" (175cm)",United States,"Charleston, South Carolina"
17476-dwight-grant,8be158ca1e5ea6a0,68983,dwight-grant-6763,dwight-grant,https://en.wikipedia.org/wiki/Dwight_Grant,Dwight Grant,The Body Snatcher,1984-09-14,"6'1"" (185cm)","76.5"" (194cm)",United States,United States
17484-kyle-bochniak,c5af5750e8bae4f0,86246,kyle-bochniak-6025,kyle-bochniak,https://en.wikipedia.org/wiki/Kyle_Bochniak,Kyle Bochniak,Crash,1987-02-05,"5'7"" (170cm)","70.0"" (178cm)",United States,"Gloucester, Massachusetts, United States"
