fighter_id,order,bout_id,opponent_id
01afe0916a40c7c5,4,3c98739eb42f96bf,84b3e7d38f2d2ec5
01afe0916a40c7c5,5,22fc6b3f4e48cfa3,b997be68943010fc
01afe0916a40c7c5,6,1efc813ccd7a5aba,4a28cb716c19157a
01afe0916a40c7c5,7,1569186ee820ea87,442c9011034ae1fd
01b352b6a9074d5c,1,02f4277726712796,ba1e6cb3d43f7430
01b352b6a9074d5c,2,3f7684492c9df05e,03f982ca3735070c
01b352b6a9074d5c,3,f26657d5018ee428,d1528ac5675558b1
01b352b6a9074d5c,4,4f07c6724682cd00,3f11b5d4bd76a6d9
01b352b6a9074d5c,5,4d5c3ddc740b89ca,2f5cbecbbe18bac4
01b352b6a9074d5c,6,bef2a2e68fb4dfa8,ce1e867808ef5fce
01b352b6a9074d5c,7,d7c7b312279104d2,441eacbe20e0e80b
01b352b6a9074d5c,8,b2ca310c9d0037d3,f9d0cae37dabfafc
01b352b6a9074d5c,9,f2c82f027201ba21,3738e68d2261e60f
01b352b6a9074d5c,10,47230f9b5d7ae037,ac40f7e3cbecdda4
01b352b6a9074d5c,11,3bcbb0e039f4f5d8,92fa1401b7927da3
01b352b6a9074d5c,12,d2484d74f819d813,c0badf3243907e59
01b352b6a9074d5c,13,cd63b4144a45b611,2b68d9f125d07b42
01b352b6a9074d5c,14,110f539523a4b571,fc08099550072fe4
01b352b6a9074d5c,15,3387f430abb7e39f,d35f734c56a89103
01b39decaf0abf6a,1,fe60fd0ee67902dc,21b1132949f2a9b0
01b39decaf0abf6a,2,255da7afa89eb0e5,1975c2272ba40e71
01b39decaf0abf6a,3,9e62f31318d21a32,029880cdbf5ca089
01b39decaf0abf6a,4,6e3b5840f8c05faa,90e7447d8b7f3f35
01b39decaf0abf6a,5,5cf2380d0bb09b0e,3410cf010558dc8b
01b39decaf0abf6a,6,34eaa4365938c168,50db8711c70196cd
01c9e4013afce141,1,ff098f3cef1c30d6,fb37795db81f93f3
01d2ed8c502e3828,1,27e7bfc9294eb37d,8567466ae167216b
01d2ed8c502e3828,2,a9418e446839adc0,42883268854b78be
01d2ed8c502e3828,3,713f44a1e2deaae4,7cf0944b88966118
01d2ed8c502e3828,4,411e1f1e89c609fb,5befa793316d3469
01d2ed8c502e3828,5,fa004e713a7d0898,4a482a0100cfcd0a
01d2ed8c502e3828,6,827cec94aa5deeb2,50d2f0018bcf9eef
01d2ed8c502e3828,7,2b3a1c063245e280,501b07aec9b8fc2d
01daf32100ed7517,1,cf8fe599f0b44fd5,1c2f2571b18791b6
01daf32100ed7517,2,07886c772e37d5de,f57a8a52ca401ed9
