bout_id,round_number,fighter_id,round_time_seconds,knockdowns_scored,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,submissions_attempted,reversals_scored,control_time_seconds,significant_strikes_landed,significant_strikes_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_distance_landed,significant_strikes_distance_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
f29eec19aa5c1303,1,429e7d3725852ce9,949,0,80,84,0,0,3,0,,0,4,0,1,0,0,0,3,0,4,0,0,0,0
f29eec19aa5c1303,1,c670aa48827d6be6,949,0,27,43,1,1,0,0,,4,7,4,7,0,0,0,0,0,0,0,0,4,7
802c0e4e228996ac,1,9fd1f08dd4aec14a,21,0,12,18,1,1,0,0,,12,18,12,18,0,0,0,0,0,0,0,0,12,18
802c0e4e228996ac,1,2a7afe14b3a0a058,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa152ada833de1d4,1,946f341df6472ee0,122,1,15,20,0,0,0,0,,12,17,10,15,1,1,1,1,2,5,2,2,8,10
fa152ada833de1d4,1,e780ccc79a209985,122,0,2,7,0,0,0,0,,0,4,0,0,0,2,0,2,0,4,0,0,0,0
fa3b940bd48da7e2,1,32a3025d5db456ae,83,0,30,41,0,0,0,0,,17,28,7,17,10,11,0,0,6,14,6,9,5,5
fa3b940bd48da7e2,1,9199e0735b83dd32,83,0,6,6,0,2,0,1,,2,2,2,2,0,0,0,0,0,0,0,0,2,2
43c2c904e1574c59,1,b60391da771deefe,175,0,64,66,1,1,1,0,,4,4,3,3,1,1,0,0,0,0,0,0,4,4
43c2c904e1574c59,1,46f11d15c0134fe3,175,0,15,16,0,0,0,0,,1,2,0,1,1,1,0,0,0,1,1,1,0,0
ebfe035b70080668,1,1dc56b59cb28425d,143,0,0,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ebfe035b70080668,1,2b1587a3376ab743,143,0,7,11,0,0,0,0,,2,5,2,5,0,0,0,0,0,2,0,0,2,3
2308e0da38efd4ba,1,c670aa48827d6be6,98,0,12,19,1,1,1,0,,2,4,2,4,0,0,0,0,0,0,0,0,2,4
2308e0da38efd4ba,1,19ffeb5e3fffd6d5,98,0,1,2,0,0,0,0,,1,1,0,0,1,1,0,0,1,1,0,0,0,0
db4c169722cf1e33,1,9fd1f08dd4aec14a,132,0,22,28,1,1,0,0,,8,13,8,13,0,0,0,0,0,0,0,0,8,13
db4c169722cf1e33,1,b60391da771deefe,132,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbf3fc8730b4ad09,1,c670aa48827d6be6,261,0,38,64,1,1,0,0,,9,17,9,17,0,0,0,0,0,0,0,0,9,17
cbf3fc8730b4ad09,1,1dc56b59cb28425d,261,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db8df615610f3632,1,63b65af1c5cb02cb,1860,0,67,84,1,1,0,0,,9,19,4,14,0,0,5,5,0,1,0,0,9,18
db8df615610f3632,1,429e7d3725852ce9,1860,0,344,351,0,0,0,0,,3,8,2,3,0,1,1,4,1,5,0,0,2,3
db8df615610f3632,2,63b65af1c5cb02cb,300,0,31,39,0,0,0,0,,1,3,1,3,0,0,0,0,1,2,0,0,0,1
db8df615610f3632,2,429e7d3725852ce9,300,0,11,15,0,1,0,0,,0,4,0,2,0,1,0,1,0,4,0,0,0,0
6ca94b35719eb300,1,c670aa48827d6be6,181,0,11,13,1,1,1,0,,2,3,1,1,0,1,1,1,0,0,1,2,1,1
6ca94b35719eb300,1,9fd1f08dd4aec14a,181,0,5,10,0,0,0,0,,2,6,2,6,0,0,0,0,0,1,2,5,0,0
88945d70ee6c6467,1,b361180739bed4b0,20,2,7,12,0,0,0,0,,7,12,7,12,0,0,0,0,0,1,6,6,1,5
88945d70ee6c6467,1,c933d423ebdbbbdb,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547295977141cbc2,1,07a18ae55dfc3cd9,62,1,12,27,0,0,0,0,,8,22,7,19,1,2,0,1,3,12,5,10,0,0
547295977141cbc2,1,de3ed2e152520c8d,62,0,11,35,0,1,0,0,,9,33,9,30,0,3,0,0,5,13,4,20,0,0
e2b32e1683a566af,1,46c8ec317aff28ac,68,1,10,13,2,2,1,0,,6,8,2,4,4,4,0,0,1,1,3,3,2,4
e2b32e1683a566af,1,02d276b7d62b3472,68,0,2,2,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d19fa2df1cb61a2,1,1dc56b59cb28425d,57,0,5,7,0,1,1,0,,0,2,0,2,0,0,0,0,0,0,0,2,0,0
5d19fa2df1cb61a2,1,9fd1f08dd4aec14a,57,0,5,14,1,1,0,0,,5,14,5,14,0,0,0,0,0,0,4,11,1,3
43f6b0c40113d0d8,1,b361180739bed4b0,113,0,18,25,1,1,0,0,,14,21,13,20,1,1,0,0,1,1,0,0,13,20
43f6b0c40113d0d8,1,07a18ae55dfc3cd9,113,0,12,14,0,0,0,0,,1,2,0,1,1,1,0,0,0,1,1,1,0,0
3c2c7c095c79a506,1,1dc56b59cb28425d,9,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c2c7c095c79a506,1,dedc3bb440d09554,9,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d62aec55bc142346,1,63b65af1c5cb02cb,134,0,2,5,0,1,2,0,,2,5,1,4,1,1,0,0,1,4,1,1,0,0
d62aec55bc142346,1,c670aa48827d6be6,134,0,2,2,0,1,0,0,,2,2,1,1,0,0,1,1,1,1,1,1,0,0
66c029f49d3c5da6,1,1dc56b59cb28425d,1065,0,48,59,0,3,4,0,,4,10,4,10,0,0,0,0,3,9,1,1,0,0
66c029f49d3c5da6,1,b361180739bed4b0,1065,0,39,71,2,3,1,0,,17,45,16,44,1,1,0,0,8,27,3,7,6,11
e9ce3a28eeb83905,1,3f24c96753dbd9f9,31,0,1,5,0,0,2,0,,1,5,0,4,1,1,0,0,0,4,1,1,0,0
e9ce3a28eeb83905,1,5af480a3b2e1726b,31,0,2,3,0,0,0,0,,2,3,0,0,0,0,2,3,1,2,1,1,0,0
869d753568a114a6,1,07a18ae55dfc3cd9,65,0,35,38,1,1,0,0,,4,4,4,4,0,0,0,0,0,0,0,0,4,4
869d753568a114a6,1,30cd319d39ee689b,65,0,0,2,0,0,0,0,,0,2,0,1,0,0,0,1,0,1,0,1,0,0
fcf632627ce40195,1,18524b46c570730b,101,0,13,23,0,0,0,1,,1,4,1,4,0,0,0,0,0,1,0,0,1,3
fcf632627ce40195,1,a2b06ca02bca14c0,101,0,5,8,1,2,0,0,,4,5,1,1,3,4,0,0,2,2,2,3,0,0
ef2ccb690dcd943f,1,749685d24e2cac50,185,0,16,16,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef2ccb690dcd943f,1,6a0b80a24f22e152,185,0,20,21,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ebb7bba0b45d517,1,597db668b01c442c,203,0,2,2,1,1,3,0,,1,1,1,1,0,0,0,0,0,0,1,1,0,0
9ebb7bba0b45d517,1,46f11d15c0134fe3,203,0,11,14,0,0,1,1,,6,7,2,3,4,4,0,0,0,0,0,0,6,7
62bb4ea8bf86790c,1,07a18ae55dfc3cd9,61,0,4,6,1,1,2,0,,2,3,2,3,0,0,0,0,0,1,0,0,2,2
62bb4ea8bf86790c,1,18524b46c570730b,61,0,4,5,0,0,0,0,,2,3,1,1,0,1,1,1,2,2,0,1,0,0
99d98a2d278bfa1f,1,597db668b01c442c,747,0,11,18,0,0,2,1,,4,7,1,2,2,2,1,3,1,3,0,0,3,4
99d98a2d278bfa1f,1,749685d24e2cac50,747,0,4,7,1,1,2,0,,2,4,0,1,0,0,2,3,0,2,2,2,0,0
3932f8e9a74f3d11,1,63b65af1c5cb02cb,1800,0,167,198,1,1,0,0,,22,40,21,39,0,0,1,1,6,18,0,0,16,22
3932f8e9a74f3d11,1,1dc56b59cb28425d,1800,0,107,119,0,1,0,0,,2,14,2,10,0,1,0,3,1,12,1,2,0,0
3932f8e9a74f3d11,2,63b65af1c5cb02cb,180,0,13,24,0,0,1,0,,7,18,5,14,2,4,0,0,2,11,4,6,1,1
3932f8e9a74f3d11,2,1dc56b59cb28425d,180,0,3,9,0,1,0,0,,2,8,1,7,0,0,1,1,2,6,0,2,0,0
e7ca291dd8f5661b,1,597db668b01c442c,797,1,54,84,0,0,0,0,,33,59,9,25,0,0,24,34,27,49,2,3,4,7
e7ca291dd8f5661b,1,07a18ae55dfc3cd9,797,0,36,63,0,0,1,0,,10,30,3,19,2,2,5,9,7,27,3,3,0,0
6b0430e9c97afec7,1,b361180739bed4b0,74,0,3,5,1,1,1,0,,1,1,1,1,0,0,0,0,1,1,0,0,0,0
6b0430e9c97afec7,1,ad047e3073a775f3,74,0,1,2,0,0,0,0,,0,1,0,1,0,0,0,0,0,1,0,0,0,0
8cc976ee1a123fb8,1,c670aa48827d6be6,61,0,0,0,1,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cc976ee1a123fb8,1,07a18ae55dfc3cd9,61,0,1,1,0,0,0,0,,1,1,0,0,0,0,1,1,1,1,0,0,0,0
3e39aac3e15d75bd,1,597db668b01c442c,159,0,11,15,1,2,1,0,,7,10,5,8,0,0,2,2,2,3,0,0,5,7
3e39aac3e15d75bd,1,bf12aca029bfcc47,159,0,1,4,0,0,0,0,,1,4,0,2,0,0,1,2,1,4,0,0,0,0
d45f9dfdb75a640f,1,1dc56b59cb28425d,75,0,0,1,0,0,2,0,,0,1,0,1,0,0,0,0,0,1,0,0,0,0
d45f9dfdb75a640f,1,9fd1f08dd4aec14a,75,0,2,5,0,0,0,0,,2,5,1,4,0,0,1,1,0,2,1,1,1,2
0d872527bbb3cd40,1,c670aa48827d6be6,1080,0,233,253,1,2,0,0,,57,65,36,43,16,17,5,5,0,0,5,5,52,60
0d872527bbb3cd40,1,b361180739bed4b0,1080,0,11,16,0,0,0,0,,3,6,3,6,0,0,0,0,0,2,2,3,1,1
717f3c3932279196,1,1dc56b59cb28425d,1080,0,10,37,0,3,1,0,,6,33,2,19,0,1,4,13,6,33,0,0,0,0
717f3c3932279196,1,597db668b01c442c,1080,0,29,68,0,0,0,0,,14,53,3,31,0,0,11,22,14,52,0,0,0,1
524b49a676498c6d,1,c670aa48827d6be6,1620,0,196,256,0,0,0,0,,22,58,16,52,5,5,1,1,6,40,0,0,16,18
524b49a676498c6d,1,1dc56b59cb28425d,1620,0,25,35,0,1,1,0,,7,17,3,11,1,3,3,3,7,17,0,0,0,0
524b49a676498c6d,2,c670aa48827d6be6,180,0,2,21,0,0,0,0,,2,21,2,21,0,0,0,0,1,20,0,0,1,1
524b49a676498c6d,2,1dc56b59cb28425d,180,0,1,12,0,0,0,0,,1,12,1,12,0,0,0,0,1,12,0,0,0,0
3cf6583153078f8f,1,271fe91f4ba9d2c5,8,1,3,4,0,0,0,0,,3,4,3,4,0,0,0,0,2,3,0,0,1,1
3cf6583153078f8f,1,ea398c802d9998ee,8,0,1,2,0,0,0,0,,1,2,1,2,0,0,0,0,1,2,0,0,0,0
16cb0064575e2b0b,1,07a18ae55dfc3cd9,600,0,20,51,0,0,0,0,,9,38,5,32,0,1,4,5,6,28,3,10,0,0
16cb0064575e2b0b,1,df85d6ec3493d120,600,0,12,28,0,3,0,0,,12,28,5,14,2,2,5,12,9,17,3,11,0,0
ab7390e549e28893,1,93892752c5fc23ca,543,0,27,33,0,0,1,0,,7,9,3,3,2,2,2,4,4,6,2,2,1,1
ab7390e549e28893,1,977081bc01197656,543,0,17,20,2,4,1,0,,9,12,6,8,2,2,1,2,1,2,4,6,4,4
8312985b75241b06,1,fbbde91f7bc2d3c5,13,0,8,8,1,1,0,0,,8,8,8,8,0,0,0,0,0,0,0,0,8,8
8312985b75241b06,1,440c9dbab63528fb,13,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90bce37a788afeaa,1,271fe91f4ba9d2c5,48,0,19,24,1,1,0,0,,5,9,5,9,0,0,0,0,0,3,0,0,5,6
90bce37a788afeaa,1,0e9869d712e81f8f,48,0,1,4,0,0,0,0,,0,3,0,3,0,0,0,0,0,3,0,0,0,0
f5156ca4dcd2a0e3,1,fbbde91f7bc2d3c5,331,0,7,10,1,1,1,1,,3,6,3,6,0,0,0,0,0,1,0,0,3,5
f5156ca4dcd2a0e3,1,93892752c5fc23ca,331,0,18,28,0,1,0,1,,1,8,1,8,0,0,0,0,0,0,0,0,1,8
16b4a0b06427f1ac,1,63b65af1c5cb02cb,264,0,13,14,1,1,2,0,,0,1,0,1,0,0,0,0,0,1,0,0,0,0
16b4a0b06427f1ac,1,08ae5cd9aef7ddd3,264,0,5,6,0,0,0,1,,4,5,3,4,1,1,0,0,1,1,0,0,3,4
8d2e99599124a16f,1,271fe91f4ba9d2c5,134,0,27,37,0,0,0,1,,12,21,9,18,0,0,3,3,2,6,7,11,3,4
8d2e99599124a16f,1,fbbde91f7bc2d3c5,134,0,2,6,1,3,0,0,,2,6,1,4,1,2,0,0,0,3,2,3,0,0
e92abaf81ad5949b,1,13e62d766b709aa6,445,0,39,43,2,2,1,0,,13,16,12,15,1,1,0,0,1,2,1,1,11,13
e92abaf81ad5949b,1,2efbc83a6b9b7f86,445,0,20,20,0,0,0,0,,4,4,2,2,0,0,2,2,2,2,2,2,0,0
31fc4d5d5d1a6126,1,de3ed2e152520c8d,194,0,29,33,1,1,0,0,,9,11,6,6,2,2,1,3,1,3,0,0,8,8
31fc4d5d5d1a6126,1,d3711d3784b76255,194,0,1,2,0,0,0,0,,1,2,0,1,1,1,0,0,1,2,0,0,0,0
c89017008da245be,1,08a7080ff5904661,332,0,33,48,1,1,0,0,,8,17,8,17,0,0,0,0,0,0,0,0,8,17
c89017008da245be,1,8738eacd62e82a32,332,0,5,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca62a52ab0bd9108,1,c1684f00c626f4c0,720,0,74,96,3,3,0,0,,8,29,7,27,1,1,0,1,1,2,0,0,7,27
ca62a52ab0bd9108,1,fbbde91f7bc2d3c5,720,0,3,7,0,0,0,0,,1,4,0,3,0,0,1,1,1,4,0,0,0,0
378ede9e541c82f9,1,18524b46c570730b,47,0,4,4,0,0,0,0,,3,3,2,2,0,0,1,1,2,2,0,0,1,1
378ede9e541c82f9,1,2a6f8136da1e52c0,47,0,1,2,1,1,0,0,,1,2,1,2,0,0,0,0,0,1,1,1,0,0
db845f2e28c22b4c,1,271fe91f4ba9d2c5,570,0,82,98,1,1,0,0,,46,59,27,39,19,20,0,0,1,5,11,16,34,38
db845f2e28c22b4c,1,7a359ef685a304a7,570,0,24,30,0,6,0,0,,2,5,1,4,0,0,1,1,2,2,0,3,0,0
6a060498e60756af,1,c670aa48827d6be6,1440,0,29,74,0,2,0,1,,13,55,11,53,0,0,2,2,7,46,0,0,6,9
6a060498e60756af,1,63b65af1c5cb02cb,1440,0,55,105,0,0,0,0,,14,64,6,55,8,9,0,0,5,55,0,0,9,9
6a060498e60756af,2,c670aa48827d6be6,180,0,0,4,0,0,0,0,,0,4,0,4,0,0,0,0,0,4,0,0,0,0
6a060498e60756af,2,63b65af1c5cb02cb,180,0,0,2,0,0,0,0,,0,2,0,2,0,0,0,0,0,2,0,0,0,0
6a060498e60756af,3,c670aa48827d6be6,180,0,3,16,0,0,0,0,,3,16,2,13,0,0,1,3,2,12,1,4,0,0
6a060498e60756af,3,63b65af1c5cb02cb,180,0,4,15,0,1,0,0,,4,15,3,14,1,1,0,0,3,14,1,1,0,0
dc6a8ec4d6c477de,1,304fcd812f12c589,357,0,48,64,0,2,1,1,,21,36,9,23,7,8,5,5,0,11,18,22,3,3
dc6a8ec4d6c477de,1,0db70ca89e1c7374,357,0,9,11,0,1,0,0,,3,5,3,5,0,0,0,0,0,1,3,4,0,0
de2ced807ed3eb0b,1,271fe91f4ba9d2c5,621,0,182,191,1,1,0,0,,27,28,8,8,19,20,0,0,0,0,0,0,27,28
de2ced807ed3eb0b,1,18524b46c570730b,621,0,22,26,0,0,0,0,,2,2,1,1,1,1,0,0,1,1,1,1,0,0
e4acc3bb3c3e27d1,1,1c3f5e85b59ec710,145,0,13,17,1,2,1,1,,2,5,2,5,0,0,0,0,0,0,0,0,2,5
