fighter_id,bout_id,notice_time_days
1955,5313,27
2658,5647,9
2655,5607,25
1369,5628,19
1709,5609,21
2659,5648,13
2301,5644,16
1807,5663,13
2350,5697,4
1288,5569,8
2238,5568,10
2658,5573,11
2305,5601,5
1755,5590,15
1444,5674,10
1121,5678,19
2303,5668,10
2535,5690,3
2338,5655,8
1980,5813,3
743,5929,4
1476,5721,10
642,6021,2
154,5766,22
2671,5776,5
2521,5918,16
470,5731,10
2446,6057,7
803,5815,23
2345,5797,12
1870,6113,1
1056,6084,8
652,6080,6
2785,5955,7
777,6119,5
243,5856,9
2926,5811,1
1902,5817,24
2895,5823,10
2240,5812,16
2581,5834,3
1970,6226,10
2456,5915,12
1688,5938,14
1962,6035,4
2463,6010,5
1291,5862,12
1936,5842,10
2993,6118,10
3001,6207,8
2988,6235,25
2376,6217,12
2379,6208,4
37,6512,4
3107,6570,2
2399,6246,9
3092,6246,4
2372,6290,7
788,6275,11
3127,6405,9
777,6486,9
1819,6533,7
3149,6644,2
3109,6234,3
2426,6483,2
2406,6534,8
3324,6358,3
2521,6392,4
2428,6596,3
3349,6548,4
3105,6615,13
2583,6622,7
2345,6624,5
2521,6736,10
2698,7054,4
1483,6729,11
3536,7145,3
3535,7142,3
242,7067,3
2413,6878,3
3548,6852,8
1949,6946,11
1189,7121,5
2016,7012,15
2012,7185,5
3326,7186,6
1207,7182,11
1605,7200,9
3530,7197,8
75,7189,9
2466,7202,9
219,7332,4
2239,7210,16
1367,7209,19
1962,7205,8
1813,7269,12
3107,7520,3
3728,7223,6
2536,7229,9
108,7226,14
2509,7294,11
2072,7592,8
652,7590,8
3434,7464,20
3160,7458,4
2396,7479,3
1814,7598,9
3863,7706,3
1029,7483,11
470,7487,21
2878,7758,1
2199,7728,10
1271,8061,1
4077,7866,4
4129,8145,4
1483,7748,16
2658,7790,16
3637,7818,9
2727,7824,15
4109,7827,12
4192,8288,1
781,8285,3
1621,8273,1
1587,8270,3
2878,8268,2
3779,8302,3
2502,8227,10
2483,7954,9
3382,8207,9
3619,8471,2
4107,8167,9
3688,8351,11
2995,8383,17
4330,8494,17
