id,name,nickname,date_of_birth,reach_inches,height_inches,stance,team_id,nationality,fighting_style
2335783,Manvel Gamburyan,The Anvil,1981-05-08,67.0,65,Orthodox,1147,USA,Jiu-Jitsu
2335784,Roan Carneiro,Jucao,1978-06-02,74.5,71,Orthodox,,Brazil,
2335785,Alessio Sakara,Legionarius,1981-09-02,72.0,72,Orthodox,25,Italy,Striker
2335786,Ivan Salaverry,,1971-01-11,,72,Orthodox,930,,
2335787,George Sotiropoulos,,1977-07-09,71.0,70,Orthodox,25,Australia,
2335788,Dan Cramer,,1985-10-31,,74,Orthodox,25,,
2335789,Matt Grice,The Real One,1981-07-29,70.0,68,Orthodox,1148,USA,
2335790,Jorge Santiago,,1980-10-09,74.0,73,Orthodox,1071,USA,
2335791,Tim McKenzie,Wrecking Machine,,74.0,71,Orthodox,,,
2335792,Tom Egan,The Tank,,,71,Orthodox,,,
2335793,Aaron Simpson,A-Train,1974-07-20,73.0,73,Orthodox,910,USA,
2335794,Gina Carano,Conviction,1982-04-16,,68,Orthodox,61,,
2335795,Shannon Gugerty,,1981-12-30,71.0,70,Orthodox,,,
2335796,Chael Sonnen,,1977-04-03,74.0,73,Southpaw,6047,,
2335797,Dennis Siver,,1979-01-13,70.0,67,Orthodox,321,Germany,Striker
2335798,Dustin Hazelett,McLovin,1986-04-29,76.5,73,Orthodox,,,
2335799,Luke Cummo,,1980-04-27,74.5,72,Orthodox,,,
2335800,Melvin Guillard,The Young Assassin,1983-03-30,68.0,69,Orthodox,426,USA,Striker
2335801,George Roop,,1981-11-10,72.0,73,Orthodox,868,,
2335802,Rory Markham,,1982-03-25,71.0,72,Orthodox,,,
2335803,Luigi Fioravanti,The Italian Tank,1981-01-22,70.5,69,Orthodox,2666,USA,Striker
2335804,Marcus Davis,The Irish Hand Grenade,1973-08-24,70.0,68,Southpaw,,,
2335805,Dale Hartt,,,69.0,70,Orthodox,,,
2335806,Jonathan Goulet,The Road Warrior,1979-07-13,73.5,72,Orthodox,,,
2335807,Tamdan McCrory,The Barn Cat,1986-11-05,78.0,76,Switch,,USA,
2335808,John Howard,Doomsday,1983-03-01,71.0,67,Orthodox,7227,USA,
2335809,Aaron Riley,,1980-12-09,69.0,68,Southpaw,81,USA,
2335810,John Hathaway,The Hitman,1987-07-01,75.5,74,Orthodox,788,England,
2335811,Corey Hill,,1978-10-03,80.0,76,Orthodox,,USA,Brazilian Jiu-Jitsu
2335812,Kurt Pellegrino,Batman,1979-05-07,70.5,68,Orthodox,,,
2335813,Paul Kelly,Tellys,1984-09-12,70.0,69,Orthodox,,,
2335814,David Kaplan,Diamond,1979-11-16,,66,Orthodox,,,
2335815,Nate Mohr,,1983-03-03,72.0,69,Orthodox,,,
2335816,Troy Mandaloniz,Rude Boy,1980-01-02,,69,Orthodox,,,
2335817,Sammy Morgan,The Squeeze,1981-09-28,,70,Orthodox,,,
2335818,Dong Hyun Kim,Stun Gun,1981-11-17,76.0,74,Southpaw,972,Korea,Striker
2335819,Mike Swick,Quick,1979-06-19,77.0,73,Orthodox,22,,
2335820,Ben Saunders,Killa B,1983-04-13,77.5,74,Orthodox,25,USA,Kickboxing
2335821,Jason Tan,,,,70,Orthodox,,,
2335822,Alex Karalexis,The Assassin,1977-09-20,66.0,68,Orthodox,428,,
2335823,Jess Liaudin,Joker,,72.0,69,Orthodox,,,
2335824,Jared Rollins,J-Roc,1977-01-26,,69,Orthodox,,,
2335825,Keita Nakamura,K-Taro,1984-05-22,73.0,71,Southpaw,5962,Japan,Brazilian Jiu-Jitsu
2335826,Ryan Madigan,The Lion,1977-04-02,,72,Orthodox,,,
2335827,Kuniyoshi Hironaka,,1976-06-17,70.0,70,Orthodox,,,
2335828,Matthew Riddle,Deep Waters,1986-01-14,76.0,73,Southpaw,827,,Wrestling
2335829,Dean Lister,The Boogeyman,1976-02-13,75.0,73,Orthodox,,,
2335830,Evan Tanner,,1971-02-11,74.0,72,Orthodox,,,
2335831,Rory Singer,Outburst,1976-05-28,77.0,74,Orthodox,,,
2335832,Kalib Starnes,,1975-01-06,74.0,75,Orthodox,,Canada,Brazilian Jiu-Jitsu
2335834,Ryan McGivern,,1980-01-17,,72,Orthodox,,,
2335837,Dave Phillips,The Rockstar,1980-01-12,,72,Orthodox,,,
2335838,Jose Rodriguez,,,,68,,,,
2335839,Lance Everson,,,,69,,,,
2335840,Dave Perez,,,,71,,,,
2335842,Paulo Filho,Ely,1978-05-24,,68,Southpaw,153,,
2335844,Aleksei Oleinik,The Boa Constrictor,1977-06-20,80.0,74,Orthodox,25,Russia,Brazilian Jiu-Jitsu
2335845,Kyacey Uscola,Ice Cold,1981-10-07,,73,,,,
2335846,Bryan Baker,The Beast,1985-10-13,,75,Orthodox,,USA,
2335847,Amar Suloev,,1976-07-01,,69,Orthodox,,,
2335867,David Loiseau,The Crow,1979-12-17,76.5,72,Orthodox,221,,
2335874,Dan Evensen,,1974-06-01,,75,Orthodox,,,
2335875,Mirko Filipovic,Cro Cop,1974-09-10,73.0,74,Southpaw,865,,
2335876,Assuerio Silva,,1974-06-18,,73,Orthodox,,,
2335877,Gilbert Aldana,El Peligro,1977-08-28,,73,Orthodox,,,
2335878,Dave Dalgliesh,,1978-04-05,,74,Orthodox,,,
2335880,Gilbert Yvel,The Hurricane,1976-06-30,77.0,74,Orthodox,,Netherlands,
2335885,Jens Pulver,Little Evil,1974-12-06,70.0,67,Southpaw,835,,
2335886,Mike Brown,,1975-09-08,,66,Orthodox,25,,
2335888,Dominick Cruz,The Dominator,1985-03-09,68.0,68,Orthodox,147,USA,Wrestling
2335889,Joe Pearson,The Triangular Strangler,1978-03-28,72.0,70,Orthodox,,USA,
2336285,Kazuyuki Fujita,,1970-10-16,,72,Orthodox,1767,,
2336286,Hidehiko Yoshida,,1969-09-03,,71,Orthodox,,,
2354016,Miguel Torres,,1981-01-18,76.0,69,Orthodox,221,USA,Brazilian Jiu-Jitsu
2354017,Brad Morris,,,,73,Orthodox,,,
2354023,Min Soo Kim,Mr. Shark,1975-01-22,,73,Southpaw,,,
2354046,Dan Christison,The Sandman,1972-04-26,,80,Orthodox,,,
2354047,Marcio Cruz,Pe de Pano,1978-04-24,,76,Orthodox,,,
2354048,Tim Sylvia,The Maine-iac,1976-05-03,80.0,80,Orthodox,,,
2354049,Wes Sims,The Project,1979-08-04,,82,Orthodox,,,
2354050,David Abbott,Tank,1965-07-16,,72,Switch,,,Striker
2354051,Jason Miller,Mayhem,1980-12-24,,73,Orthodox,121,USA,Brazilian Jiu-Jitsu
2354052,Dave Strasser,,1969-07-13,,70,Orthodox,,,
2354053,Tony DeSouza,The Peruvian Savage,1974-07-26,70.5,72,Southpaw,,,
2354054,John Alessio,The Natural,1979-07-05,72.5,70,Orthodox,61,Canada,Striker
2354055,Derrick Noble,The Eraser,1978-08-14,,69,Southpaw,,,
2354056,Ansar Chalangov,,,,69,Orthodox,,,
2354057,Vitor Belfort,The Phenom,1977-04-01,74.0,72,Southpaw,1071,Brazil,"Brazilian Jiu-Jitsu,Striker"
2354058,Kazuo Misaki,Hitman,1976-04-25,,70,Orthodox,1107,,
2354059,Murilo Bustamante,,1966-07-30,,73,Orthodox,153,,
2354075,Elvis Sinosic,The King of Rock n Rumble,1971-02-13,77.5,75,Orthodox,,,
2354076,Josh Haynes,Bring the Pain,,,69,Orthodox,,,
2354078,Ross Pointon,The Gladiator,1980-02-18,,68,Orthodox,,England,
2354080,Mike Nickels,,,,76,Orthodox,,,
2354082,Milco Voorn,,,,,Orthodox,,,
2354083,Don Frye,The Predator,1965-11-23,,73,Orthodox,,,
2354084,Allan Goes,,1971-04-20,,72,Orthodox,,,
2354085,Akira Shoji,,1974-01-31,,68,Orthodox,,,
2354086,Leonard Garcia,Bad Boy,1979-07-14,68.0,69,Orthodox,81,,
2354087,Cub Swanson,,1983-11-02,70.0,68,Orthodox,13228,USA,Jiu-Jitsu
2354088,Cole Escovedo,The Apache Kid,1981-08-30,72.0,67,Orthodox,,,
2354090,Hayato Sakurai,Mach,1975-08-24,,67,Orthodox,,,
2354100,Rocky Long,,1978-08-18,,68,,,,
2354101,Dustin Neace,The Beast,1986-09-12,,69,,143,,
2354102,Masakazu Imanari,Ashikan Judan,1976-02-10,,65,Southpaw,,Japan,
2354103,Tony Fryklund,The Freak,,,72,Orthodox,,,
2354104,Joshua Burkman,The People's Warrior,1980-04-10,72.0,70,Orthodox,2247,USA,
2354105,Mike Cook,,,,,Orthodox,,,
2354106,Brock Larson,,1977-08-23,71.0,71,Southpaw,,USA,
2354107,Jason Guida,,1977-08-04,,70,,,,
2354109,Luis Dutra Jr.,Besouro,1982-05-06,,71,,,,
2354117,Ricardo Petrucio,,,,,,,,
