id,name
2185,Infinite MMA
2186,Boxing Works
2187,Aguirre's Fighting System
2188,Koncrete Gym
2190,Premier Combat Center
2191,Team Ryano MMA
2192,Mjolnir
2194,Gym01
2195,Rumble Sports
2196,Combat Sports Academy
2205,United Gym
2227,Blacklock's Vale-Tudo
2246,Syndicate MMA
2247,The Pit Elevated Fight Team
2266,Mid-America Martial Arts
2286,Team Destruction
2306,Ronin Training Center
2326,Third Column
2346,Fisher's Bang Gym
2366,SBG Manchester
2367,Next Generation UK
2386,MMA Academy Liverpool
2406,Checkmat
2426,Mark Robinson MMA
2446,Complete Martial Arts and Fitness
2526,Team Tungaa
2546,Renegade Fighting Systems
2566,Clube do Leao
2567,Team Max
2586,Mike's Gym
2606,Brutal MMA
2607,Toshida MMA
2626,Octagon MMA
2646,Nexus
2666,Flawless MMA
2686,Coalizao Fight Team
2706,Northwest Elite
2707,Paraestra Chiba
2708,Brazos Valley MMA
2709,Cobra Kai MMA Dojo
2710,Reversal Gym Yokohama Ground Slam
2711,Wulfrun MMA
2726,RNC Sport Club
2746,Team 515
2766,Dethrone Base Camp
2786,SBG Ireland
2806,Next Generation
2826,Pancrase Venus
2866,Cold Steel MMA
2886,United Training Center
2926,The Kennel Fight Club
2927,Adrenaline Training Center
2929,Wai Kru MMA
2930,Drysdale Jiu-Jitsu
2931,Black & Blue MMA
2967,Phuket Top Team
2986,Entram Gym
3006,Hicks MMA Cortez Boxing
3046,MMAGold Fight Team
3047,Memphis Judo & Jiu-Jitsu
3066,Team Wildman Vale Tudo
3147,Cullum Ground Fighting
3148,MN Militia
3150,Independent MMA
3151,Elite Training Centre
3166,Cave
3186,Nevt
3206,MMA Imatra
3226,Joe Stevenson's Cobra Kai
3246,Chicago Fight Team
3266,American Kickboxing Academy
3346,Peresvet FT
3367,Without Limits MMA
3387,Gracie United
3427,Shogun MMA
3428,Systems Training Center
3448,10th Planet Jiu-Jitsu
3467,YK Promotion
3487,FightSpirit Team
3527,Predator Mixed Martial Arts
3547,Tuco O Tapa MMA
3567,Renzo Gracie Philly
3607,Academy Octavio Almeida
3627,Pitbull Brothers
3647,Team Tavares
3667,Astra Fight Team
3707,Pura Vida BJJ
3727,Caveman Crew
3747,Team Triumph
3767,Calandrelli Brazilian Jiu-Jitsu
3787,Carlos Neto BJJ
3827,Elevation Fight Team
3848,Black Hole Jiu Jitsu
3867,Catone MMA
3907,Pacific Martial Arts
3947,Frontier MMA
3948,Family Fight Team
3967,Team Torres MMA
4007,Alexander Nevsky Club
4029,Jetsaam Gym Brno
4031,CB Impact
4047,Alliance-Square
4067,Team Lloyd Irvin
4087,Gile Ribeiro Team / Noguchi Team
4107,Sure Grip Vale Tudo
4167,Paraestra Matsudo
4208,Strike MMA
4227,Gorets
4268,Fit or Fight
4269,Crazy 88 Brazilian Jiu-Jitsu
4287,Wolves Den MMA
4327,Blackline
4347,Boets MMA
4367,Bali Muay Thai & MMA
4387,Undisputed
4407,Synergy Fight Team
4447,Team Assassin MMA
4448,Metro Fight Club
4467,Six Feet Under MMA Fight Team
4487,Saekson Muay Thai
4507,American Top Team Evolution
4527,Hawaii Elite MMA
4588,Bakersfield BJJ
4589,Dragon House MMA
4607,Combat Fitness
4687,Potential Unlimited Mixed Martial Arts
4707,Team Upstate Karate
4709,Yuma United MMA
4710,Altitude MMA
4711,Fight Spirit Team
4712,Miller Brothers MMA
4727,Young's MMA/Boyington's Taekwondo Academy
4749,Next Generation Northern Ireland
