id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTAwMQ==,1001,magnus-cedenblad-1001,Magnus Cedenblad,Jycken,1982-09-10,192.0,79.0,,Striker / BJJ Grappler,Orthodox,Sweden
RmlnaHRlck5vZGU6MTAwMg==,1002,adam-cella-1002,Adam Cella,El Natural,,188.0,73.5,,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTAwMw==,1003,donald-cerrone-1003,Donald Cerrone,Cowboy,1983-03-29,183.0,73.0,40.0,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTAwNA==,1004,mike-chiesa-1004,Mike Chiesa,Maverick,1987-12-07,185.0,75.0,43.0,Grappler,Southpaw,United States
RmlnaHRlck5vZGU6MTAwNDU=,10045,ante-delija-10045,Ante Delija,Walking Trouble,1990-08-07,195.6,79.0,,Striker,Orthodox,Croatia
RmlnaHRlck5vZGU6MTAwNQ==,1005,sako-chivitchian-1005,Sako Chivitchian,The Psycho,1984-03-11,180.0,71.0,,,,Armenian SSR
RmlnaHRlck5vZGU6MTAwNTM=,10053,adam-wieczorek-10053,Adam Wieczorek,Siwy,1992-02-05,196.0,81.0,,,,Poland
RmlnaHRlck5vZGU6MTAwNg==,1006,john-cholish-1006,John Cholish,,1983-12-17,181.0,74.0,,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTAwNw==,1007,mike-ciesnolevicz-1007,Mike Ciesnolevicz,C,1979-10-28,183.0,74.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTAwNzQ=,10074,braxton-smith-10074,Braxton Smith,The Beautiful Monster,1990-01-01,175.0,72.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTAwOA==,1008,mitch-clarke-1008,Mitch Clarke,Danger Zone,1985-11-24,178.0,73.0,,Grappler,Orthodox,Canada
RmlnaHRlck5vZGU6MTAwOQ==,1009,chris-clements-1009,Chris Clements,The Menace,1976-02-09,178.0,70.0,,Striker,Orthodox,Canada
RmlnaHRlck5vZGU6MTAx,101,rameau-thierry-sokoudjou-101,Rameau Thierry Sokoudjou,The African Assassin,1984-04-18,182.9,78.0,,,,United States
RmlnaHRlck5vZGU6MTAxMA==,1010,josh-clopton-1010,Josh Clopton,The Gentleman,1981-07-11,169.0,68.0,,Striker,Orthodox,United States
