id,name,date,location,is_ufc_event,event_order
d3711d3784b76255,UFC 53: Heavy Hitters,2005-06-04,"Atlantic City, New Jersey, USA",1,59.0
394f55ebca199124,PRIDE Critical Countdown 2005,2005-06-26,"Saitama, Japan",0,
64360e618823a8e4,K-1 Hero's 2,2005-07-06,"Tokyo, Japan",0,
94070f6544c4b2a5,K-1 World Grand Prix Hawaii,2005-07-09,"Honolulu, Hawaii, USA",0,
a08d909a5be6f410,Freedom Fight - Canada vs. USA,2005-07-09,"Hull, Quebec, Canada",0,
18aecaf50f52e4c3,CWFC - Strike Force 2,2005-07-16,"Coventry, England, United Kingdom",0,
c3ea8deeba00462b,PRIDE Bushido 8,2005-07-17,"Nagoya, Aichi, Japan",0,
3f24c96753dbd9f9,UFC Fight Night 1,2005-08-06,"Las Vegas, Nevada, USA",1,60.0
e091482fa6648261,WEC 16: Clash of the Titans 2,2005-08-18,"Lemoore, California, USA",0,
669a3cb6e394f515,UFC 54: Boiling Point,2005-08-20,"Las Vegas, Nevada, USA",1,61.0
ccdd90bd1fc7dab6,PRIDE Final Conflict 2005,2005-08-28,"Saitama, Japan",0,
1ff9589f9065a9ed,Predator FC 1,2005-09-10,"Sao Paulo, Brazil",0,
710d93f1508f7104,PRIDE Bushido 9: The Tournament,2005-09-25,"Tokyo, Japan",0,
f8dc544e7077d014,CWFC - Strike Force 3,2005-10-01,"Coventry, England, United Kingdom",0,
efaf544314bb5c2e,UFC Fight Night 2,2005-10-03,"Las Vegas, Nevada, USA",1,62.0
271fe91f4ba9d2c5,UFC 55: Fury,2005-10-07,"Uncasville, Connecticut, USA",1,63.0
6803d4d6908354ac,Bushido Europe - Rotterdam Rumble,2005-10-09,"Rotterdam, Zuid-Holland, Netherlands",0,
75e5fec9f72910ef,K-1 World MAX 2005 Champions Challenge,2005-10-12,"Tokyo, Japan",0,
86dfed7cc24a9fa7,WEC 17: Halloween Fury 4,2005-10-14,"Lemoore, California, USA",0,
f348d05403fad037,PRIDE 30: Fully Loaded,2005-10-23,"Saitama, Japan",0,
31ceaf0e670c1578,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,"Las Vegas, Nevada, USA",1,64.0
2b06b6ad5db63348,K-1 Hero's Seoul,2005-11-05,"Seoul, South Korea",0,
