id,name,nickname,height_inches,reach_inches,stance,date_of_birth
07797f10b9569cfc,Angel Pacheco,,68.0,70.0,Orthodox,1992-01-13
077e3ace32b72be9,CJ Vergara,,66.0,68.0,Orthodox,1991-06-18
078b732efa497f49,Kasey Tanner,,67.0,69.0,Orthodox,1992-01-11
079488710f012779,Cesar Gracie,,70.0,,Orthodox,
07a18ae55dfc3cd9,Paul Varelans,The Polar Bear,80.0,,Orthodox,
07a2bdaa0afdd831,Rogerio Bontorin,,65.0,67.0,Orthodox,1992-04-25
07f72a2a7591b409,Jon Jones,Bones,76.0,84.0,Orthodox,1987-07-19
07f959e6596307bb,Carlos Vera,Pequeno,66.0,69.0,Orthodox,1987-11-05
0802be3516ef8f66,Imani Lee,,,,Orthodox,
082eba4cd80f736f,Jarno Errens,,71.0,73.0,Orthodox,1994-11-17
083e15da67d9b0fa,Josh Thornburg,,72.0,,,1984-05-24
0845c81e37d3bcb3,Volkan Oezdemir,No Time,74.0,75.0,Orthodox,1989-09-19
0871254cd790c250,Tommy Hayden,Wild Card,69.0,,Southpaw,1986-03-11
0876d21328cf4a45,Dave Galera,Scarecrow,71.0,,Orthodox,1978-01-12
088aa1b19b2dc14a,John Dave Almanza,The Striker,67.0,67.0,Southpaw,2004-03-22
08a7080ff5904661,Rafael Carino,,80.0,,Orthodox,
08ae5cd9aef7ddd3,Kimo Leopoldo,,75.0,,Orthodox,1968-01-05
08af939f41b5a57b,Beneil Dariush,,70.0,72.0,Southpaw,1989-05-06
08b01ed84044c6bc,Jacobi Jones,Big Toe,69.0,72.0,Orthodox,1996-05-24
08e908ed6d18d6a0,Myles Jury,Fury,70.0,73.0,Orthodox,1988-10-31
09224b76d27007ee,Phillip Latu,The Doctor,75.0,76.0,Orthodox,1991-02-17
093e1f5bb73850be,Anthony Hernandez,Fluffy,72.0,75.0,Orthodox,1993-10-18
0941df56f6ac954b,Johny Hendricks,Bigg Rigg,69.0,69.0,Southpaw,1983-09-12
09422812370fbdfe,Jeremy Lang,,71.0,,Southpaw,1975-05-11
09439946214993bc,Chase Gibson,El Guero,70.0,72.0,Orthodox,1990-02-07
0971be7d94e109e1,Elisha Helsper,Knuckles,66.0,,Orthodox,1983-02-06
0974d8d4053a7237,Lee Brousseau,Manimal,73.0,,,1974-10-04
0978385b2bd9ef9b,Nick Aguirre,Slick,69.0,74.0,Southpaw,1996-01-15
09a4447655fd4b7b,Rafael Cerqueira,The Lion,75.0,76.0,Southpaw,1990-03-15
09a6ed4ee97a5606,Ricky Steele,The Karate Kid,69.0,74.0,Orthodox,1988-05-26
09a82bd51ff61376,Wayne Phillips,,,,,1983-06-17
09c44b317c98bf96,David Velasquez,Little,65.0,,Orthodox,
09e62c450e754913,Jimmy Flick,The Brick,67.0,68.0,Orthodox,1990-09-07
09f579be4520394a,Diego Rivas,Pitbull,68.0,69.0,Orthodox,1991-11-11
09f8c233de88998d,Brad Royster,,,,,
0a1942069c9ad6b6,Jack Hermansson,The Joker,73.0,77.0,Orthodox,1988-06-10
0a2813f89a758ff7,David Marshall,,74.0,,,1984-08-24
0a66de3a797cf73a,Alan Gomez,,,,,
0a73acff6325c1e2,Shayilan Nuerdanbieke,Wolverine,68.0,69.0,Orthodox,1994-05-04
0a95c474e61a6c44,Adam Yandiev,Boroda,69.0,74.0,Orthodox,1988-08-07
0a97691039c4bbfb,Mark Hominick,The Machine,68.0,68.0,Orthodox,1982-07-22
0aa74d04c196800c,Errol Zimmerman,The Bonecrusher,75.0,,Orthodox,1986-04-20
0aa92558424ced9e,Randy Couture,The Natural,73.0,75.0,Orthodox,1963-06-22
