id,name,nickname,date_of_birth,height,reach,stance,team_id,nationality,fighting_style
2553070,Yasin Mengulluoglu,,,,,--,,,
2553071,Jimmy Sidoni,,,,,--,,,
2553072,Johannes Kunze,,,,,--,,,
2553086,Kimihito Nonaka,,,,,--,,,
2553088,Justin Robbins,,,,,--,,,
2553091,Hideki Kadowaki,,,,,--,,,
2553220,Jorge Oliveira,,,,,--,,,
2553222,Billy Evangelista,,7/10/1980,"5' 8""","68""",Orthodox,22.0,,
2553261,Gerald Meerschaert,GM3,18/12/1987,"6' 1""","77.5""",Southpaw,10967.0,USA,"Brazilian Jiu-Jitsu,Freestyle"
2553266,John Flemming,,,,,--,,,
2553267,Daan Kooiman,,,,,--,,,
2553268,Carl Morgan,,,,,--,,,
2553269,Jonas Majauskas,,,,,--,,,
2553270,Yuki Sasaki,,12/9/1976,"6' 2""",,Orthodox,,Japan,
2553271,Che Mills,Beautfiul,29/9/1982,"6' 1""","76""",Orthodox,565.0,England,Striker
2553272,Edilberto de Oliveira,,22/11/1982,"6' 0""",,Orthodox,,Brazil,
2553286,Sam Wells,,,,,--,,,
2553287,Josh Gardner,,,,,--,,,
2553292,Olaf Alfonso,,,,,Orthodox,,,
2553295,Justin Wilcox,The Silverback,,"5' 6""",,Orthodox,22.0,,
2553301,Lenny Lovato,,,,,--,,,
2553303,Bryce Harrell,,,,,--,,,
2553304,Constantinos Philippou,Costa,29/11/1979,"5' 11""","73""",Orthodox,402.0,USA,Striker
2553305,Glen Sandull,,,,,--,,,
2553306,Brendan Barrett,Brutal,22/10/1981,"5' 11""",,--,2606.0,,Striker
2553307,Karen Grigoryan,,,,,--,,,
2553308,Rich Lictawa,,,,,--,,,
2553309,Silmar Rodrigo,,,,,--,,,
2553310,Marlon Moraes,Magic,26/4/1988,"5' 6""","69""",Orthodox,966.0,Brazil,Striker
2553601,David Shvelidze,,,,,--,,,
2553619,Fabricio Nascimento,,,,,--,,,
2553626,Chas Jacquier,,,,,--,,,
2553629,Takafumi Ito,,,,,--,,,
2553720,Nick Rossborough,Leatherface,18/11/1981,"6' 5""",,--,,,Brazilian Jiu-Jitsu
2553758,Tihamer Brunner,,,,,--,,,
2553781,Richard Hale,Rare Breed,17/5/1985,"6' 4""",,--,2188.0,,
2553783,Karina Hallinan,,,,,--,,,
2553808,Victor Valimaki,The Matrix,17/12/1981,"6' 0""",,Orthodox,1808.0,Canada,
2553846,Jon Kirk,,25/9/1978,"6' 2""",,--,,,
2553848,Plinio Cruz,,,"6' 1""",,--,,USA,
2553867,Jeff Davis,,,,,--,,,
2553868,Edwynn Jones,,,,,--,,,
2553869,Jonathan Evans,,,,,--,,,
2553870,Mike Bronzoulis,The Greek,5/1/1979,"6' 0""",,--,1050.0,,Striker
2553871,Justin Miller,,,,,--,,,
2553872,Stephane Vigneault,,,,,--,,,
2553877,Rod Montoya,,,"5' 11""",,--,,,
2553917,Stonnie Dennis,,,,,--,,,
2553937,Shinya Kumazawa,,,,,--,,,
2553951,Brad McCall,,,,,--,,,
2553952,Brad Levy,,,,,--,,,
2553953,Patrick Hoang,,,,,--,,,
2553954,Joey Alvarado,,,,,--,,,
2553955,Sost Infante,,,,,--,,,
2553956,Joe Frainee,,,,,--,,,
2553957,Albert Hill,,,,,--,,,
2553958,Aric Nelson,,,,,--,,,
2553959,Saad Awad,,7/6/1983,"5' 11""","74""",--,6088.0,USA,Striker
2553960,Isaac DeJesus,,,"5' 6""",,--,,,
2553961,Rodney Rhoden,,,,,--,,,
2553988,David Douglas,,18/8/1982,"5' 11""",,--,146.0,,Striker
2553989,Ousmane Thomas Diagne,,3/9/1983,"6' 1""",,--,22.0,France,Striker
2553992,Dennis Dombrow,,,"5' 7""",,--,,USA,
2553993,Chris Weidman,The All-American,17/6/1984,"6' 2""","78""",Orthodox,8347.0,USA,Wrestling
2553994,Reuben Duran,,2/7/1983,"5' 7""","69""",Orthodox,147.0,USA,
2553996,Uriah Hall,Prime Time,31/7/1984,"6' 0""","79.5""",Orthodox,6088.0,Jamaica,Striker
2553999,Patricky Freire,Pitbull,1/6/1986,"5' 7""","71""",--,3627.0,Brazil,Brazilian Jiu-Jitsu
2554001,Marcin Held,,18/1/1992,"5' 9""","71""",Orthodox,9328.0,Poland,
2554299,Valerie Coolbaugh,,,,,--,,,
2554392,Mika Harigai,,,,,--,,,
2554394,Megumi Yabushita,,,,,--,,,
2554402,Cindy Dandois,Battlecat,26/10/1984,"5' 7""","70""",Orthodox,1013.0,Belgium,
2554490,Brian Rogers,The Professional Predator,15/2/1984,"5' 11""",,--,1005.0,,
2554494,Waachiim Spiritwolf,,6/2/1976,"5' 8""",,--,,,
2554591,Chris Albandia,,,,,--,,,
2554592,Enrique Lowe,,,,,--,,,
2554593,Jeremy Morrison,,,,,--,,,
2554594,Josh Hoover,,,,,--,,,
2554595,Eric Zent,,,,,--,,,
2554596,Mark Lowry,,,,,--,,,
2554597,Josh Mueller,,,,,--,,,
2554598,Jamie Schell,,,,,--,,,
2554599,Chris Gates,,,,,--,,,
2554600,Rich Guerin,,,,,--,,,
2554601,Desmond Peterson,,,,,--,,,
2554603,Nathan McCabe,,,,,--,,,
2554604,Shane Schartzer,,,,,--,,,
2554605,Rene Hernandez,,,,,--,,,
2554606,Tom Martini,,,,,--,,,
2554607,Shane Tate,,,,,--,,,
2554608,John Renken,,,,,Orthodox,,,
2554609,Gordon Kalimic,,,,,--,,,
2554610,Masanori Suda,,,,,Orthodox,,,
2554617,Andy Foster,,,,,--,,,
2554620,Andrew Varney,,,,,--,,,
2554628,Jon Valuri,,,,,--,,,
2554629,Gordon Graff,,,,,--,,,
2554630,Dylan Andrews,The Villain,15/11/1979,"6' 3""","73.5""",Switch,,New Zealand,
2554633,Wade Henderson,Wendo,10/7/1981,"6' 1""","73.5""",--,,South Africa,
2554640,Shannon Forrester,,,,,--,,,
2554642,Jai Bradney,,,,,--,,,
2554646,Martin van Staden,The Punisher,,"6' 0""",,--,,South Africa,
2554651,Hamish Robertson,,,,,--,,,
2554674,Liz Carmouche,Girl-Rilla,19/2/1984,"5' 6""","66""",Orthodox,836.0,USA,Striker
2554675,Zac George,,,,,--,,,
2554676,Nazareno Malegarie,,16/5/1986,"5' 8""","70""",--,3647.0,Argentina,Brazilian Jiu-Jitsu
2554705,Valentina Shevchenko,Bullet,7/3/1988,"5' 5""","66.5""",Southpaw,966.0,Kyrgyzstan,Muay Thai
2554706,Colleen Schneider,,12/3/1982,"5' 9""",,--,1045.0,,
2554742,Matteo Minonzio,,,,,--,,,
2554745,Api Hemara,,,"5' 11""",,--,,Australia,
2554748,Kym Robinson,,,,,--,,,
2554752,Priscus Fogagnolo,,,,,--,,,
2554813,Yuta Nakamura,,23/6/1982,"5' 9""",,--,,Japan,
2554816,Yuji Sakuragi,,20/7/1977,"5' 11""",,--,,Japan,
2554926,Przemyslaw Mysiala,Polish Bear,8/9/1982,"6' 0""","73""",--,10347.0,Poland,
2554929,Noah Shinable,,,,,--,,,
2554931,Rafael Dias,,20/10/1979,"5' 9""",,Orthodox,25.0,,
2554934,Mal Foki,,,,,Orthodox,,,
2554935,Sam Nest,,,,,--,,,
2554936,Ross Dallow,,,,,--,,,
2554937,Carlo Lattore,,,,,--,,,
2554938,Bryan Harper,,,,,--,,,
2554939,Nate Carey,,,,,--,,,
2555005,Karl Knothe,,,,,--,,,
2555007,Noah Inhofer,,,,,--,,,
2555082,Dainius Krishtopaitis,,,,,--,,,
2555085,Adam Lazowski,,,,,--,,,
2555086,Tomas Pallai,,,,,--,,,
2555087,Maros Nagy,,,,,--,,,
2555089,Grzegorz Tredowski,,,,,--,,,
2555096,Erikas Petraitis,,,,,--,,,
2555099,Edvardas Norkeliunas,,,,,--,,,
2555117,Will Burke,,,,,--,,,
2555120,Billy Vaughan,,15/10/1982,"5' 5""",,--,,,
2555122,Josh Arocho,,,,,--,,,
2555125,Jake Pruitt,,,,,--,,,
2555126,Ryan Winthers,,,,,--,,,
2555127,Erick Fernandez,,,,,--,,,
2555128,Yoshihiro Kitaoka,,,,,--,,,
2555145,Marcio Cesar,,,,,--,,,
2555148,Adriano Goncalves,,,,,--,,,
2555152,Prentiss Wolf,,,,,--,,,
2555153,Micah Washington,,,,,--,,,
2555154,Tom Ahrens,,26/12/1986,"5' 6""",,--,,USA,
2555198,Donny Walker,,4/1/1980,"5' 9""",,--,,,
2555201,Bobby Sanchez,,15/12/1989,"5' 8""",,--,,,
2555206,Kana Hyatt,,,"5' 6""",,--,,USA,
2555207,Carina Damm,,16/2/1979,"5' 4""",,--,,,
2555212,Tetsu Suzuki,,,,,--,,,
2555216,Masakatsu Ueda,,21/12/1977,"5' 8""",,--,,Japan,
2555220,Daisuke Endo,,,,,--,,,
2555221,Masahiro Oishi,,,,,--,,,
2555243,Daniel Gracie,,,,,Orthodox,,,
2555245,D.J. Linderman,Da Protege,1/9/1983,"6' 2""",,--,302.0,,
2555246,Christian M'Pumbu,Tonton,2/6/1977,"6' 2""",,--,2105.0,Congo,
2555247,Scott Lighty,,,,,--,,,
2555255,Josh Lee,,,"5' 11""",,--,,USA,
2555260,Hyung Kyo Lee,,,,,--,,,
2555261,Dool Hee Lee,,,,,--,,,
2555262,Yun Seob Kwak,,,,,--,,,
2555263,Keigo Takamori,,,,,--,,,
2555266,Ryuta Noji,,,,,--,,,
2555267,Bill Saures,,,,,--,,,
2555300,Derrick Mehmen,Caveman,30/5/1985,"6' 3""",,--,25.0,USA,Striker
2555314,Rodney Sleepers,,,,,--,,,
2555356,Sasa Lazic,,,,,--,,,
2555421,Masaya Takita,J-Taro,3/2/1973,"5' 7""",,--,,Japan,
2555438,Tom Niinimaki,,25/7/1982,"5' 9""","69""",Orthodox,,Finland,
2555442,Baret Yoshida,,,,,--,,,
2555453,Matt Jaggers,,,,,--,,,
2555474,Jorge dos Santos Velho,,,,,--,,,
2555475,Michel Michel,,,,,--,,,
2555476,Lindomar Silva,,,,,--,,,
2555477,Giovani Diniz,,,,,--,,,
2555478,Einstein Santana,,,,,--,,,
2555479,Piri Piri,,,,,--,,,
2555480,Jetron Amaral,,,,,--,,,
2555482,Henrique Mello,,,,,--,,,
2555483,Marcelo Franca,,,,,--,,,
2555489,Derrick Krantz,D-Rock,13/1/1988,"5' 10""","72""",Orthodox,2746.0,USA,Brazilian Jiu-Jitsu
2555491,Josh Shockley,,15/11/1989,"6' 1""","74.5""",Orthodox,909.0,USA,
2555540,Kevin Aguilar,Angel of Death,7/9/1988,"5' 7""","73""",Orthodox,6567.0,USA,Striker
2555541,Matt Hunt,,,,,--,,,
2555557,Rony Jason,Jason,21/3/1984,"5' 7""","70""",Orthodox,24.0,Brazil,Brazilian Jiu-Jitsu
2555560,Danilo Noronha,,,,,--,,,
2555565,Rogerio Silva de Souza,,,,,--,,,
2555569,Paulo Dantas,,,,,--,,,
2555594,Jules Bruchez,,,,,Southpaw,,,
2555598,Chris Freeborn,,,,,--,,,
2555599,Jordan Miller,,,,,--,,England,
2555606,Alex Owen,,,,,--,,,
2555607,Vaughan Lee,,15/10/1982,"5' 6""","66""",Orthodox,1028.0,England,
2555624,Ira Boyd,,,,,--,,,
2555632,Aaron Wetherspoon,,,,,--,,,
2555633,JJ Ambrose,Superman,6/2/1987,"5' 9""","69.5""",Orthodox,2967.0,USA,
2555638,John Bryant,,,,,--,,,
2555639,Jerrod Sanders,J-Reazie,1/10/1979,"5' 8""","72""",Orthodox,1665.0,USA,
2555645,Eric Tavares,,,,,--,,,
2555646,Ben Knight,,,,,--,,,
2555647,Dan Whalen,,,,,--,,,
2555648,Dan Karnbauer,,,,,--,,,
2555649,Aung La N Sang,The Burmese Python,21/5/1985,"6' 1""",,--,10967.0,Myanmar,Brazilian Jiu-Jitsu
2555654,Farkhad Sharipov,,18/4/1984,"5' 7""",,--,,USA,
2555664,Marcus Ajian,,,,,--,,,
2555666,Manny Okorie,,,,,--,,,
2555668,Michael McDonald,Mayday,15/1/1991,"5' 9""","70""",Orthodox,1032.0,,
2555669,Steve Deangelis,,,,,--,,,
2555670,Jose Adriano,,,,,--,,,
2555671,Lennox Chance,,,,,--,,,
2555672,Collin Tebo,,,,,--,,,
2555673,Sean Santella,Shorty Rock,25/10/1984,"5' 5""",,--,162.0,USA,Brazilian Jiu-Jitsu
2555683,Josh Diekmann,,9/10/1976,"6' 2""",,--,,,
2555690,Bobby Favors,,,,,--,,,
2555691,Joe Mellotte,,,,,--,,,
2555692,James Ferguson,,,,,--,,,
2555693,Jeremy Norton,,,,,--,,,
2555695,Justin Wade,,,,,--,,,
2555697,Robert Hogan,,,,,--,,,
2555698,Jason Johnson,,,,,--,,,
2555699,Shane Paulson,,,,,--,,,
2555761,Edwin Figueroa,El Feroz,31/7/1984,"5' 7""","69""",Orthodox,1025.0,,
2555764,Warren Stewart,,14/1/1989,"5' 6""",,--,,USA,
2555778,Edgar Garcia,,22/2/1984,"5' 10""","71""",Orthodox,,USA,
2555788,Chanti Johnson,,,,,--,,,
2555945,Hyung Geol Lee,,,,,--,,,
2555946,In Seok Yoo,,,,,--,,,
2555947,Jung Beom Choi,,,,,--,,,
2555948,Dae Han Choi,,,,,--,,,
2555949,Jung Hun Jo,,,,,--,,,
2555950,Fanjin Son,,,,,--,,,
2555996,Anthony White,,,,,--,,,
2555998,Derek Abram,,,,,--,,,
2556012,Joe Pardo,,,,,Southpaw,,,
2556038,Darrill Schoonover,The Boss,18/6/1985,"6' 2""",,Orthodox,,USA,
2556041,Tom Sauer,,,,,--,,,
2556042,Anthony Ruiz,A-Train,3/11/1977,"6' 2""","79""",Orthodox,2766.0,USA,
2556050,Dan Molina,,19/6/1984,"5' 10""",,--,,,
2556051,Brian Foster,,17/1/1975,,,--,,,
2556056,Diego Brandao,DB,27/5/1987,"5' 7""","68.5""",Orthodox,81.0,Brazil,Brazilian Jiu-Jitsu
2556261,Josh Smith,,2/7/1982,"6' 0""",,--,,,
2556272,Frank Lester,The Tank,10/6/1984,"5' 11""",,Orthodox,9408.0,USA,
2556274,Cameron Dollar,The Money Man,12/5/1987,"5' 11""",,Orthodox,1645.0,,
2556277,Jesse Sanders,,,,,Orthodox,,,
2556278,John Polakowski,,,,,Orthodox,,,
2556309,Chad W. Saunders,,,,,Orthodox,,,
2556310,Iraj Hadin,,,,,--,,,
2556311,Jason Rorison,,,,,--,,,
2556312,Ricky Goodall,,,,,--,,,
2556313,Jacob MacDonald,,,,,--,,,
2556358,William Joplin,,,"5' 7""",,--,,,
2556386,Nayeb Hezam,,27/10/1981,"5' 6""",,--,,France,
2556387,J.T. Wells,,,,,--,,,
2556413,Dave Mazany,,,,,--,,,
2556414,Matt MacGrath,,8/1/1980,"5' 10""",,--,,,
2556512,Ryan Ackerman,,,,,--,,,
2556638,Blagoy Ivanov,Baga,9/10/1986,"5' 11""","73""",Southpaw,22.0,Bulgaria,Mixed Martial Artist
2556639,Austin Lyons,,,"5' 9""",,--,3047.0,,
2556643,Brian Albin,,,,,--,,,
2556644,Cody Donovan,Donnybrook,20/2/1981,"6' 3""","74""",Orthodox,426.0,USA,
2556647,Scott McAfee,,23/8/1983,"5' 8""",,Orthodox,,,
2556654,James Giboo,,,,,Orthodox,,,
2556655,War Machine,,30/11/1981,"5' 11""",,Orthodox,,,
2556676,Brandon MacArthur,,,,,--,,,
2556680,Monte Skinner,,,,,--,,,
2556681,Thomas Cubas,,,,,--,,,
2556682,John Paun,,,,,--,,,
2556685,Jason Bryar,,,,,--,,,
2556686,Chris Higi,,,,,--,,,
2556718,Joe Voisin,,,,,--,,,
2556719,Cory Conger,,,,,--,,,
2556720,Dan Spychalski,,,,,--,,,
2556721,Tyler Jackson,,,,,--,,,
2556722,Kevin English,,,,,--,,,
2556723,Decarlo Johnson,,,,,--,,,
2556724,Josh Bernal,,,,,--,,,
2556754,Robert Peralta,Problems,,"5' 8""","71""",Orthodox,1015.0,,
2556783,Jeremy Burnett,,,"5' 8""",,--,,,
2556793,Lorenz Larkin,The Monsoon,3/9/1986,"5' 11""","72.5""",Orthodox,1075.0,USA,Striker
2556797,Dorian Price,,,,,Southpaw,,,
2556801,Scott Junk,,,,,Orthodox,,,
2556802,Anthony Torres,,31/7/1978,"5' 8""",,Orthodox,,USA,
2556804,Steve Byrnes,,,,,Orthodox,,,
2556805,Mario Neto,,,"6' 0""",,Orthodox,,Brazil,
2556806,Danny Abbadi,,,"5' 11""",,Orthodox,443.0,,
2556807,Cory Walmsley,,,,,Orthodox,,,
2556809,Jeff Newton,,,,,Sideways,,,
2556810,Sean Gannon,,,,,Southpaw,,,
2556811,Keigo Kunihara,,,,,Orthodox,,,
2556812,Josh Rafferty,,,,,Orthodox,,,
2556817,Denis Komkin,,,,,--,,,
2556827,Mark Oshiro,,,,,--,,,
2556908,Nick Zimmerman,,,,,--,,,
2556909,Clyde Ganthier,,,,,--,,,
2556910,Eddie Felix,,,,,--,,,
2556911,Henrique Bilcalho,,,,,--,,,
2556913,Fernando Bernandino,,,,,--,,,
2556914,Charlie Murphy,,,,,--,,,
2556915,Glenn Medeiros,,,,,--,,,
2556916,Paul Gorman,,,,,--,,,
2556917,Spencer Paige,,,,,--,,,
2556919,Austin Pascucci,,,,,--,,,
2556925,Tito Jones,,31/7/1981,"5' 8""",,Southpaw,,,
2556926,Nick Buschman,,,,,--,,,
2556956,Kevin Denz,,,,,--,,,
2556957,Bone Sayavonga,,,,,--,,,
2556958,James Pokluda,,,,,--,,,
2556959,Liam McCarty,,,,,--,,,
2556960,Edward Maxwell,,,,,--,,,
2556961,Josh Lawrence,,,,,--,,,
2556979,Josh Spearman,,,,,--,,,
2556980,Ben Manseau,,,,,--,,,
2556981,Daniel Duarte,,,,,--,,,
2556982,Joey Camacho,,,,,--,,,
2556983,Ethan Kean,,,,,--,,,
2556984,Chris Simmons,,,,,--,,,
2556985,Nam Nguyen,,,,,--,,,
2556986,Jason Bennett,,,,,--,,,
2557014,Ramiro Hernandez,Junior,22/7/1986,"5' 9""","69""",Orthodox,974.0,USA,
2557017,Lucas Gwaltney,,30/11/1985,"6' 2""",,--,,USA,
2557021,Blair Tugman,,,"6' 0""",,--,3767.0,,Brazilian Jiu-Jitsu
2557023,Mike Winters,,,,,--,,,
2557025,Ildemar Alcantara,Marajo,18/11/1982,"6' 2""","78""",Orthodox,1017.0,Brazil,Striker
2557028,Vitor Miranda,Lex Luthor,10/3/1979,"6' 1""","77""",Orthodox,24.0,Brazil,Striker
2557029,Renato Matos,,,,,--,,,
2557034,Jackson Mora,,,,,--,,,
2557035,Nelson Martins,,,,,--,,,
2557038,Ray Cox,,,,,--,,,
2557039,Chris Drumm,,,,,--,,,
2557040,Johnny Gomez,,,,,--,,,
2557041,Aaron Arana,,,,,--,,,
2557042,Fernando Bernstein,,,,,--,,,
2557049,Jan Jarvensivu,,,,,--,,,
2557050,Erkka Shalstrom,,,,,--,,,
2557051,Olaf in 't Veld,,,,,--,,,
2557052,Mindaugas Kulikauskas,,,,,--,,,
2557106,Aron Lofton,,,"6' 1""",,--,,,
2557279,Virgil Zwicker,Rezdog,26/6/1982,"6' 2""","74""",--,282.0,USA,
2557282,Herman Terrado,The Hitman,29/9/1989,"5' 9""","69""",--,,Guam,
2557298,Nate James,,29/5/1978,"6' 0""",,--,22.0,,
2557304,Josh Burns,,,"6' 1""",,--,,,
2557318,Kimo Leopoldo,,,,,Orthodox,,,
2557319,Eddie Ruiz,,,,,Orthodox,,,
2557320,Sean Alvarez,,,,,Orthodox,,,
2557321,Alexandre Dantas,,,,,Orthodox,,,
2557322,Nick Serra,,,,,Orthodox,,,
2557323,Rodrigo Ruas,,,,,Orthodox,,,
2557324,Joao Pierini,,11/12/1971,"6' 1""",,Switch,,,
2557339,Dylan Smith,,,"6' 0""",,--,,,
2557340,Cody Carrillo,,15/4/1982,"5' 10""",,--,,USA,
2557341,Michael Osborn,,,"5' 9""",,--,,,
2557406,Danny Rodriguez,,,,,--,,,
2557450,Sidnei da Silva,,,,,--,,,
2557453,Oli Thompson,The Spartan,2/1/1980,"6' 1""","75""",Orthodox,969.0,England,Brazilian Jiu-Jitsu
2557517,Tyler Bialecki,,4/12/1988,"5' 6""",,--,4709.0,USA,
2557518,Anthony Birchak,El Toro,16/5/1986,"5' 8""","69""",Orthodox,3448.0,USA,
2557519,Michael Parker,War Monkey,20/11/1979,"5' 8""",,--,,,
2557520,Nick Piedmont,,,,,--,,,
2557548,Louie Cercedez,,,,,--,,,
2557565,Joel Roberts,,,,,--,,,
2557569,James Head,,9/2/1984,"6' 1""","73""",Orthodox,625.0,,
2557770,Brendan Tierney,,,,,--,424.0,,
2557772,Tom Gallicchio,,23/9/1986,"5' 10""","73""",Southpaw,282.0,USA,Brazilian Jiu-Jitsu
2557774,Bruce Boyington,Pretty Boy,5/5/1979,"5' 9""","69""",--,4727.0,USA,
2557781,Emerson Queiroz,,,,,--,,,
2557809,Jadyson Costa,,,,,--,,,
2557810,Fernando Vieira,,,,,--,,,
2557846,Masakatsu Funaki,,,,,Southpaw,,,
2557847,Takaku Fuke,,,,,--,,,
2557848,Andre Van Den Oetelaar,,,,,--,,,
2557849,Matt Hume,,,,,--,,,
2557850,Bas Rutten,,,,,Orthodox,,,
2557851,Christophe Leninger,,,,,Southpaw,,,
2557852,Manabu Yamada,,,,,--,,,
2557853,Larry Papadopoulos,,,,,--,,,
2557854,Katsuomi Inagaki,,,,,--,,,
2557855,Ross Clifton,,,,,--,,,
2557902,Ben Mortimer,,,"5' 8""",,--,,,
2557906,Fernando Vasconcelos,,,,,--,,,
2557907,Guido Jennings,,,,,--,,,
2557909,Justin Bumphus,,,,,--,,,
2557910,Scott Davis,,,,,--,,,
2557911,Jason Rittgers,,,,,--,,,
2557913,Zach McKinney,,,,,--,,,
2557922,Pedro Galiza,,,,,--,,,
2557924,Robert Scott,,,,,--,,,
2557933,Mark Holata,The Machine,25/8/1982,"6' 2""",,--,1665.0,,
2557934,Dave Mewborn,,,,,--,,,
2557935,Shamil Zavurov,Lion of Dagestan,4/7/1984,"5' 8""","67.5""",--,5782.0,Russia,Striker
2557936,Rashid Magomedov,Goretz,14/5/1984,"5' 9""","70.5""",Orthodox,4227.0,Russia,Striker
2557937,Viktor Nemkov,,26/1/1987,"6' 1""","78""",--,10167.0,Russia,Brazilian Jiu-Jitsu
2557943,Ryan Ford,The Real Deal,8/3/1982,"5' 11""",,--,221.0,,
2557945,Tom Watson,Kong,13/7/1982,"6' 1""","73""",Orthodox,81.0,England,Striker
2557950,Travis Doerge,The Praying Mantis,11/5/1973,"6' 0""",,--,4467.0,,
2557955,Bubba McDaniel,The Menace,3/5/1983,"6' 3""","75""",Southpaw,81.0,USA,Brazilian Jiu-Jitsu
2558003,Todd Butler,,,,,Southpaw,,,
2558021,Keith Mielke,,,,,--,,,
2558025,Demetrius Worlds,,,,,--,,,
2558026,Shaun Wagner,,,,,--,,,
2558029,Chalid Arrab,,,,,Orthodox,,,
2558043,Tracy Willis,,,,,--,,,
2558045,John Phillips,The Welsh Wrecking Machine,9/6/1985,"5' 11""","75""",Southpaw,2786.0,Wales,Striker
2558046,Terry Dull,,,,,--,,,
2558047,Paul Morris,,,,,--,,,
2558048,Christian Allen,,,,,--,,,
2558049,Philip Perez,,,"5' 5""",,Southpaw,,,
2558050,Poppies Martinez,The Tachi Kid,,"5' 9""",,--,,,
2558051,Tyler Weathers,,,,,--,,,
2558055,Rogerio Sagate,,,,,--,,,
2558058,Rocky McAnally,,,,,--,,,
2558062,Shamil Abdurakhimov,Abrek,2/9/1981,"6' 3""","76""",Orthodox,3346.0,Russia,Wrestling
2558067,Scott Jansen,,,,,--,,,
2558070,Yoji Anjo,,28/3/1967,"5' 11""",,Orthodox,,,
2558075,Marcos Rogerio de Lima,Pezao,25/6/1985,"6' 1""","75""",Orthodox,25.0,Brazil,Striker
2558092,Mike Baskis,,,,,--,,,
2558097,Mark Robinson,,,,,Orthodox,,,
2558098,Kenichi Yamamoto,,,,,Orthodox,,,
2558099,Lance Gibson,,,,,Orthodox,,,
2558100,Mark Hughes,,,,,Southpaw,,,
2558101,Tedd Williams,,,,,Orthodox,,,
2558102,Tim Lajcik,,,,,Orthodox,,,
2558104,Amaury Bitetti,,,,,Orthodox,,,
2558106,Satoshi Honma,,,,,Orthodox,,,
2558107,Steve Judson,,,,,Orthodox,,,
2558108,Jermaine Andre,,,,,Orthodox,,,
2558109,Bob Cook,,,,,Orthodox,22.0,,
2558110,Scott Adams,,,,,Southpaw,,,
2558111,Masutatsu Yano,,,,,Orthodox,,,
2558112,Lowell Anderson,,,,,Orthodox,,,
2558114,Marco Ruas,,,,,Orthodox,,,
2558117,Royce Alger,,,,,Orthodox,321.0,,
2558118,Andre Roberts,,,,,Orthodox,,,
2558123,Marcelo Mello,,,,,Southpaw,,,
2558124,Chris Condo,,,,,Orthodox,,,
2558129,Lloyd Marshbanks,Kadillac,,"5' 8""",,--,,USA,
2558132,Sione Latu,,,,,--,,,
2558133,Joey Roberts,,,,,--,,,
2558135,Mikey Burnett,,,,,Orthodox,1725.0,,
2558136,Townsend Saunders,,,,,Orthodox,,,
2558137,Darrel Gholar,,,,,Orthodox,,,
2558138,Frank Caracci,,,,,--,,,
2558139,John Lober,,,,,Orthodox,,,
2558140,Tulio Palhares,,,,,--,,,
2558141,Adriano Santos,,,,,--,,,
2558143,Paulo Santos,,,,,--,,,
2558144,Hugo Duarte,,,,,Orthodox,,,
2558145,Harry Moskowitz,,,,,Orthodox,,,
2558156,Zak Jensen,,1/10/1982,"6' 5""",,--,,,
2558159,Azunna Anyanwu,8th Wonder,5/8/1981,"6' 1""","77""",Orthodox,3567.0,USA,Striker
2558163,Andre Santos,Chatuba,,"5' 11""",,--,,,
2558164,Baba Shigeyasu,,,,,--,,,
2558165,Diego Jimenez,,,,,--,,,
2558166,Henry Martinez,Sicario,7/8/1983,"5' 7""","68""",Southpaw,81.0,USA,
2558167,Roberto Vargas,Beto,,"5' 6""",,--,,,
2558177,Denis Sobolev,,,,,Orthodox,,,
2558192,Matt Lucas,Luke Duke,,"6' 1""",,--,424.0,,
2558194,Adam Padilla,,,,,--,,,
2558198,Jordan Smith,,25/12/1984,"6' 0""",,--,,,
2558220,Brett Held,,,,,--,,,
2558221,Abe Jones,,,,,--,,,
2558222,Benny Mawson,,,,,--,,,
2558223,Dennis Parks,,,,,--,,,
2558224,Rob Roy,,,,,--,,,
2558226,Casey Hobson,,,,,--,,,
2558227,Bobby Sanchez,,,,,--,,,
2558228,Ryan Farhat,,,,,--,,,
2558229,Len Bentley,,,,,--,,,
2558311,Komei Okada,,,,,--,,,
2558316,Kyle Brees,,,,,--,,,
2558369,Eduardo Dantas,Dudu,3/2/1989,"5' 10""","69""",--,301.0,Brazil,Brazilian Jiu-Jitsu
2558383,Jason Young,Shotgun,28/6/1986,"5' 9""","73""",Orthodox,725.0,,
2558384,Sarah D'Alelio,The Monster,13/12/1980,"5' 7""",,--,2196.0,USA,Brazilian Jiu-Jitsu
2558393,Darren Uyenoyama,BC,15/10/1979,"5' 6""","64.5""",Orthodox,927.0,USA,Brazilian Jiu-Jitsu
2558395,Andreas Spang,Sweet Swede,7/11/1978,"6' 1""",,--,1114.0,,
2558397,Sheldon Westcott,,20/8/1984,"6' 1""","71""",Southpaw,2446.0,Canada,
2558398,Maurilio de Souza da Silva,,,,,--,,,
2558406,Sergej Grecicho,,30/9/1985,"5' 9""",,--,,,
2558414,Justin Guthrie,,19/1/1981,"6' 1""",,--,,,
2558430,Sean Kim,,,,,--,,,
2558431,Ken Kellenberger,,,,,--,,,
2558432,Antonio Emay,,,,,--,,,
2558433,Farrell Frisby,,,,,--,,,
2558434,Sean Wilmot,,,,,--,,,
2558435,Adriano Pereira,,,,,--,,,
