id,name,nickname,date_of_birth,height,reach,stance,team_id,nationality,fighting_style
2560746,Alexandre Pantoja,The Cannibal,16/4/1990,"5' 5""","67.5""",Orthodox,25.0,Brazil,Brazilian Jiu-Jitsu
2560747,Shinichi Kojima,BJ,6/2/1979,"5' 4""",,--,,,
2560750,Jose Maria Tomé,No Chance,4/1/1982,"5' 4""","65""",Orthodox,24.0,Brazil,"Brazilian Jiu-Jitsu,Striker"
2560753,Mamoru Yamaguchi,,29/5/1977,"5' 4""",,--,,Japan,
2560766,Ian Jones,,,,,--,,,
2560797,Kenny Garner,Deuce,6/1/1975,"6' 1""","77""",--,25.0,USA,Striker
2560798,Jesse Juarez,,,"6' 1""",,Orthodox,,,
2560800,Adlan Amagov,Borz,27/8/1984,"6' 2""","76""",Orthodox,81.0,,
2560962,Andre Kase,,,,,--,,,
2560999,Ryan LaFlare,,1/10/1983,"6' 1""","74""",Southpaw,1073.0,,
2561000,Nick Gaston,,,,,--,,,
2561001,Bruno Carvalho,BC,30/1/1982,"6' 1""",,--,,,
2561108,Matt Foki,,,,,Orthodox,,,
2561133,Charon Spain,,11/3/1988,"5' 9""",,--,6587.0,USA,
2562523,Raimundo Pinheiro,,,,,--,,,
2562649,Rob Sinclair,C4,20/2/1980,"5' 8""",,--,3527.0,England,
2563796,Ronda Rousey,Rowdy,1/2/1987,"5' 7""","68""",Orthodox,1120.0,USA,Judo
2563797,Alexis Davis,,4/10/1984,"5' 6""","68""",Orthodox,2196.0,Canada,Brazilian Jiu-Jitsu
2563801,Diogo Osama,,,,,--,,,
2563803,Fernando Silva,,,,,--,,,
2563804,Paulo Henrique Garcia Rodrigues,,,,,--,,,
2563805,Fernando Almeida,,,,,--,,,
2563806,Wanderlan Vila Cruzeiro,,,,,--,,,
2563807,Roque Oliver,,,,,--,,,
2563808,Charles Andrade,Gracie,10/2/1982,"6' 0""",,--,,Brazil,
2563809,Michael Knapp,,,,,--,,,
2563810,Junior Fofinho,,,,,--,,,
2563811,Enrico Vaccaro,,,,,--,,,
2564046,Julio Cesar Bilik,,,,,--,,,
2565146,Nathan Woods,,,,,--,,,
2565147,Steve Young,,,,,--,,,
2565148,Adam Cunningham,,,,,--,,,
2565149,Frank Park,,,,,--,,,
2565150,Scott Burns,,,,,--,,,
2565151,Chris Perez van Dam,,,,,--,,,
2565152,Josh Atwell,,,,,--,,,
2565153,Jeremy Castro,,,"5' 6""",,--,,,
2565154,Tim Bazer,,11/10/1976,"5' 11""","73""",--,1766.0,USA,
2565155,Jake Brown,,,,,--,,,
2565156,Dakota Cochrane,,1/5/1988,"5' 8""",,--,2190.0,,
2565157,Josh Henry,,,,,--,,,
2565272,Julian Fabrin Soares,,,,,--,,,
2565277,Igor Fernandes,Chatubinha,,"5' 10""",,--,,Brazil,
2565279,Jorge Luis Bezerra,Michelan,2/4/1986,,,--,2406.0,,
2565282,Gil de Freitas,,,"5' 10""",,--,,,
2565286,Michel Addario Bastos,,,,,--,,,
2565291,Elielson Almeida,,,,,--,,,
2565488,Rafael Carvalho,,27/7/1986,"6' 3""","78""",Orthodox,25.0,Brazil,Striker
2565489,Alexandre Alcantara,,,,,--,,,
2565493,Joao Paulo Rodrigues de Souza,,29/5/1981,"5' 7""",,--,,Brazil,
2565496,Manuelo Morales,Etoube,,"5' 9""",,--,,Peru,
2565792,Felipe Arantes,Sertanejo,9/2/1988,"5' 8""","73""",Orthodox,403.0,,
2565811,Doug Williams,,,,,--,,,
2566301,Chris Saunders,The So Cal Kid,11/3/1986,"5' 8""","69""",--,,USA,
2566512,Mike Rio,The Wolverine,6/7/1981,"5' 10""","70""",Orthodox,1531.0,,
2567565,Papy Abedi,Makambo,30/6/1978,"5' 11""",,Southpaw,5961.0,,
2569066,Corey Mullis,,,,,--,,,
2569160,Joshua Fountain,,,,,--,,,
2569161,Josh Rutgers,,,,,--,,,
2569162,Blake Bowman,,,,,--,,,
2569163,Shawn Snow,,,,,--,,,
2569164,Matt Traylor,,,,,--,,,
2569165,Jason Cook,,,,,--,,,
2569166,Courtney Ray,,,,,--,,,
2569167,Salazar Sanchez,,,,,--,,,
2569168,Mike Firari,,,,,--,,,
2569169,James George,,,,,--,,,
2569170,Kurt Kinser,,11/1/1988,"5' 7""",,--,,USA,
2569637,Cameron Befort,,,,,--,,,
2569886,Sara McMann,,24/9/1980,"5' 6""","64.5""",Orthodox,82.0,USA,Wrestling
2569939,Yoel Romero,Soldier of God,30/4/1977,"6' 0""","73""",Southpaw,25.0,Cuba,Wrestling
2570357,Scott Casey,,,,,--,,,
2570358,Eric Uresk,,,,,--,,,
2570359,Logan Hancock,,,,,--,,,
2570360,Gordon Bell,,,,,--,,,
2570361,Ryan Miller,,,,,--,,,
2570364,Daniel Hernandez,,,,,--,,,
2570368,Brock Jardine,The Machine,10/7/1985,"5' 11""","73""",Orthodox,2247.0,USA,
2570864,Mike Easton,The Hulk,25/1/1984,"5' 6""","70""",Southpaw,147.0,USA,
2574116,Jimy Hettes,The Kid,9/6/1987,"5' 9""","71""",Southpaw,1150.0,,
2574689,Blas Avena,,30/6/1983,"6' 3""","74""",Orthodox,,,
2580502,Ray Lopez,,,,,--,,,
2580503,Maka Watson,,,,,--,,,
2582842,Chris Cisneros,,24/12/1979,"5' 11""",,--,,,
2585084,Garrett Olson,,,"6' 2""",,--,,USA,
2585965,Chris Mierzwiak,,,,,--,,,
2585966,Dominique Steele,Non-Stop Action Packed,25/1/1988,"5' 10""","74""",Orthodox,1048.0,USA,
2585973,Jason Ball,,,,,--,,,
2585974,Felipe Portela,,23/11/1987,"6' 0""",,--,1071.0,,
2585976,Rad Martinez,,12/3/1987,"5' 6""",,--,123.0,,
2585977,Jorge Lopez,Lil' Monster,21/11/1988,"5' 10""",,Orthodox,381.0,USA,Striker
2585978,Yan Cabral,,13/5/1983,"5' 11""","73""",Orthodox,301.0,Brazil,Brazilian Jiu-Jitsu
2587798,Jake Murphy,,,"5' 9""",,--,,,
2587852,Joseph Sandoval,,11/5/1986,"5' 6""",,Southpaw,,USA,
2587853,Walel Watson,The Gazelle,16/7/1984,"5' 11""","69""",Orthodox,6447.0,USA,Brazilian Jiu-Jitsu
2588372,Charlie Rader,Superstar,6/4/1982,"6' 0""",,--,,,
2589005,Mitch Clarke,Danger Zone,24/11/1985,"5' 10""","73""",Orthodox,971.0,,
