bout_id,round,judge_id,judge_order,fighter_1_score,fighter_2_score
275,1,19.0,2,,
275,2,19.0,2,,
275,Total,19.0,2,1.0,0.0
275,1,18.0,3,,
275,2,18.0,3,,
275,Total,18.0,3,1.0,0.0
279,1,39.0,1,,
279,2,39.0,1,,
279,3,39.0,1,,
279,Total,39.0,1,0.0,0.0
279,1,19.0,2,,
279,2,19.0,2,,
279,3,19.0,2,,
279,Total,19.0,2,0.0,0.0
279,1,18.0,3,,
279,2,18.0,3,,
279,3,18.0,3,,
279,Total,18.0,3,0.0,0.0
281,1,35.0,1,,
281,2,35.0,1,,
281,3,35.0,1,,
281,Total,35.0,1,1.0,0.0
281,1,40.0,2,,
281,2,40.0,2,,
281,3,40.0,2,,
281,Total,40.0,2,1.0,0.0
281,1,31.0,3,,
281,2,31.0,3,,
281,3,31.0,3,,
281,Total,31.0,3,1.0,0.0
292,1,,1,,
292,2,,1,,
292,Total,,1,1.0,0.0
292,1,,2,,
292,2,,2,,
292,Total,,2,1.0,0.0
292,1,,3,,
292,2,,3,,
292,Total,,3,1.0,0.0
297,1,,1,,
297,2,,1,,
297,3,,1,,
297,4,,1,,
297,5,,1,,
297,Total,,1,1.0,0.0
297,1,,2,,
297,2,,2,,
297,3,,2,,
297,4,,2,,
297,5,,2,,
297,Total,,2,1.0,0.0
297,1,,3,,
297,2,,3,,
297,3,,3,,
297,4,,3,,
297,5,,3,,
297,Total,,3,1.0,0.0
331,1,68.0,1,,
331,2,68.0,1,,
331,3,68.0,1,,
331,Total,68.0,1,30.0,27.0
331,1,39.0,2,,
331,2,39.0,2,,
331,3,39.0,2,,
331,Total,39.0,2,29.0,28.0
331,1,3.0,3,,
331,2,3.0,3,,
331,3,3.0,3,,
331,Total,3.0,3,29.0,28.0
338,1,274.0,1,,
338,2,274.0,1,,
338,3,274.0,1,,
338,4,274.0,1,,
338,5,274.0,1,,
338,Total,274.0,1,1.0,0.0
338,1,39.0,2,,
338,2,39.0,2,,
338,3,39.0,2,,
338,4,39.0,2,,
338,5,39.0,2,,
338,Total,39.0,2,1.0,0.0
338,1,3.0,3,,
338,2,3.0,3,,
338,3,3.0,3,,
338,4,3.0,3,,
338,5,3.0,3,,
338,Total,3.0,3,1.0,0.0
543,1,68.0,1,,
543,2,68.0,1,,
543,3,68.0,1,,
543,Total,68.0,1,30.0,27.0
543,1,39.0,2,,
543,2,39.0,2,,
543,3,39.0,2,,
543,Total,39.0,2,30.0,26.0
543,1,18.0,3,,
543,2,18.0,3,,
543,3,18.0,3,,
543,Total,18.0,3,30.0,27.0
751,1,39.0,1,,
751,2,39.0,1,,
751,3,39.0,1,,
751,4,39.0,1,,
751,5,39.0,1,,
751,Total,39.0,1,49.0,43.0
751,1,12.0,2,,
751,2,12.0,2,,
751,3,12.0,2,,
751,4,12.0,2,,
751,5,12.0,2,,
751,Total,12.0,2,49.0,44.0
